load_kg,feedforward,sq,abd_fd_nominal_x,abd_fd_composed_x,abd_command_x,abd_candidate_x,abd_residual_x,abd_bias_slope_deg_per_phase,abd_bias_rate_rad_s,tho_fd_nominal_x,tho_fd_composed_x,tho_command_x,tho_candidate_x,tho_residual_x,tho_bias_slope_deg_per_phase,tho_bias_rate_rad_s
0,0,0.0990,0.095611,0.041995,0.095576,0.041994,0.053582,-10.2400,-0.053617,0.143401,0.121619,0.143349,0.121619,0.021730,-4.1600,-0.021782
0,0,0.1020,0.095663,0.042047,0.095681,0.042047,0.053634,-10.2400,-0.053617,0.143479,0.121697,0.143505,0.121697,0.021808,-4.1600,-0.021782
0,0,0.1050,0.095681,0.042064,0.095681,0.042064,0.053616,-10.2400,-0.053617,0.143505,0.121723,0.143505,0.121723,0.021782,-4.1600,-0.021782
0,0,0.1080,0.095629,0.042012,0.095681,0.042012,0.053668,-10.2400,-0.053617,0.143426,0.121644,0.143505,0.121644,0.021861,-4.1600,-0.021782
0,0,0.1110,0.095473,0.041856,0.095369,0.041856,0.053513,-10.2400,-0.053617,0.143189,0.121407,0.143031,0.121407,0.021624,-4.1600,-0.021782
0,0,0.1140,0.095369,0.041752,0.095369,0.041752,0.053617,-10.2400,-0.053617,0.143031,0.121250,0.143031,0.121250,0.021782,-4.1600,-0.021782
0,0,0.1170,0.095369,0.041753,0.095369,0.041752,0.053616,-10.2400,-0.053617,0.143032,0.121250,0.143031,0.121250,0.021782,-4.1600,-0.021782
0,0,0.1200,0.095002,0.041386,0.095369,0.041386,0.053983,-10.2400,-0.053617,0.142482,0.120700,0.143031,0.120700,0.022331,-4.1600,-0.021782
0,0,0.1230,0.094636,0.041019,0.094636,0.041019,0.053617,-10.2400,-0.053617,0.141933,0.120151,0.141933,0.120151,0.021782,-4.1600,-0.021782
0,0,0.1260,0.094636,0.041020,0.094636,0.041020,0.053616,-10.2400,-0.053617,0.141933,0.120151,0.141933,0.120151,0.021782,-4.1600,-0.021782
0,0,0.1290,0.094253,0.040637,0.094636,0.040637,0.053999,-10.2400,-0.053617,0.141357,0.119575,0.141933,0.119576,0.022357,-4.1600,-0.021782
0,0,0.1320,0.093678,0.040061,0.093486,0.040061,0.053425,-10.2400,-0.053617,0.140494,0.118712,0.140206,0.118712,0.021493,-4.1600,-0.021782
0,0,0.1350,0.093487,0.039870,0.093486,0.039870,0.053616,-10.2400,-0.053617,0.140206,0.118424,0.140206,0.118424,0.021782,-4.1600,-0.021782
0,0,0.1380,0.093225,0.039609,0.093486,0.039609,0.053877,-10.2400,-0.053617,0.139813,0.118031,0.140206,0.118031,0.022174,-4.1600,-0.021782
0,0,0.1410,0.092442,0.038826,0.091920,0.038826,0.053094,-10.2400,-0.053617,0.138635,0.116853,0.137849,0.116853,0.020996,-4.1600,-0.021782
0,0,0.1440,0.091920,0.038304,0.091920,0.038304,0.053616,-10.2400,-0.053617,0.137849,0.116067,0.137849,0.116067,0.021782,-4.1600,-0.021782
0,0,0.1470,0.091921,0.038304,0.091920,0.038304,0.053616,-10.2400,-0.053617,0.137849,0.116067,0.137849,0.116067,0.021782,-4.1600,-0.021782
0,0,0.1500,0.090928,0.037311,0.089935,0.037312,0.052624,-10.2400,-0.053617,0.136357,0.114576,0.134865,0.114576,0.020289,-4.1600,-0.021782
0,0,0.1530,0.089936,0.036319,0.089935,0.036319,0.053616,-10.2400,-0.053617,0.134865,0.113083,0.134865,0.113083,0.021781,-4.1600,-0.021782
0,0,0.1560,0.089936,0.036319,0.089935,0.036319,0.053616,-10.2400,-0.053617,0.134865,0.113083,0.134865,0.113083,0.021782,-4.1600,-0.021782
0,0,0.1590,0.089134,0.035517,0.089935,0.035517,0.054418,-10.2400,-0.053617,0.133663,0.111881,0.134865,0.111881,0.022984,-4.1600,-0.021782
0,0,0.1620,0.087931,0.034315,0.087530,0.034315,0.053215,-10.2400,-0.053617,0.131860,0.110078,0.131258,0.110078,0.021180,-4.1600,-0.021782
0,0,0.1650,0.087530,0.033914,0.087530,0.033914,0.053616,-10.2400,-0.053617,0.131258,0.109477,0.131258,0.109477,0.021781,-4.1600,-0.021782
0,0,0.1680,0.087060,0.033443,0.087530,0.033443,0.054087,-10.2400,-0.053617,0.130552,0.108770,0.131258,0.108770,0.022488,-4.1600,-0.021782
