load_kg,case,sq,abd_err,tho_err,world_trunk,ref_trunk,trunk_err,hip_err,support_length,contacts,abd_target_rate,tho_target_rate,abd_actual_rate,abd_demand,com_ap,cop_ap,saddle_sep
25,F10,1.0000,-0.1657,-0.1050,35.9865,35.9700,0.0165,-1.0663,0.29000,8,-0.00027,-0.00040,-0.03964,0.0585,-0.04846,-0.05172,0.00448
25,F01,0.0000,-7.9828,-6.5239,-5.4246,3.9100,-9.3346,2.4769,0.29000,8,0.00000,0.00000,0.01281,0.0596,-0.04589,-0.05326,0.00813
25,F01,0.1020,-9.0309,-7.7708,-2.9692,9.0172,-11.9864,9.3438,0.29000,8,0.06406,0.15104,0.18345,0.0580,-0.04768,-0.04952,0.00670
25,F01,0.2520,-4.9386,-4.1647,9.4785,16.6548,-7.1763,7.9009,0.29000,8,-0.04953,0.01466,0.24033,0.0126,-0.04813,-0.04429,0.00632
25,F01,0.5520,-0.8751,-0.8264,30.2939,31.3732,-1.0793,4.4248,0.29000,8,-0.00255,0.01437,-0.00030,0.0478,-0.04752,-0.04972,0.00508
25,F01,0.8010,-1.1278,-0.8145,34.7109,34.7288,-0.0180,1.3702,0.29000,8,0.00784,0.01174,0.01687,0.0536,-0.04800,-0.04591,0.00465
25,F01,1.0000,-0.1793,-0.1164,35.9457,35.9700,-0.0243,-1.0549,0.29000,8,-0.00027,-0.00040,-0.03963,0.0584,-0.04832,-0.05098,0.00454
25,F11,0.0000,-0.7295,-0.6416,2.1645,3.9100,-1.7455,1.1481,0.29000,8,0.00000,0.00000,0.04661,0.0331,-0.04638,-0.05256,0.00736
25,F11,0.1020,-2.1434,-2.3505,4.3174,9.0172,-4.6998,8.0057,0.29000,8,-0.01825,0.07418,0.05829,0.0257,-0.04582,-0.03792,0.00648
25,F11,0.2520,-1.9072,-1.9008,12.7884,16.6548,-3.8664,7.0944,0.29000,8,-0.04953,0.01466,0.07672,0.0043,-0.04636,-0.04192,0.00606
25,F11,0.5520,-0.9183,-0.8529,30.2610,31.3732,-1.1122,4.4454,0.29000,8,-0.00255,0.01437,0.00379,0.0476,-0.04764,-0.04954,0.00501
25,F11,0.8010,-1.1417,-0.8215,34.7039,34.7288,-0.0250,1.3796,0.29000,8,0.00784,0.01174,0.01312,0.0533,-0.04822,-0.04681,0.00457
25,F11,1.0000,-0.1617,-0.1028,36.0011,35.9700,0.0311,-1.0690,0.29000,8,-0.00027,-0.00040,-0.03990,0.0586,-0.04833,-0.05126,0.00445
