load_kg,athlete_position_iterations,athlete_velocity_iterations,island_position_iterations,island_velocity_iterations,intervention,drive_high_onset_tick,drive_saturation_onset_tick,tracking_failure_onset_tick,posture_departure_onset_tick,capture_departure_onset_tick,support_loss_onset_tick,saddle_linear_limit_onset_tick,saddle_gross_failure_onset_tick,contact_mode_change_onset_tick,posture_joint_error_onset_tick,posture_gross_onset_tick,guard_withdrawal_onset_tick,capture_departure_hull_onset_tick,com_outside_hull_onset_tick,foot_lift_onset_tick,foot_slip_onset_tick,plantar_count_change_onset_tick,bar_thorax_contact_onset_tick,bar_athlete_contact_onset_tick,nonplantar_ground_contact_onset_tick,saddle_angular_limit_onset_tick,canonical_first_onset_order,contact_mode_reason,bar_thorax_callback_ticks,max_bar_thorax_penetration_m,connected_body_collision_enabled,bar_to_thorax_mass_ratio,non_finite,stage_a_pass,upright,stage_a_summary,min_hull_capture_margin_m,max_load_bearing_demand,max_saddle_linear_occupancy,qualified
25,28,1,28,6,balance.posture_guard_false,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRACKING_FAILURE@12,NONE,0,0.023216702,false,1.1574074,false,true,true,"load=25 measured=500 settlePelvis=0.9777 minPelvis=0.9777 maxTrunk=0.1454 capture=0.1076 comSpeed=0.0053 posture=4.021 limit=0.017 guard=1.000 ankle=7.166 saddle=0.0052 contacts=8 sat=0.000 supportLost=False saddleUnstable=False upright=True pass=True",0.107560158,0.04537346,0.104167506,true
60,28,1,28,6,balance.posture_guard_false,NA,NA,17,48,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRACKING_FAILURE@17>POSTURE_DEPARTURE@48,NONE,0,0.0218280926,false,2.77777767,false,false,true,"load=60 measured=500 settlePelvis=0.9702 minPelvis=0.9702 maxTrunk=0.3250 capture=0.0917 comSpeed=0.0104 posture=12.193 limit=0.135 guard=1.000 ankle=2.350 saddle=0.0121 contacts=8 sat=0.000 supportLost=False saddleUnstable=False upright=True pass=False",0.09166061,0.110418022,0.2426854,false
140,28,1,28,6,balance.posture_guard_false,124,NA,23,22,100,NA,225,NA,225,22,53,NA,100,122,NA,NA,NA,NA,NA,225,225,POSTURE_DEPARTURE@22>TRACKING_FAILURE@23>CAPTURE_DEPARTURE@100>DRIVE_HIGH@124>SADDLE_LINEAR_LIMIT@225>CONTACT_MODE_CHANGE@225,NONPLANTAR_GROUND:left_shank|left_thigh|pelvis|right_shank|right_thigh,0,0.0518279672,false,6.48148155,false,false,false,"load=140 measured=500 settlePelvis=0.9140 minPelvis=0.1001 maxTrunk=1.5967 capture=-1.6337 comSpeed=2.3322 posture=48.010 limit=1.000 guard=1.000 ankle=15.000 saddle=0.0497 contacts=7 sat=0.000 supportLost=False saddleUnstable=False upright=False pass=False",-1.63462913,0.513355255,0.9936774,false
170,28,1,28,6,balance.posture_guard_false,108,NA,20,1,85,210,195,NA,190,1,45,NA,85,104,208,239,190,NA,NA,251,195,POSTURE_DEPARTURE@1>TRACKING_FAILURE@20>CAPTURE_DEPARTURE@85>DRIVE_HIGH@108>CONTACT_MODE_CHANGE@190>SADDLE_LINEAR_LIMIT@195>SUPPORT_LOSS@210,PLANTAR_COUNT_3_4_FROM_4_4,0,0.05085682,false,7.87037039,false,false,false,"load=170 measured=500 settlePelvis=0.8901 minPelvis=0.1004 maxTrunk=1.8273 capture=-1.6231 comSpeed=2.4159 posture=49.378 limit=1.000 guard=1.000 ankle=15.000 saddle=0.0499 contacts=0 sat=0.000 supportLost=True saddleUnstable=False upright=False pass=False",-1.62366438,0.5353954,0.9987181,false
300,28,1,28,6,balance.posture_guard_false,46,NA,16,1,68,143,18,NA,109,1,33,NA,68,84,137,255,136,NA,NA,109,144,POSTURE_DEPARTURE@1>TRACKING_FAILURE@16>SADDLE_LINEAR_LIMIT@18>DRIVE_HIGH@46>CAPTURE_DEPARTURE@68>CONTACT_MODE_CHANGE@109>SUPPORT_LOSS@143,NONPLANTAR_GROUND:head_neck,0,0.0205354318,false,13.8888884,false,false,false,"load=300 measured=500 settlePelvis=0.7120 minPelvis=0.1004 maxTrunk=2.8855 capture=-1.2713 comSpeed=2.2247 posture=83.001 limit=1.000 guard=1.000 ankle=15.000 saddle=0.0536 contacts=0 sat=0.000 supportLost=True saddleUnstable=False upright=False pass=False",-1.27155876,0.5705361,1.07219923,false
