segment,parent,family,anchor_x,anchor_y,anchor_z,axis_x,axis_y,axis_z,spring,damper,max_force_nm
pelvis,NONE,root,NA,NA,NA,NA,NA,NA,0,0,0
abdomen,pelvis,lumbar,-1.81769719E-05,1.08595586,-0.00999988,1,-0.0001545983,7.04137856E-05,800,85,1482
thorax,abdomen,trunk,-2.54771066E-06,1.191772,0.00231635477,1,-5.1364088E-05,3.92624024E-05,800,85,1482
head_neck,thorax,neck,2.45636147E-05,1.53652513,-0.0269912519,1,4.00597528E-05,5.9796097E-05,300,11,228
left_upper_arm,thorax,shoulder,-0.212570116,1.47242546,-0.0539585762,-0.07576433,-0.03582693,0.9964819,500,55,494
right_upper_arm,thorax,shoulder,0.212558731,1.47246158,-0.0539823957,0.07587545,-0.03583346,0.9964732,500,55,494
left_forearm,left_upper_arm,elbow,-0.462774158,1.46184731,-0.08116411,-0.041238673,0.9985243,0.03533592,450,45,380
right_forearm,right_upper_arm,elbow,0.462759644,1.46192682,-0.08122448,-0.04105574,-0.998531759,-0.035336867,450,45,380
left_hand,left_forearm,wrist,-0.70549643,1.45155561,-0.0569759235,0.0615452081,0.0009938478,0.9981038,250,30,171
right_hand,right_forearm,wrist,0.7054843,1.45167983,-0.0570606776,-0.0615777671,0.0009524748,0.9981019,250,30,171
left_thigh,pelvis,hip,-0.114339821,0.9846394,-0.03811404,1,2.27292767E-05,4.030445E-05,900,90,2052
right_thigh,pelvis,hip,0.114207171,0.984522164,-0.0381282158,0.99999994,0.000353793177,6.328986E-05,900,90,2052
left_shank,left_thigh,knee,-0.114369586,0.555765152,-0.03577231,1,-0.000100411249,4.48052961E-05,800,80,2052
right_shank,right_thigh,knee,0.114358768,0.5557232,-0.0357992351,0.99999994,0.0003537192,6.37026E-05,800,80,2052
left_foot,left_shank,ankle,-0.114425749,0.09961565,-0.08559005,1,-0.000129029882,9.066428E-05,650,70,1710
right_foot,right_shank,ankle,0.1145983,0.09957541,-0.08571178,0.9999998,0.0005913885,-0.000124229045,650,70,1710
barbell,thorax,saddle,4.07756534E-06,1.47424257,-0.116166443,NA,NA,NA,50000,3000,60000
