load_kg,tick,time_s,valid_repeats,cop_mean_m,cop_std_m,com_mean_m,com_std_m,trunk_mean_rad,trunk_std_rad
25,68,0.68,3,-0.009634641,0,0.03414715,0,-0.05232544,3.7252903E-09
25,69,0.69000000000000006,3,-0.00724881142,0,0.0364933051,0,-0.05480845,3.7252903E-09
25,70,0.70000000000000007,3,-0.0048363097,0,0.0388710871,0,-0.0573260933,0
25,71,0.71,3,-0.00237982627,0,0.0412802622,0,-0.0598801561,0
25,72,0.72,3,0.000113587848,0,0.0437206738,3.7252903E-09,-0.06246869,3.7252903E-09
25,73,0.73,3,0.00263433461,0,0.04619212,3.7252903E-09,-0.06508851,0
25,74,0.74,3,0.00517113274,0,0.0486944169,0,-0.06775539,0
25,75,0.75,3,0.00777446339,0,0.0512274243,0,-0.07046628,0
25,76,0.76,3,0.0104023181,0,0.05379096,0,-0.0732177943,0
25,77,0.77,3,0.0130956033,0,0.05638486,0,-0.07600171,0
25,78,0.78,3,0.01569363,0,0.0590090156,0,-0.07882832,0
25,79,0.79,3,0.0183595736,0,0.06166348,0,-0.0817088,0
25,80,0.8,3,0.021130845,0,0.06434825,0,-0.08460804,0
25,81,0.81,3,0.0239091348,0,0.06706309,0,-0.08755308,0
25,82,0.82000000000000006,0,0,0,0,0,0,0
25,83,0.83000000000000007,0,0,0,0,0,0,0
25,84,0.84,0,0,0,0,0,0,0
25,85,0.85,0,0,0,0,0,0,0
25,86,0.86,0,0,0,0,0,0,0
25,87,0.87,0,0,0,0,0,0,0
25,88,0.88,0,0,0,0,0,0,0
25,89,0.89,0,0,0,0,0,0,0
25,90,0.9,0,0,0,0,0,0,0
25,91,0.91,0,0,0,0,0,0,0
25,92,0.92,0,0,0,0,0,0,0
25,93,0.93,0,0,0,0,0,0,0
25,94,0.94000000000000006,0,0,0,0,0,0,0
25,95,0.95000000000000007,0,0,0,0,0,0,0
25,96,0.96,0,0,0,0,0,0,0
25,97,0.97,0,0,0,0,0,0,0
25,98,0.98,0,0,0,0,0,0,0
25,99,0.99,0,0,0,0,0,0,0
25,100,1,0,0,0,0,0,0,0
25,101,1.01,0,0,0,0,0,0,0
