load_kg,tick,lifecycle,state,bar_y,trunk_pitch,com_z,support_ap_min,support_ap_max,has_support,max_demand,ankle_offset,hip_offset,trunk_offset,guard_scale,abdomen_actual,abdomen_ref,abdomen_drive_err,abdomen_demand,thorax_actual,thorax_ref,thorax_drive_err,thorax_demand,left_thigh_actual,left_thigh_demand,left_shank_actual,left_shank_demand,left_foot_actual,left_foot_demand,abdomen_maxforce
25,381,ACTIVE_ATTEMPT,DESCENT,1.03827,-0.5069,-0.048,-0.15472,0.13528,True,0.25327,-0.01122,0,0,0.85859,0.08864,-0.0307,-0.11934,0.05178,0.15055,0.10266,-0.0479,0.0232,-1.62493,0.00689,1.7619,0.02497,-0.53619,0.02718,1852.5
25,391,ACTIVE_ATTEMPT,DESCENT,1.01141,-0.51713,-0.04847,-0.15472,0.13528,True,0.25423,-0.01122,0,0,0.54439,0.09253,-0.03113,-0.12367,0.0535,0.15371,0.10322,-0.05049,0.02461,-1.68349,0.00344,1.82938,0.03359,-0.54829,0.02816,1852.5
40,1,START_WINDOW,SETUP,1.47192,0.09599,-0.05558,-0.15472,0.13528,True,1.6843,0,0,0,1,0.01622,0,-0.01623,0.03046,0.02045,0,-0.02046,0.04,-0.00069,0.0137,0,0.01127,0,0.01608,2074.8
40,11,START_WINDOW,SETUP,1.41428,0.13783,-0.0528,-0.15688,0.13457,True,1.46264,0.2618,0.02807,-0.01403,0.9018,-0.01229,-0.01403,-0.00175,0.02134,-0.0243,-0.01403,0.01026,0.03233,-0.00207,0.00104,-0.00919,0.00306,-0.01866,0.06663,2074.8
40,21,START_WINDOW,SETUP,1.37598,0.26256,-0.05035,-0.15688,0.13457,True,1.79086,-0.0182,0.00736,-0.00368,0.88747,-0.07812,-0.00365,0.07445,0.05208,-0.07921,-0.00365,0.07553,0.05397,0.02549,0.01334,0.00285,0.00481,-0.05329,0.05732,2074.8
40,31,START_WINDOW,SETUP,1.34318,0.37426,-0.05101,-0.15688,0.13457,True,2.20719,0.00276,0,0,0.09992,-0.13528,0,0.13531,0.07591,-0.12583,0,0.12585,0.0673,0.04268,0.02137,0.03115,0.01353,-0.0898,0.03522,2074.8
40,41,START_WINDOW,SETUP,1.32628,0.45903,-0.05211,-0.15688,0.13457,True,1.8946,0,0,0,0,-0.18322,0,0.18329,0.08564,-0.15402,0,0.15408,0.07086,0.05712,0.0254,0.05017,0.01583,-0.114,0.03633,2074.8
40,51,START_WINDOW,SETUP,1.3166,0.50044,-0.05413,-0.15688,0.13457,True,1.55713,0,-0.00841,0.00421,0,-0.20907,0.00414,0.21337,0.09001,-0.16646,0.00414,0.17076,0.07486,0.06196,0.02543,0.05822,0.01558,-0.12241,0.03455,2074.8
40,61,START_WINDOW,SETUP,1.31138,0.5242,-0.05655,-0.15688,0.13457,True,1.31341,-0.07174,0,0,0.52042,-0.22235,0,0.2224,0.08889,-0.17224,0,0.17232,0.07136,0.06327,0.02497,0.06364,0.01826,-0.12374,0.01683,2074.8
40,71,START_WINDOW,SETUP,1.30649,0.54356,-0.05751,-0.15688,0.13457,True,0.92526,-0.03549,0,0,0.55662,-0.2293,0,0.22924,0.09301,-0.1761,0,0.17612,0.07471,0.06959,0.02514,0.06295,0.01724,-0.12077,0.02557,2074.8
