experiment,load_kg,channel,input_deg,repeat,tick,time_s,command_tick,valid_local,invalid_reason,has_support,support_contacts,has_cop,cop_ap_m,com_ap_m,com_velocity_ap_mps,capture_ap_m,capture_margin_m,support_ap_min_m,support_ap_max_m,pelvis_y_m,trunk_pitch_rad,saddle_separation_m,ankle_requested_target_deg,ankle_applied_target_deg,hip_requested_target_deg,hip_applied_target_deg,abdomen_requested_target_deg,abdomen_applied_target_deg,thorax_requested_target_deg,thorax_applied_target_deg,ankle_actual_deg,hip_actual_deg,abdomen_actual_deg,thorax_actual_deg,ankle_solver_torque_nm,hip_solver_torque_nm,abdomen_solver_torque_nm,thorax_solver_torque_nm,max_demand
zero,25,zero,0,1,12,0.12,5,True,NONE,True,8,True,-0.09057449,-0.0458623059,0.06091016,-0.0252345987,0.126454368,-0.151688963,0.138809174,0.9781395,0.0326902121,0.0198716372,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,0.1312212,0.07912936,3.24175715,2.977178,1.45219564,-5.96046448E-06,0.002955273,-1.41561031E-05,0.0473925062
zero,25,zero,0,1,13,0.13,5,True,NONE,True,8,True,-0.08890413,-0.0452137031,0.06363232,-0.02366251,0.128026456,-0.151688963,0.138809174,0.9785013,0.0313936137,0.0204407685,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,0.111905821,0.07912936,3.2713232,3.01402259,0.997313857,-4.09781933E-06,0.02412498,-3.20374966E-05,0.0479259156
zero,25,zero,0,1,14,0.14,5,True,NONE,True,8,True,-0.08699756,-0.0445482433,0.06562714,-0.0223207437,0.129368216,-0.151688963,0.138809174,0.9787055,0.0302792918,0.0208043661,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,0.08846932,0.07912936,3.28588724,3.04554224,0.7100433,-7.4505806E-07,0.0372748822,-9.685755E-06,0.04928806
zero,25,zero,0,1,15,0.15,5,True,NONE,True,8,True,-0.08513462,-0.04386831,0.0673676655,-0.0210517347,0.130637228,-0.151688963,0.138809174,0.978772044,0.0292099733,0.020942701,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,0.05595291,0.07912936,3.29231334,3.0724113,0.551015139,3.35276127E-06,0.0253606588,2.08616257E-05,0.0512275472
zero,25,zero,0,1,16,0.16,5,True,NONE,True,8,True,-0.08365669,-0.0431729965,0.0691342,-0.0197595637,0.1319294,-0.151688963,0.138809174,0.9787237,0.02823011,0.0208399557,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,0,0.08846932,3.29041052,3.09348536,0.4862398,1.86264515E-06,0.0203259289,5.66244125E-05,0.05342082
zero,25,zero,0,1,17,0.17,5,True,NONE,True,8,True,-0.08254845,-0.042459283,0.07115097,-0.0183649864,0.133323982,-0.151688963,0.138809174,0.9786039,0.0273763258,0.020488115,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,0,0.08846932,3.28088069,3.10988951,0.489914417,6.33299351E-06,0.00877715647,9.909272E-05,0.05581138
zero,25,zero,0,1,18,0.18,5,True,NONE,True,8,True,-0.08171897,-0.0417230166,0.0735072047,-0.0168332756,0.134855688,-0.151688963,0.138809174,0.9784569,0.0266697519,0.01989096,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-0.07912936,0.0969132856,3.26341724,3.12119579,0.544402,1.3038516E-06,-0.008448958,0.000120699406,0.053148184
zero,25,zero,0,1,19,0.19,5,True,NONE,True,8,True,-0.08108445,-0.0409601256,0.0762037262,-0.01515976,0.1365292,-0.151688963,0.138809174,0.9783228,0.026263414,0.019008508,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-0.125114515,0.0969132856,3.2318418,3.12796,0.6262839,2.04890966E-06,-0.0287823379,0.000137835741,0.0571656339
zero,25,zero,0,1,20,0.2,5,True,NONE,True,8,True,-0.0803957,-0.04016694,0.07922666,-0.0133452909,0.138343677,-0.151688963,0.138809174,0.978241861,0.0256296471,0.0181609672,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-0.176938653,0.07912936,3.212163,3.13271117,0.707834959,-3.16649675E-06,-0.066196546,0.000116229057,0.0587744974
zero,25,zero,0,1,21,0.21,5,True,NONE,True,8,True,-0.0797076,-0.0393421352,0.0822736248,-0.0114908507,0.140198112,-0.151688963,0.138809174,0.9781812,0.0249568373,0.0172512587,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-0.213062361,0.08846932,3.19554853,3.13920116,0.7811159,1.11758709E-06,-0.0721473247,0.000105798244,0.0592023656
zero,25,zero,0,1,22,0.22,5,True,NONE,True,8,True,-0.07886012,-0.03848658,0.08527259,-0.00962172,0.142067239,-0.151688963,0.138809174,0.9781775,0.0243837871,0.0162382778,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-0.253337622,0.08846932,3.175645,3.14567757,0.8206636,-2.98023224E-06,-0.07264577,9.164214E-05,0.05974082
zero,25,zero,0,1,23,0.23,5,True,NONE,True,8,True,-0.07786353,-0.03760203,0.08807688,-0.00778951449,0.143899456,-0.151688963,0.138809174,0.9781997,0.0238937642,0.01507115,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-0.288035333,0.07912936,3.15238929,3.15263748,0.8341819,-1.3038516E-06,-0.08022599,3.35276127E-05,0.0594355948
zero,25,zero,0,1,24,0.24,5,True,NONE,True,8,True,-0.07680345,-0.03669125,0.0906439945,-0.00601165369,0.144820824,-0.151688963,0.138809174,0.9782304,0.0233411249,0.0137633365,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-0.316517562,0.07912936,3.13420987,3.161811,0.823006034,2.04890966E-06,-0.08435808,-3.7252903E-06,0.0601064041
zero,25,zero,0,1,25,0.25,5,True,NONE,True,8,True,-0.07574493,-0.0357568078,0.093003,-0.00428109057,0.143090263,-0.151688963,0.138809174,0.9782451,0.0227752272,0.0123060131,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-0.3403484,0.08846932,3.1159246,3.17243886,0.798928738,3.35276127E-06,-0.07805824,-5.66244125E-05,0.0601553135
zero,25,zero,0,1,26,0.26,5,True,NONE,True,8,True,-0.07481248,-0.0347999521,0.09530045,-0.00254957331,0.141358748,-0.151688963,0.138809174,0.9782335,0.0218550153,0.01097789,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-0.371149778,0.07912936,3.1129086,3.18548942,0.780972838,8.381903E-06,-0.07741414,-0.000155717134,0.0599730164
zero,25,zero,0,1,27,0.27,5,True,NONE,True,8,True,-0.07405564,-0.0338204876,0.09762044,-0.000788449834,0.139597625,-0.151688963,0.138809174,0.9781938,0.02090302,0.00997240748,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-0.407343537,0.08846932,3.110896,3.19677329,0.786879659,5.96046448E-06,-0.06954111,-0.000187754631,0.059150856
zero,25,zero,0,1,28,0.28,5,True,NONE,True,8,True,-0.0735881254,-0.0328164138,0.100196265,0.00108338974,0.137725785,-0.151688963,0.138809174,0.9781229,0.019835094,0.009215851,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-0.4597004,0.10467831,3.10988951,3.20752954,0.8196503,3.381865E-06,-0.07007904,-1.2665987E-05,0.05906253
zero,25,zero,0,1,29,0.29,5,True,NONE,True,8,True,-0.0730463,-0.0317840539,0.103109673,0.00309746759,0.1357117,-0.151688963,0.138809174,0.978039742,0.0186758619,0.008674659,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-0.5158608,0.10467831,3.11014128,3.21557283,0.8598596,9.918585E-06,-0.0674851239,0.000128895044,0.05889898
zero,25,zero,0,1,30,0.3,5,True,NONE,True,8,True,-0.07240169,-0.0307199787,0.106309392,0.00524003664,0.133569136,-0.151688963,0.138809174,0.9779572,0.0174970049,0.008294659,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-0.577428162,0.111905821,3.11014128,3.220924,0.8731276,6.146729E-06,-0.06439388,0.000154227018,0.05876079
zero,25,zero,0,1,31,0.31,5,True,NONE,True,8,True,-0.07160521,-0.0296220686,0.109665215,0.00746933,0.131339848,-0.151688963,0.138809174,0.9778843,0.016325891,0.00803235453,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-0.645281255,0.10467831,3.10913444,3.22505283,0.8601248,-2.23517418E-06,-0.0617817044,0.00011920929,0.0610333644
zero,25,zero,0,1,32,0.32,5,True,NONE,True,8,True,-0.07073443,-0.0284894854,0.113109179,0.009763308,0.129045874,-0.151688963,0.138809174,0.977825642,0.015143916,0.007860812,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-0.7143601,0.111905821,3.108127,3.22869158,0.8307785,-1.05239451E-05,-0.0589035451,8.866191E-05,0.06856563
zero,25,zero,0,1,33,0.33,5,True,NONE,True,8,True,-0.06973228,-0.0273219477,0.116570905,0.0120984958,0.126710683,-0.151688963,0.138809174,0.977782369,0.0139287459,0.00777022168,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-0.7833423,0.0969132856,3.10863066,3.2318418,0.7965654,-1.22003257E-05,-0.0556617975,5.51342964E-05,0.073459
zero,25,zero,0,1,34,0.34,5,True,NONE,True,8,True,-0.0686381757,-0.0261207614,0.119851053,0.014406153,0.124403022,-0.151688963,0.138809174,0.977752149,0.0126313334,0.007930504,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-0.8430175,0.0969132856,3.1181848,3.23692417,0.762170553,-1.2293458E-05,-0.0548440963,1.63912773E-05,0.06687294
zero,25,zero,0,1,35,0.35000000000000003,5,True,NONE,True,8,True,-0.06756804,-0.0248875655,0.123072393,0.0167260952,0.122083083,-0.151688963,0.138809174,0.97773236,0.0113280518,0.00815574452,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-0.8891079,0.07912936,3.13346052,3.23934174,0.700762868,-7.07805157E-06,-0.0523194671,1.60187483E-05,0.05399378
zero,25,zero,0,1,36,0.36,5,True,NONE,True,8,True,-0.0664567,-0.0236224439,0.126292944,0.019077789,0.119731382,-0.151688963,0.138809174,0.977710962,0.009935729,0.008388767,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-0.9253425,0.06852804,3.154127,3.24224,0.6570399,1.86264515E-05,-0.0583156943,-5.06639481E-05,0.0562844127
zero,25,zero,0,1,37,0.37,5,True,NONE,True,8,True,-0.06535683,-0.0223246682,0.12959154,0.0214885473,0.117320627,-0.151688963,0.138809174,0.9776857,0.008495714,0.008588791,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-0.9585792,0.06852804,3.175645,3.2453773,0.6766707,3.6880374E-05,-0.06436445,-0.00013448298,0.06708114
zero,25,zero,0,1,38,0.38,5,True,NONE,True,8,True,-0.06419709,-0.0209933966,0.1329494,0.0239528175,0.114856355,-0.151688963,0.138809174,0.9776527,0.00699007837,0.008761777,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-0.993068755,0.05595291,3.199955,3.24851131,0.7464111,3.27825546E-05,-0.07119365,-0.000158697367,0.0771420747
zero,25,zero,0,1,39,0.39,5,True,NONE,True,8,True,-0.06296011,-0.0196284074,0.136308834,0.0264513139,0.112357862,-0.151688963,0.138809174,0.9776186,0.005479737,0.008905366,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-1.02716243,0.05595291,3.22286749,3.25164247,0.825822353,2.16066837E-05,-0.07582493,-0.000171735883,0.08456189
zero,25,zero,0,1,40,0.4,5,True,NONE,True,8,True,-0.0616291054,-0.0182300918,0.139638424,0.0289729685,0.109836206,-0.151688963,0.138809174,0.977581263,0.003906858,0.009065574,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-1.06310916,0.05595291,3.24754739,3.255492,0.885602832,1.04308128E-05,-0.08092336,-0.000100955367,0.089906
zero,25,zero,0,1,41,0.41000000000000003,5,True,NONE,True,8,True,-0.06022081,-0.01679889,0.142946526,0.0315201469,0.107289031,-0.151688963,0.138809174,0.977542043,0.00233157421,0.009187529,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-1.10214877,0.03956468,3.26964784,3.25909662,0.9217799,9.872019E-06,-0.08284561,-6.03497028E-05,0.0937203541
zero,25,zero,0,1,42,0.42,5,True,NONE,True,8,True,-0.05875077,-0.0153350132,0.146235436,0.0340933837,0.104715794,-0.151688963,0.138809174,0.9774962,0.000745751837,0.009234226,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-1.14806247,0.05595291,3.288745,3.26317739,0.9392947,8.568168E-06,-0.0855516642,-5.28991222E-05,0.09733214
zero,25,zero,0,1,43,0.43,5,True,NONE,True,8,True,-0.0571894534,-0.0138386134,0.149489835,0.03668732,0.10212186,-0.151688963,0.138809174,0.9774464,-0.0007132917,0.009168114,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-1.20201671,0.05595291,3.29920125,3.26509571,0.9431869,7.35744834E-06,-0.08724481,-3.24100256E-05,0.09739313
zero,25,zero,0,1,44,0.44,5,True,NONE,True,8,True,-0.0556577966,-0.01231033,0.152672738,0.0392888151,0.0995203555,-0.151688963,0.138809174,0.977387846,-0.00212878385,0.008998413,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-1.26545787,0.05595291,3.30394316,3.2667737,0.94435215,2.04890966E-06,-0.08783005,-1.37835741E-05,0.09604966
zero,25,zero,0,1,45,0.45,5,True,NONE,True,8,True,-0.05415097,-0.0107509475,0.155786484,0.04189792,0.09691125,-0.151688963,0.138809174,0.977324545,-0.00358334347,0.008762734,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-1.3358649,0.06852804,3.307495,3.26940846,0.9325564,1.3038516E-06,-0.08600205,-4.84287739E-06,0.09619167
zero,25,zero,0,1,46,0.46,5,True,NONE,True,8,True,-0.05263754,-0.009161006,0.158862054,0.0445245653,0.09428461,-0.151688963,0.138809174,0.977257967,-0.0050760936,0.008477122,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-1.40997779,0.05595291,3.309861,3.27251959,0.902020931,5.58793545E-07,-0.08298643,-1.11758709E-06,0.09807893
zero,25,zero,0,1,47,0.47000000000000003,5,True,NONE,True,8,True,-0.05118262,-0.0075403275,0.161982581,0.04719709,0.0916120857,-0.151688963,0.138809174,0.977183044,-0.00669673271,0.008174439,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-1.48987162,0.06852804,3.31364274,3.27634454,0.8629888,7.4505806E-07,-0.08321181,7.82311E-06,0.101159543
zero,25,zero,0,1,48,0.48,5,True,NONE,True,8,True,-0.0496886149,-0.00588801038,0.165176779,0.0499261022,0.08888307,-0.151688963,0.138809174,0.977108359,-0.008413188,0.007865908,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-1.57168162,0.06852804,3.31977916,3.28040361,0.831356645,-7.4505806E-07,-0.08226484,3.35276127E-06,0.105160013
