arm,run_id,load_kg,system_mass_kg,bar_mass_kg,equilibrium_load_kg,family,flat_bias_deg,standing_surface_deg,total_anatomical_deg,composed_logical_deg_a,composed_logical_deg_b,composed_matches_total,max_composed_drift_deg,hard_bound_deg,at_hard_bound,v2_trim_deg,runtime_minus_trim_deg,max_canonical_deviation_deg,tail_signed_logical_deviation_deg
G1,p28-v1-balance.posture_guard_false-140kg,140,240.000015,140,140,Knee,0,0,0,0,0,true,0,12.0000277,false,-6.85290241,6.85290241,29.74343,-1.57122242
G1,p28-v1-balance.posture_guard_false-140kg,140,240.000015,140,140,Hip,0,0,0,0,0,true,0,12.0000277,false,9.005693,-9.005693,21.4840126,-10.14145
G1,p28-v1-balance.posture_guard_false-140kg,140,240.000015,140,140,Abdomen,0,11.2,11.2,11.2,11.2,true,0,12.0000277,false,11.8450661,-0.645066261,36.8323326,11.0292
G1,p28-v1-balance.posture_guard_false-140kg,140,240.000015,140,140,Thorax,0,10.3,10.3,10.3,10.3,true,0,12.0000277,false,10.9202032,-0.620203,24.625946,12.6328983
G1,p28-v1-balance.posture_guard_false-170kg,170,270.000061,170,170,Ankle,0,0,0,0,0,true,0,12.0000277,false,2.075565,-2.075565,41.9515343,3.26362324
G1,p28-v1-balance.posture_guard_false-170kg,170,270.000061,170,170,Knee,0,0,0,0,0,true,0,12.0000277,false,-9.058352,9.058352,39.7347946,-1.90095973
G1,p28-v1-balance.posture_guard_false-170kg,170,270.000061,170,170,Hip,0,0,0,0,0,true,0,12.0000277,false,12,-12,25.0929871,-8.762337
G1,p28-v1-balance.posture_guard_false-170kg,170,270.000061,170,170,Abdomen,0,11.8,11.8,11.8,11.8,true,0,12.0000277,false,12,-0.199999809,37.5125847,12.3005724
G1,p28-v1-balance.posture_guard_false-170kg,170,270.000061,170,170,Thorax,0,11,11,11,11,true,0,12.0000277,false,12,-1,26.7521534,13.43012
G1,p28-v1-balance.posture_guard_false-300kg,300,400.000031,300,300,Ankle,0,0,0,0,0,true,0,12.0000277,false,12,-12,50.2184868,2.663617
G1,p28-v1-balance.posture_guard_false-300kg,300,400.000031,300,300,Knee,0,0,0,0,0,true,0,12.0000277,false,-12,12,83.00084,-2.05109
G1,p28-v1-balance.posture_guard_false-300kg,300,400.000031,300,300,Hip,0,0,0,0,0,true,0,12.0000277,false,11.998251,-11.998251,39.8666458,-8.42102
G1,p28-v1-balance.posture_guard_false-300kg,300,400.000031,300,300,Abdomen,0,12,12,12,12,true,0,12.0000277,true,9.128379,2.87162113,37.6654358,11.6902037
G1,p28-v1-balance.posture_guard_false-300kg,300,400.000031,300,300,Thorax,0,12,12,12,12,true,0,12.0000277,true,11.9893446,0.0106554031,21.12351,15.0615025
