tick,time,barY,standRefY,heightDeficit,barVelY,barSpeed,barAngSpeed,lKnee,rKnee,maxKnee,lHip,rHip,maxHip,trunk,completionRegion,linStill,angStill,kneesQ,hipsQ,trunkQ,physicalLockout,state,sq,demand,drive01
143,1.430000,1.402748,1.403096,0.000348,0.003058,0.008354,0.089182,0.047074,0.049446,0.049446,-0.010984,-0.012333,0.012333,0.135247,1,1,1,1,1,1,1,DESCENT,0.066000,0.242299,0.000000
144,1.440000,1.402723,1.403096,0.000373,0.003058,0.009214,0.102424,0.052459,0.054885,0.054885,-0.015456,-0.016801,0.016801,0.134007,1,1,1,1,1,1,1,DESCENT,0.069000,0.242406,0.000000
145,1.450000,1.402693,1.403096,0.000403,0.002545,0.009613,0.106604,0.057900,0.060415,0.060415,-0.019870,-0.021216,0.021216,0.132723,1,1,1,1,1,1,1,DESCENT,0.072000,0.242381,0.000000
146,1.460000,1.402657,1.403096,0.000439,0.002025,0.010093,0.112266,0.063521,0.066143,0.066143,-0.024404,-0.025791,0.025791,0.131382,1,1,1,1,1,1,1,DESCENT,0.075000,0.242377,0.000000
147,1.470000,1.402612,1.403096,0.000484,0.000884,0.010776,0.119332,0.069405,0.072121,0.072121,-0.029060,-0.030470,0.030470,0.129975,1,1,1,1,1,1,1,DESCENT,0.078000,0.242446,0.000000
148,1.480000,1.402567,1.403096,0.000530,0.001196,0.011388,0.122937,0.075222,0.078057,0.078057,-0.033858,-0.035306,0.035306,0.128518,1,1,1,1,1,1,1,DESCENT,0.081000,0.242243,0.000000
149,1.490000,1.402527,1.403096,0.000569,0.001434,0.012302,0.132626,0.081333,0.084260,0.084260,-0.038837,-0.040295,0.040295,0.126978,1,1,1,1,1,1,1,DESCENT,0.084000,0.242273,0.000000
150,1.500000,1.402497,1.403096,0.000599,0.002706,0.013014,0.138155,0.087397,0.090433,0.090433,-0.043903,-0.045393,0.045393,0.125374,1,1,1,0,1,1,0,DESCENT,0.087000,0.242127,0.000000
151,1.510000,1.402482,1.403096,0.000614,0.003923,0.014533,0.156636,0.093764,0.096869,0.096869,-0.049339,-0.050815,0.050815,0.123596,1,1,1,0,1,1,0,DESCENT,0.090000,0.242207,0.000000
152,1.520000,1.402483,1.403096,0.000613,0.005689,0.015598,0.165542,0.099995,0.103179,0.103179,-0.054698,-0.056199,0.056199,0.121724,1,1,1,0,1,1,0,DESCENT,0.093000,0.242061,0.000000
153,1.530000,1.402494,1.403096,0.000602,0.006330,0.016889,0.185532,0.106525,0.109757,0.109757,-0.060320,-0.061793,0.061793,0.119670,1,1,1,0,1,1,0,DESCENT,0.096000,0.242226,0.000000
154,1.540000,1.402504,1.403096,0.000592,0.006494,0.017988,0.202996,0.113088,0.116377,0.116377,-0.066053,-0.067527,0.067527,0.117440,1,1,0,0,1,1,0,DESCENT,0.099000,0.242242,0.000000
