configuration,joint,t_s,nominal_deg,preload_deg,balance_offset_deg,final_target_deg,actual_deg,posture_error_deg,drive_space_error_deg,drive_error_x_deg,drive_error_y_deg,drive_error_z_deg,applied_vs_nominal_deg,target_ang_vel_x,actual_ang_vel_x,low_limit,high_limit,limit_proximity,spring,damper,max_force_nm,activation,capacity_scale,modelled_demand,implied_spring_torque_nm,solver_torque_x_nm
A_NOMINAL_ONLY,right_thigh,1.20,0.00,0.00,0.00,0.00,9.02,9.11,9.11,-9.022,-0.543,1.112,0.00,0.000,-0.139,-120.0,45.0,0.200,900,90,2052.0,1.00,5.70,0.063,143.0,-0.010
A_NOMINAL_ONLY,abdomen,1.20,0.00,0.00,0.00,0.00,-25.40,25.51,25.51,25.398,1.212,-2.080,0.00,0.000,0.221,-35.0,45.0,0.726,800,85,1482.0,1.00,5.70,0.229,356.2,-0.028
A_NOMINAL_ONLY,thorax,1.20,0.00,0.00,0.00,0.00,-20.16,20.25,20.25,20.157,1.224,-1.456,0.00,0.000,0.097,-35.0,50.0,0.576,800,85,1482.0,1.00,5.70,0.187,282.7,0.009
A_NOMINAL_ONLY,left_shank,1.20,0.00,0.00,0.00,0.00,0.85,0.85,0.85,-0.851,0.034,-0.006,0.00,0.000,-0.179,-5.0,145.0,0.006,800,80,2052.0,1.00,6.84,0.001,11.9,-0.033
A_NOMINAL_ONLY,right_shank,1.20,0.00,0.00,0.00,0.00,1.18,1.18,1.18,-1.182,0.000,0.000,0.00,0.000,-0.195,-5.0,145.0,0.008,800,80,2052.0,1.00,6.84,0.000,16.5,-0.065
A_NOMINAL_ONLY,left_foot,1.20,0.00,0.00,0.00,0.00,-40.03,40.07,40.07,40.029,0.181,-1.890,0.00,0.000,-1.621,-45.0,55.0,0.890,650,70,1710.0,1.00,9.50,0.335,454.6,0.183
A_NOMINAL_ONLY,right_foot,1.20,0.00,0.00,0.00,0.00,-40.91,40.95,40.95,40.908,0.106,-1.906,0.00,0.000,-1.651,-45.0,55.0,0.909,650,70,1710.0,1.00,9.50,0.342,464.6,0.267
A_NOMINAL_ONLY,left_thigh,2.00,0.00,0.00,0.00,0.00,4.50,4.69,4.69,-4.501,0.104,1.327,0.00,0.000,0.007,-120.0,45.0,0.100,900,90,2052.0,1.00,5.70,0.036,73.7,0.000
A_NOMINAL_ONLY,right_thigh,2.00,0.00,0.00,0.00,0.00,4.81,4.99,4.99,-4.811,0.111,1.312,0.00,0.000,-0.022,-120.0,45.0,0.107,900,90,2052.0,1.00,5.70,0.037,78.4,-0.001
A_NOMINAL_ONLY,abdomen,2.00,0.00,0.00,0.00,0.00,-1.05,3.26,3.26,1.054,0.212,-3.078,0.00,0.000,0.039,-35.0,45.0,0.030,800,85,1482.0,1.00,5.70,0.031,45.5,0.031
A_NOMINAL_ONLY,thorax,2.00,0.00,0.00,0.00,0.00,10.71,11.47,11.47,-10.709,-0.001,-4.119,0.00,0.000,-0.064,-35.0,50.0,0.214,800,85,1482.0,1.00,5.70,0.104,160.2,0.042
A_NOMINAL_ONLY,left_shank,2.00,0.00,0.00,0.00,0.00,2.25,2.25,2.25,-2.248,0.007,-0.003,0.00,0.000,-0.062,-5.0,145.0,0.016,800,80,2052.0,1.00,6.84,0.013,31.4,0.003
A_NOMINAL_ONLY,right_shank,2.00,0.00,0.00,0.00,0.00,1.63,1.63,1.63,-1.627,0.000,0.000,0.00,0.000,0.022,-5.0,145.0,0.011,800,80,2052.0,1.00,6.84,0.012,22.7,0.000
A_NOMINAL_ONLY,left_foot,2.00,0.00,0.00,0.00,0.00,8.99,8.99,8.99,-8.988,0.077,0.083,0.00,0.000,-0.078,-45.0,55.0,0.163,650,70,1710.0,1.00,9.50,0.057,102.0,0.004
A_NOMINAL_ONLY,right_foot,2.00,0.00,0.00,0.00,0.00,9.40,9.40,9.40,-9.400,0.113,-0.025,0.00,0.000,-0.089,-45.0,55.0,0.171,650,70,1710.0,1.00,9.50,0.059,106.7,0.004
A_NOMINAL_ONLY,left_thigh,2.99,0.00,0.00,0.00,0.00,4.46,4.66,4.66,-4.458,0.082,1.347,0.00,0.000,0.000,-120.0,45.0,0.099,900,90,2052.0,1.00,5.70,0.036,73.2,0.000
A_NOMINAL_ONLY,right_thigh,2.99,0.00,0.00,0.00,0.00,4.77,4.95,4.95,-4.768,0.099,1.310,0.00,0.000,0.000,-120.0,45.0,0.106,900,90,2052.0,1.00,5.70,0.038,77.7,-0.002
A_NOMINAL_ONLY,abdomen,2.99,0.00,0.00,0.00,0.00,-0.99,3.19,3.19,0.990,0.151,-3.025,0.00,0.000,0.000,-35.0,45.0,0.028,800,85,1482.0,1.00,5.70,0.030,44.5,0.029
A_NOMINAL_ONLY,thorax,2.99,0.00,0.00,0.00,0.00,10.61,11.40,11.40,-10.610,0.038,-4.175,0.00,0.000,0.000,-35.0,50.0,0.212,800,85,1482.0,1.00,5.70,0.107,159.2,0.038
A_NOMINAL_ONLY,left_shank,2.99,0.00,0.00,0.00,0.00,2.22,2.22,2.22,-2.223,0.006,-0.003,0.00,0.000,0.000,-5.0,145.0,0.015,800,80,2052.0,1.00,6.84,0.015,31.0,0.004
A_NOMINAL_ONLY,right_shank,2.99,0.00,0.00,0.00,0.00,1.61,1.61,1.61,-1.609,0.000,0.000,0.00,0.000,0.000,-5.0,145.0,0.011,800,80,2052.0,1.00,6.84,0.011,22.5,0.001
A_NOMINAL_ONLY,left_foot,2.99,0.00,0.00,0.00,0.00,9.03,9.03,9.03,-9.026,0.049,0.088,0.00,0.000,0.000,-45.0,55.0,0.164,650,70,1710.0,1.00,9.50,0.060,102.4,0.005
A_NOMINAL_ONLY,right_foot,2.99,0.00,0.00,0.00,0.00,9.43,9.43,9.43,-9.426,0.112,-0.022,0.00,0.000,0.000,-45.0,55.0,0.171,650,70,1710.0,1.00,9.50,0.063,106.9,0.005
B_ANKLE_BALANCE_ONLY,left_thigh,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.000,0.000,-120.0,45.0,0.000,900,90,2052.0,1.00,5.70,0.000,0.0,0.000
B_ANKLE_BALANCE_ONLY,right_thigh,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.000,0.000,-120.0,45.0,0.000,900,90,2052.0,1.00,5.70,0.000,0.0,-0.004
B_ANKLE_BALANCE_ONLY,abdomen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.000,0.000,-35.0,45.0,0.000,800,85,1482.0,1.00,5.70,0.000,0.0,-0.026
B_ANKLE_BALANCE_ONLY,thorax,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.000,0.000,-35.0,50.0,0.000,800,85,1482.0,1.00,5.70,0.000,0.0,0.000
B_ANKLE_BALANCE_ONLY,left_shank,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.000,0.000,-5.0,145.0,0.000,800,80,2052.0,1.00,6.84,0.000,0.0,0.008
B_ANKLE_BALANCE_ONLY,right_shank,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.00,0.000,0.000,-5.0,145.0,0.000,800,80,2052.0,1.00,6.84,0.000,0.0,0.000
B_ANKLE_BALANCE_ONLY,left_foot,0.00,0.00,0.00,2.29,2.29,0.00,0.00,2.29,2.292,0.000,0.000,2.29,0.000,0.000,-45.0,55.0,0.000,650,70,1710.0,1.00,9.50,0.015,26.0,0.599
B_ANKLE_BALANCE_ONLY,right_foot,0.00,0.00,0.00,2.29,2.29,0.00,0.00,2.29,2.292,0.000,0.000,2.29,0.000,0.000,-45.0,55.0,0.000,650,70,1710.0,1.00,9.50,0.015,26.0,0.596
B_ANKLE_BALANCE_ONLY,left_thigh,0.25,0.00,0.00,0.00,0.00,-0.02,0.00,0.23,0.015,0.015,0.228,0.21,0.000,0.158,-120.0,45.0,0.000,900,90,2052.0,1.00,5.70,0.008,3.6,0.000
B_ANKLE_BALANCE_ONLY,right_thigh,0.25,0.00,0.00,0.00,0.00,-0.08,0.00,0.25,0.083,0.006,0.243,0.21,0.000,0.146,-120.0,45.0,0.001,900,90,2052.0,1.00,5.70,0.007,4.0,0.016
B_ANKLE_BALANCE_ONLY,abdomen,0.25,0.00,0.00,0.00,0.00,-4.63,4.72,4.70,4.627,0.020,-0.808,0.00,0.000,-0.392,-35.0,45.0,0.132,800,85,1482.0,1.00,5.70,0.066,65.6,-0.042
B_ANKLE_BALANCE_ONLY,thorax,0.25,0.00,0.00,0.00,0.00,-5.18,5.18,5.18,5.178,-0.049,0.172,0.00,0.000,-0.405,-35.0,50.0,0.148,800,85,1482.0,1.00,5.70,0.072,72.3,0.001
B_ANKLE_BALANCE_ONLY,left_shank,0.25,0.00,0.00,0.00,0.00,0.54,0.54,0.54,-0.540,-0.002,0.006,0.00,0.000,-0.082,-5.0,145.0,0.004,800,80,2052.0,1.00,6.84,0.001,7.5,0.008
B_ANKLE_BALANCE_ONLY,right_shank,0.25,0.00,0.00,0.00,0.00,0.72,0.72,0.72,-0.719,0.000,0.000,0.00,0.000,-0.079,-5.0,145.0,0.005,800,80,2052.0,1.00,6.84,0.002,10.0,-0.002
B_ANKLE_BALANCE_ONLY,left_foot,0.25,0.00,0.00,15.00,15.00,-1.51,1.56,16.53,16.513,-0.132,0.783,15.01,0.000,-0.038,-45.0,55.0,0.034,650,70,1710.0,1.00,9.50,0.112,187.6,0.238
B_ANKLE_BALANCE_ONLY,right_foot,0.25,0.00,0.00,15.00,15.00,-1.62,1.67,16.64,16.622,-0.121,0.822,15.01,0.000,-0.031,-45.0,55.0,0.036,650,70,1710.0,1.00,9.50,0.112,188.8,0.347
B_ANKLE_BALANCE_ONLY,left_thigh,0.60,0.00,0.00,0.00,0.00,1.25,1.36,1.61,-1.251,-0.029,1.013,0.48,0.000,0.102,-120.0,45.0,0.028,900,90,2052.0,1.00,5.70,0.018,25.3,0.000
B_ANKLE_BALANCE_ONLY,right_thigh,0.60,0.00,0.00,0.00,0.00,1.15,1.28,1.55,-1.152,-0.051,1.030,0.48,0.000,0.099,-120.0,45.0,0.026,900,90,2052.0,1.00,5.70,0.017,24.3,0.016
B_ANKLE_BALANCE_ONLY,abdomen,0.60,0.00,0.00,0.00,0.00,-7.96,8.15,8.10,7.957,0.087,-1.499,0.24,0.000,-0.106,-35.0,45.0,0.227,800,85,1482.0,1.00,5.70,0.082,113.1,-0.034
B_ANKLE_BALANCE_ONLY,thorax,0.60,0.00,0.00,0.00,0.00,-7.19,7.22,7.20,7.195,-0.104,-0.366,0.24,0.000,-0.131,-35.0,50.0,0.206,800,85,1482.0,1.00,5.70,0.076,100.6,0.000
B_ANKLE_BALANCE_ONLY,left_shank,0.60,0.00,0.00,0.00,0.00,0.85,0.85,0.85,-0.847,-0.003,0.008,0.00,0.000,-0.087,-5.0,145.0,0.006,800,80,2052.0,1.00,6.84,0.002,11.8,0.001
