# initial pre-simulation state
joint,initial_actual_deg,nominal_target_deg,drive_space_error_deg,initial_ang_vel_x,target_ang_vel_x,limit_proximity,max_force_nm
left_thigh,0.000,0.000,0.000,0.0000,0.0000,0.000,2052.0
right_thigh,0.000,0.000,0.000,0.0000,0.0000,0.000,2052.0
abdomen,0.000,0.000,0.000,0.0000,0.0000,0.000,1482.0
thorax,0.000,0.000,0.000,0.0000,0.0000,0.000,1482.0
left_shank,0.000,0.000,0.000,0.0000,0.0000,0.000,2052.0
right_shank,0.000,0.000,0.000,0.0000,0.0000,0.000,2052.0
left_foot,0.000,0.000,2.292,0.0000,0.0000,0.000,1710.0
right_foot,0.000,0.000,2.292,0.0000,0.0000,0.000,1710.0
# transient trace
tick,t_s,hip_l_err,hip_r_err,abdomen_err,thorax_err,knee_l_err,knee_r_err,protected_max_err,ankle_l_actual,ankle_l_track_err,ankle_l_limit_prox,pelvis_y,pelvis_vy,com_ap,com_ap_vel,com_y_vel,cop_ap,fz_n,left_contacts,right_contacts,foot_pitch_deg,abdomen_ang_vel,abdomen_demand
173,1.730,5.555,5.927,3.916,13.277,2.758,1.989,13.277,9.449,9.458,0.172,0.1297,-0.0002,1.26712,0.10997,0.02606,0.25130,112.8,1,1,-76.614,-0.0275,0.044
174,1.740,5.421,5.791,4.002,13.156,2.692,1.943,13.156,9.241,9.249,0.168,0.1298,0.0004,1.26736,0.01963,-0.00617,0.25142,143.7,1,1,-76.795,0.0253,0.032
175,1.750,5.347,5.707,4.024,13.039,2.655,1.922,13.039,9.080,9.084,0.165,0.1298,0.0009,1.26700,-0.03522,-0.00478,0.25153,160.2,1,1,-76.987,0.0796,0.027
176,1.760,5.304,5.654,4.009,12.856,2.617,1.904,12.856,8.905,8.906,0.162,0.1298,0.0045,1.26633,-0.05472,0.00171,0.25159,163.5,1,1,-77.112,0.1039,0.028
177,1.770,5.275,5.617,3.982,12.676,2.585,1.883,12.676,8.794,8.795,0.160,0.1299,0.0103,1.26572,-0.05413,0.00908,0.25169,164.7,1,1,-77.179,0.1065,0.031
178,1.780,5.257,5.588,3.948,12.526,2.558,1.864,12.526,8.741,8.741,0.159,0.1301,0.0159,1.26522,-0.04559,0.01342,0.25176,163.3,1,1,-77.208,0.1042,0.032
179,1.790,5.241,5.562,3.906,12.409,2.535,1.846,12.409,8.727,8.727,0.159,0.1303,0.0203,1.26485,-0.03583,0.01606,0.25182,163.4,1,1,-77.217,0.1111,0.033
180,1.800,5.220,5.532,3.857,12.315,2.515,1.829,12.315,8.736,8.736,0.159,0.1305,0.0238,1.26458,-0.02798,0.01582,0.25186,162.3,1,1,-77.214,0.1171,0.032
181,1.810,5.191,5.497,3.801,12.245,2.496,1.813,12.245,8.760,8.760,0.159,0.1308,0.0260,1.26440,-0.02244,0.01472,0.25188,160.8,1,1,-77.206,0.1170,0.032
182,1.820,5.154,5.458,3.747,12.187,2.476,1.797,12.187,8.792,8.793,0.160,0.1310,0.0268,1.26425,-0.01948,0.01337,0.25189,159.8,1,1,-77.198,0.1150,0.031
183,1.830,5.112,5.415,3.698,12.130,2.456,1.780,12.130,8.827,8.827,0.160,0.1313,0.0263,1.26411,-0.01840,0.01244,0.25189,158.5,1,1,-77.196,0.1107,0.031
184,1.840,5.067,5.367,3.653,12.068,2.434,1.762,12.068,8.857,8.857,0.161,0.1315,0.0247,1.26396,-0.01844,0.01175,0.25189,156.8,1,1,-77.198,0.1056,0.031
185,1.850,5.022,5.318,3.612,12.003,2.411,1.743,12.003,8.881,8.882,0.161,0.1318,0.0226,1.26381,-0.01881,0.01096,0.25189,155.4,1,1,-77.204,0.1000,0.031
186,1.860,4.979,5.269,3.573,11.938,2.389,1.726,11.938,8.901,8.901,0.162,0.1320,0.0203,1.26365,-0.01919,0.00999,0.25188,154.9,1,1,-77.212,0.0940,0.031
187,1.870,4.938,5.225,3.536,11.875,2.368,1.712,11.875,8.917,8.917,0.162,0.1321,0.0181,1.26350,-0.01894,0.00891,0.25188,155.3,1,1,-77.222,0.0871,0.031
188,1.880,4.901,5.187,3.501,11.816,2.350,1.699,11.816,8.928,8.930,0.162,0.1323,0.0160,1.26334,-0.01829,0.00787,0.25187,155.3,1,1,-77.234,0.0806,0.031
189,1.890,4.868,5.154,3.468,11.764,2.334,1.688,11.764,8.936,8.937,0.162,0.1324,0.0142,1.26320,-0.01734,0.00687,0.25185,155.4,1,1,-77.245,0.0747,0.031
190,1.900,4.838,5.126,3.438,11.716,2.319,1.678,11.716,8.943,8.944,0.163,0.1325,0.0125,1.26307,-0.01623,0.00593,0.25184,155.7,1,1,-77.254,0.0694,0.031
191,1.910,4.812,5.102,3.410,11.675,2.307,1.668,11.675,8.949,8.949,0.163,0.1327,0.0111,1.26295,-0.01506,0.00508,0.25182,155.9,1,1,-77.263,0.0645,0.031
192,1.920,4.790,5.081,3.385,11.638,2.296,1.661,11.638,8.954,8.955,0.163,0.1327,0.0098,1.26284,-0.01389,0.00434,0.25181,156.1,1,1,-77.270,0.0601,0.031
193,1.930,4.770,5.063,3.363,11.606,2.287,1.655,11.606,8.959,8.959,0.163,0.1328,0.0087,1.26275,-0.01277,0.00369,0.25181,156.3,1,1,-77.276,0.0562,0.031
194,1.940,4.754,5.048,3.343,11.578,2.279,1.649,11.578,8.963,8.964,0.163,0.1329,0.0078,1.26266,-0.01171,0.00314,0.25180,156.5,1,1,-77.280,0.0528,0.031
195,1.950,4.739,5.034,3.325,11.554,2.271,1.644,11.554,8.968,8.968,0.163,0.1330,0.0069,1.26259,-0.01071,0.00268,0.25180,156.6,1,1,-77.284,0.0498,0.031
196,1.960,4.727,5.023,3.308,11.533,2.266,1.639,11.533,8.972,8.972,0.163,0.1330,0.0062,1.26252,-0.00977,0.00228,0.25180,156.7,1,1,-77.287,0.0471,0.031
197,1.970,4.716,5.012,3.294,11.515,2.260,1.635,11.515,8.976,8.977,0.163,0.1331,0.0056,1.26246,-0.00892,0.00195,0.25180,156.8,1,1,-77.289,0.0447,0.031
198,1.980,4.707,5.003,3.281,11.499,2.256,1.632,11.499,8.980,8.981,0.163,0.1331,0.0050,1.26242,-0.00815,0.00168,0.25180,156.9,1,1,-77.290,0.0426,0.031
199,1.990,4.700,4.995,3.270,11.486,2.251,1.629,11.486,8.984,8.985,0.163,0.1332,0.0045,1.26237,-0.00746,0.00145,0.25181,157.0,1,1,-77.290,0.0407,0.031
200,2.000,4.693,4.988,3.260,11.474,2.248,1.626,11.474,8.988,8.989,0.163,0.1332,0.0040,1.26234,-0.00685,0.00125,0.25181,157.0,1,1,-77.291,0.0390,0.031
205,2.050,4.673,4.963,3.227,11.436,2.235,1.616,11.436,9.011,9.012,0.164,0.1333,0.0022,1.26223,-0.00471,0.00060,0.25181,157.2,1,1,-77.282,0.0329,0.031
210,2.100,4.665,4.950,3.209,11.419,2.228,1.612,11.419,9.024,9.024,0.164,0.1334,0.0012,1.26219,-0.00369,0.00032,0.25182,157.4,1,1,-77.278,0.0293,0.031
215,2.150,4.660,4.945,3.195,11.411,2.225,1.610,11.411,9.027,9.027,0.164,0.1334,0.0007,1.26218,-0.00323,0.00020,0.25182,157.5,1,1,-77.279,0.0277,0.031
220,2.200,4.658,4.944,3.188,11.407,2.224,1.609,11.407,9.026,9.027,0.164,0.1334,0.0006,1.26219,-0.00306,0.00015,0.25182,157.5,1,1,-77.282,0.0269,0.031
225,2.250,4.658,4.945,3.186,11.404,2.223,1.609,11.404,9.026,9.026,0.164,0.1334,0.0005,1.26220,-0.00306,0.00013,0.25181,157.5,1,1,-77.283,0.0263,0.031
230,2.300,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,-0.00314,0.00012,0.25181,157.5,1,1,-77.283,0.0260,0.031
235,2.350,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
240,2.400,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
245,2.450,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
250,2.500,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
255,2.550,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
260,2.600,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
265,2.650,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
270,2.700,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
275,2.750,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
280,2.800,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
285,2.850,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
290,2.900,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
295,2.950,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
300,3.000,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
305,3.050,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
310,3.100,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
315,3.150,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
320,3.200,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
325,3.250,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
330,3.300,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
335,3.350,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
340,3.400,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
345,3.450,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
350,3.500,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
355,3.550,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
360,3.600,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
365,3.650,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
370,3.700,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
375,3.750,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
380,3.800,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
385,3.850,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
390,3.900,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
395,3.950,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
400,4.000,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
405,4.050,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
410,4.100,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
415,4.150,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
420,4.200,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
425,4.250,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
430,4.300,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
435,4.350,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
440,4.400,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
445,4.450,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
450,4.500,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
455,4.550,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
460,4.600,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
465,4.650,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
470,4.700,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
475,4.750,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
480,4.800,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
485,4.850,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
490,4.900,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
495,4.950,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
500,5.000,4.658,4.945,3.186,11.402,2.223,1.608,11.402,9.026,9.026,0.164,0.1334,0.0000,1.26221,0.00000,0.00000,NaN,0.0,1,1,-77.283,0.0000,0.030
# mode identification
joint,peak_deg,time_to_peak_s,first_trough_s,second_peak_deg,second_peak_s,apparent_period_s,decay_ratio,err_0p25,err_0p5,err_1,err_2,err_3,err_5
abdomen,26.125,1.110,1.630,4.237,1.640,0.530,0.1622,6.244,13.534,25.835,3.260,3.186,3.186
hip,9.641,1.050,1.620,8.868,1.660,0.610,0.9198,1.036,4.213,9.547,4.988,4.945,4.945
thorax,20.556,1.130,1.480,12.104,1.500,0.370,0.5888,6.103,10.994,20.013,11.474,11.402,11.402
