sample,joint_id,final_x,final_y,final_z,final_w,applied_x,applied_y,applied_z,applied_w,final_to_applied_error_rad,max_target_rate_rad_s
3,head_neck,0,0,0,1,0,0,0,1,0,2
3,left_upper_arm,-0.321433842,0.508399367,-0.6994445,-0.3859894,0.321433842,-0.508399367,0.6994445,0.3859894,0,2.5
3,right_upper_arm,0.321432769,-0.5083989,-0.6994451,-0.385989845,-0.321432769,0.5083989,0.6994451,0.385989845,0,2.5
3,left_forearm,0.860719,2.120584E-08,8.63084049E-10,0.50908035,0.860719,2.120584E-08,8.63084049E-10,0.50908035,0,3
3,right_forearm,0.860718846,7.653174E-09,2.13823252E-08,0.5090805,0.860718846,7.653174E-09,2.13823252E-08,0.5090805,0,3
3,left_hand,-0.00334588159,-0.0147602167,0.221029863,0.975149632,-0.00334588159,-0.0147602167,0.221029863,0.975149632,0,2.5
3,right_hand,0.00334644062,0.0147603834,0.221029744,0.975149632,0.00334644062,0.0147603834,0.221029744,0.975149632,0,2.5
3,left_thigh,-0.8241256,0.00103302358,0.00071006373,0.566405833,-0.8241256,0.00103302358,0.00071006373,0.566405833,0,2.2
3,right_thigh,-0.8241256,0.00103302358,0.00071006373,0.566405833,-0.8241256,0.00103302358,0.00071006373,0.566405833,0,2.2
3,left_shank,0.8386706,-2.69899129E-15,-8.788462E-08,0.544639,0.8386706,-2.69899129E-15,-8.788462E-08,0.544639,0,2.5
3,right_shank,0.838670552,-8.131039E-16,-8.788462E-08,0.544639051,0.838670552,-8.131039E-16,-8.788462E-08,0.544639051,0,2.5
3,left_foot,-0.250849664,0.0006288698,0.00242681964,0.9680228,-0.260515273,0.000651990063,0.00241645216,0.9654665,0.0199898183,2
3,right_foot,-0.250849664,0.000628869748,0.00242681964,0.9680228,-0.260515273,0.00065199,0.00241645216,0.9654665,0.0199898183,2
4,abdomen,-0.015101484,9.461377E-06,0.00062641484,0.9998858,-0.015101484,9.461377E-06,0.00062641484,0.9998858,0,1.8
4,thorax,0.0521050133,-3.264311E-05,0.0006256323,0.9986414,0.05210502,-3.26431145E-05,0.000625632354,0.9986415,0,1.8
4,head_neck,0,0,0,1,0,0,0,1,0,2
4,left_upper_arm,-0.321433842,0.508399367,-0.6994445,-0.3859894,0.321433842,-0.508399367,0.6994445,0.3859894,0,2.5
