segment,parent,family,anchor_x,anchor_y,anchor_z,axis_x,axis_y,axis_z,spring,damper,max_force_nm
pelvis,NONE,root,NA,NA,NA,NA,NA,NA,0,0,0
abdomen,pelvis,lumbar,-3.847771E-05,1.08615685,-0.01070481,0.99999994,-0.000279002183,0.000203604737,2400,147.224319,1482
thorax,abdomen,trunk,-1.11868467E-05,1.19196332,0.00193297863,1,-8.318771E-05,7.962079E-05,2400,147.224319,1482
head_neck,thorax,neck,3.32004565E-05,1.536857,-0.0262449086,1,4.394351E-05,0.000112887443,300,11,228
left_upper_arm,thorax,shoulder,-0.212573826,1.47282028,-0.053439036,-0.07641451,-0.03906743,0.9963105,500,55,494
right_upper_arm,thorax,shoulder,0.212576628,1.47283185,-0.0534394048,0.07646828,-0.03909462,0.9963053,500,55,494
left_forearm,left_upper_arm,elbow,-0.462755322,1.462149,-0.0808705762,-0.04188363,0.998378634,0.0385468155,450,45,380
right_forearm,right_upper_arm,elbow,0.462755978,1.46219444,-0.08089808,-0.0417057052,-0.99838537,-0.03856581,450,45,380
left_hand,left_forearm,wrist,-0.7054892,1.45161772,-0.0569805726,0.0603510328,-0.00224369788,0.998174667,250,30,171
right_hand,right_forearm,wrist,0.705492556,1.45171332,-0.0570454448,-0.0602576,-0.00230259821,0.9981802,250,30,171
left_thigh,pelvis,hip,-0.1143592,0.9847451,-0.0386138633,1,-7.659117E-05,0.000187452664,2700,155.884567,2052
right_thigh,pelvis,hip,0.114181742,0.984609365,-0.03854786,0.9999998,0.0005796288,0.000181066818,2700,155.884567,2052
left_shank,left_thigh,knee,-0.114425085,0.555861056,-0.03540717,0.99999994,-0.000166802376,0.000206655823,2400,138.564056,2052
right_shank,right_thigh,knee,0.114429958,0.555810332,-0.0356141068,0.9999998,0.0005794349,0.00018168625,2400,138.564056,2052
left_foot,left_shank,ankle,-0.114493839,0.0996044,-0.0843489245,0.99999994,-0.0001619603,0.000243638526,1950,121.243553,1710
right_foot,right_shank,ankle,0.114780605,0.09957811,-0.0848765,0.9999997,0.000808512967,3.643768E-05,1950,121.243553,1710
barbell,thorax,saddle,4.65633366E-06,1.474985,-0.115977108,NA,NA,NA,50000,3000,60000
