segment,parent,family,anchor_x,anchor_y,anchor_z,axis_x,axis_y,axis_z,spring,damper,max_force_nm
pelvis,NONE,root,NA,NA,NA,NA,NA,NA,0,0,0
abdomen,pelvis,lumbar,-2.76808387E-05,1.08411682,-0.009999828,1,-0.000197581408,8.402269E-05,2400,147.224319,1482
thorax,abdomen,trunk,-7.767278E-06,1.18987393,0.00237809867,1,-9.333168E-05,2.22080162E-05,2400,147.224319,1482
head_neck,thorax,neck,3.67404718E-05,1.53429079,-0.0294623915,1,5.37516E-05,5.89056726E-05,300,11,228
left_upper_arm,thorax,shoulder,-0.212520123,1.47009861,-0.0559701025,-0.07368549,-0.02875046,0.996867061,500,55,494
right_upper_arm,thorax,shoulder,0.212515578,1.470132,-0.0559760742,0.0737058744,-0.0287061632,0.996866763,500,55,494
left_forearm,left_upper_arm,elbow,-0.462800026,1.46028352,-0.08245488,-0.0372006372,0.9989073,0.0282886438,450,45,380
right_forearm,right_upper_arm,elbow,0.4627943,1.46037388,-0.08247174,-0.0369252861,-0.998919249,-0.0282306969,450,45,380
left_hand,left_forearm,wrist,-0.705484033,1.4512378,-0.0571426637,0.06678773,0.00813835952,0.997734,250,30,171
right_hand,right_forearm,wrist,0.7054802,1.45140147,-0.0571734458,-0.06687316,0.008160233,0.9977281,250,30,171
left_thigh,pelvis,hip,-0.114343137,0.9829625,-0.03829656,1,-4.08274E-05,4.319305E-05,2700,155.884567,2052
right_thigh,pelvis,hip,0.114212252,0.9828881,-0.0382975042,0.99999994,0.000404431717,-9.038427E-06,2700,155.884567,2052
left_shank,left_thigh,knee,-0.114390306,0.5541156,-0.0359705165,1,-0.000127828491,5.075569E-05,2400,138.564056,2052
right_shank,right_thigh,knee,0.11438565,0.5540884,-0.0360451974,0.99999994,0.000404438033,-8.749832E-06,2400,138.564056,2052
left_foot,left_shank,ankle,-0.114451826,0.0979489759,-0.08538853,1,-0.000134359769,7.896424E-05,1950,121.243553,1710
right_foot,right_shank,ankle,0.114633396,0.09793422,-0.0856417,0.9999998,0.0006022179,-0.000162750555,1950,121.243553,1710
barbell,thorax,saddle,8.444562E-06,1.4708519,-0.116757616,NA,NA,NA,50000,3000,60000
