load_kg,measured_ticks,settle_pelvis_y,min_pelvis_y,final_pelvis_y,max_trunk_pitch_rad,max_foot_pitch_deg,min_capture_margin_m,max_com_speed_mps,max_posture_error_deg,max_limit_proximity,min_guard_scale,max_ankle_offset_deg,max_saddle_separation_m,min_support_contacts,support_lost,saddle_unstable,non_finite,upright,pass
25,500,0.977669358,0.977669358,0.9777911,0.145770416,0.0164775532,0.107788965,0.005354673,4.03056574,0.0168433711,0.9831566,7.00946569,0.00520765875,8,False,False,False,True,True
60,500,0.9701797,0.9701797,0.9710181,0.324268967,0.0221539382,0.0916809142,0.0103986077,12.1726818,0.134828329,0.9103801,2.35207486,0.0121298628,8,False,False,False,True,False
140,500,0.93638,0.09212152,0.10427697,1.60293281,89.5738754,-1.66659141,2.407414,47.35589,1,0,15.0000343,0.04961581,6,False,False,False,False,False
170,500,0.914296746,0.100521468,0.104505047,1.867234,88.84174,-1.656077,2.502871,48.9550819,1,0,15.0000343,0.04950082,0,True,False,False,False,False
300,500,0.72622925,0.0994683355,0.104969509,2.915866,89.80417,-1.26991749,2.268319,75.83445,1,0,15.0000343,0.05429634,0,True,False,False,False,False
