load_kg,bar_mass_kg,thorax_mass_kg,athlete_mass_kg,bar_to_thorax_mass_ratio,bar_to_athlete_mass_ratio,system_mass_kg,enable_collision,bar_thorax_collider_pairs,bar_thorax_ignored_pairs,bar_athlete_ignored_pairs_total,saddle_enumerated_bar_colliders,bar_body_colliders,athlete_colliders,anchor_x,anchor_y,anchor_z,connected_anchor_x,connected_anchor_y,connected_anchor_z,auto_configure_connected_anchor,enable_preprocessing,projection_mode,projection_distance_m,projection_angle_deg,break_force_n,break_torque_nm,mass_scale,connected_mass_scale,linear_limit_m,linear_limit_spring,linear_drive_spring,linear_drive_damper,linear_drive_max_force,angular_x_low_deg,angular_x_high_deg,angular_y_deg,angular_z_deg,angular_drive_spring,angular_drive_damper,angular_drive_max_force,initial_anchor_error_m,initial_relative_qx,initial_relative_qy,initial_relative_qz,initial_relative_qw,bar_solver_position,bar_solver_velocity,thorax_solver_position,thorax_solver_velocity,static_linear_deflection_at_spring_m
25,25,21.6,99.99999,1.1574074,0.25000003,124.999992,false,0,0,0,0,9,16,0,0,0,0,0.08,-0.115,false,true,None,0.1,180,60000,15000,1,1,0.05,0,50000,3000,60000,-20,20,15,15,1200,100,1200,0.07139326,-0.06566459,0,5.74058E-09,0.9978418,12,6,28,1,0.00490500033
60,60,21.6,99.99999,2.77777767,0.6,160,false,0,0,0,0,9,16,0,0,0,0,0.08,-0.115,false,true,None,0.1,180,60000,15000,1,1,0.05,0,50000,3000,60000,-20,20,15,15,1200,100,1200,0.07139326,-0.06566459,0,5.74058E-09,0.9978418,12,6,28,1,0.0117720012
140,140,21.6,99.99999,6.48148155,1.4000001,240,false,0,0,0,0,9,16,0,0,0,0,0.08,-0.115,false,true,None,0.1,180,60000,15000,1,1,0.05,0,50000,3000,60000,-20,20,15,15,1200,100,1200,0.07139326,-0.06566459,0,5.74058E-09,0.9978418,12,6,28,1,0.027468
170,170,21.6,99.99999,7.87037039,1.70000017,270,false,0,0,0,0,9,16,0,0,0,0,0.08,-0.115,false,true,None,0.1,180,60000,15000,1,1,0.05,0,50000,3000,60000,-20,20,15,15,1200,100,1200,0.07139326,-0.06566459,0,5.74058E-09,0.9978418,12,6,28,1,0.033354003
300,300,21.6,99.99999,13.8888884,3.00000024,400,false,0,0,0,0,9,16,0,0,0,0,0.08,-0.115,false,true,None,0.1,180,60000,15000,1,1,0.05,0,50000,3000,60000,-20,20,15,15,1200,100,1200,0.07139326,-0.06566459,0,5.74058E-09,0.9978418,12,6,28,1,0.0588600039
