load_kg,athlete_position_iterations,athlete_velocity_iterations,island_position_iterations,island_velocity_iterations,intervention,drive_high_onset_tick,drive_saturation_onset_tick,tracking_failure_onset_tick,posture_departure_onset_tick,capture_departure_onset_tick,support_loss_onset_tick,saddle_linear_limit_onset_tick,saddle_gross_failure_onset_tick,contact_mode_change_onset_tick,posture_joint_error_onset_tick,posture_gross_onset_tick,guard_withdrawal_onset_tick,capture_departure_hull_onset_tick,com_outside_hull_onset_tick,foot_lift_onset_tick,foot_slip_onset_tick,plantar_count_change_onset_tick,bar_thorax_contact_onset_tick,bar_athlete_contact_onset_tick,nonplantar_ground_contact_onset_tick,saddle_angular_limit_onset_tick,canonical_first_onset_order,contact_mode_reason,bar_thorax_callback_ticks,max_bar_thorax_penetration_m,connected_body_collision_enabled,bar_to_thorax_mass_ratio,non_finite,stage_a_pass,upright,stage_a_summary,min_hull_capture_margin_m,max_load_bearing_demand,max_saddle_linear_occupancy,qualified
25,28,1,28,6,equilibrium.target_v2_trim,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRACKING_FAILURE@12,NONE,0,0.0232375413,false,1.1574074,false,true,true,"load=25 measured=500 settlePelvis=0.9746 minPelvis=0.9746 maxTrunk=0.2235 capture=0.1055 comSpeed=0.0050 posture=5.303 limit=0.049 guard=0.969 ankle=1.876 saddle=0.0052 contacts=8 sat=0.000 supportLost=False saddleUnstable=False upright=True pass=True",0.105539553,0.04562803,0.103623159,true
60,28,1,28,6,equilibrium.target_v2_trim,NA,NA,16,37,NA,NA,NA,NA,NA,37,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRACKING_FAILURE@16>POSTURE_DEPARTURE@37,NONE,0,0.0218259618,false,2.77777767,false,false,true,"load=60 measured=500 settlePelvis=0.9661 minPelvis=0.9644 maxTrunk=0.5547 capture=0.0825 comSpeed=0.0197 posture=16.864 limit=0.351 guard=0.420 ankle=7.361 saddle=0.0120 contacts=8 sat=0.000 supportLost=False saddleUnstable=False upright=True pass=False",0.08236367,0.153560773,0.240910336,false
140,28,1,28,6,equilibrium.target_v2_trim,NA,NA,11,1,275,NA,NA,NA,345,1,246,12,275,302,NA,NA,345,NA,NA,381,NA,POSTURE_DEPARTURE@1>TRACKING_FAILURE@11>CAPTURE_DEPARTURE@275>CONTACT_MODE_CHANGE@345,PLANTAR_COUNT_4_2_FROM_4_4,0,0.04041314,false,6.48148155,false,false,false,"load=140 measured=500 settlePelvis=0.9783 minPelvis=0.1527 maxTrunk=1.6478 capture=-1.4709 comSpeed=2.1123 posture=24.275 limit=1.000 guard=0.000 ankle=15.000 saddle=0.0536 contacts=3 sat=0.000 supportLost=False saddleUnstable=False upright=False pass=False",-1.48176241,0.289291948,1.07170427,false
170,28,1,28,6,equilibrium.target_v2_trim,NA,NA,1,1,205,NA,NA,NA,282,1,120,13,205,229,NA,NA,282,NA,NA,311,NA,TRACKING_FAILURE@1>POSTURE_DEPARTURE@1>CAPTURE_DEPARTURE@205>CONTACT_MODE_CHANGE@282,PLANTAR_COUNT_2_4_FROM_4_4,0,0.0207656026,false,7.87037039,false,false,false,"load=170 measured=500 settlePelvis=0.9685 minPelvis=0.1554 maxTrunk=1.7733 capture=-1.4503 comSpeed=2.2245 posture=49.409 limit=1.000 guard=0.000 ankle=15.000 saddle=0.0425 contacts=4 sat=0.000 supportLost=False saddleUnstable=False upright=False pass=False",-1.455121,0.4588661,0.84919,false
300,28,1,28,6,equilibrium.target_v2_trim,156,NA,9,1,92,186,18,NA,184,1,38,13,92,111,184,339,184,NA,NA,197,191,POSTURE_DEPARTURE@1>TRACKING_FAILURE@9>SADDLE_LINEAR_LIMIT@18>CAPTURE_DEPARTURE@92>DRIVE_HIGH@156>CONTACT_MODE_CHANGE@184>SUPPORT_LOSS@186,PLANTAR_COUNT_0_0_FROM_4_4,0,0.0402523279,false,13.8888884,false,false,false,"load=300 measured=500 settlePelvis=0.8381 minPelvis=0.1138 maxTrunk=2.4618 capture=-1.5332 comSpeed=2.4188 posture=65.539 limit=1.000 guard=0.000 ankle=15.000 saddle=0.0511 contacts=0 sat=0.000 supportLost=True saddleUnstable=False upright=False pass=False",-1.53383744,0.5297491,1.02261269,false
