segment,parent,family,anchor_x,anchor_y,anchor_z,axis_x,axis_y,axis_z,spring,damper,max_force_nm
pelvis,NONE,root,NA,NA,NA,NA,NA,NA,0,0,0
abdomen,pelvis,lumbar,-1.89854836E-05,1.08626068,-0.0100680934,1,-0.0001649892,8.956222E-05,800,85,1482
thorax,abdomen,trunk,-2.45401634E-06,1.19208658,0.00228246022,1,-4.72355277E-05,4.65503435E-05,800,85,1482
head_neck,thorax,neck,2.358231E-05,1.53692043,-0.0264228676,1,3.83637234E-05,6.688444E-05,300,11,228
left_upper_arm,thorax,shoulder,-0.212579921,1.47284412,-0.0535041243,-0.07627275,-0.03752661,0.996380568,500,55,494
right_upper_arm,thorax,shoulder,0.212569177,1.47287774,-0.053528443,0.0763913542,-0.03754756,0.9963707,500,55,494
left_forearm,left_upper_arm,elbow,-0.462765843,1.46213019,-0.0808856562,-0.0419828035,0.9984322,0.03701947,450,45,380
right_forearm,right_upper_arm,elbow,0.462751836,1.46220362,-0.08094883,-0.041816,-0.9984386,-0.0370361879,450,45,380
left_hand,left_forearm,wrist,-0.7054975,1.45160508,-0.0569573343,0.06039133,-0.0007165668,0.9981745,250,30,171
right_hand,right_forearm,wrist,0.70548594,1.45171916,-0.05704683,-0.0604043156,-0.0007743458,0.9981737,250,30,171
left_thigh,pelvis,hip,-0.114341639,0.984942,-0.0382704139,1,2.07139456E-05,6.275548E-05,900,90,2052
right_thigh,pelvis,hip,0.114203066,0.984812856,-0.03827313,0.99999994,0.000374203228,8.978344E-05,900,90,2052
left_shank,left_thigh,knee,-0.114373215,0.5560592,-0.03592997,1,-0.000104784805,7.067885E-05,800,80,2052
right_shank,right_thigh,knee,0.114363395,0.5560127,-0.0359760076,0.99999994,0.000374162744,8.99522056E-05,800,80,2052
left_foot,left_shank,ankle,-0.114430182,0.0998325348,-0.08512158,1,-0.000133714726,0.0001221781,650,70,1710
right_foot,right_shank,ankle,0.114615895,0.09978928,-0.08528288,0.9999998,0.0006174224,-9.776733E-05,650,70,1710
barbell,thorax,saddle,3.54825215E-06,1.4749006,-0.116010964,NA,NA,NA,50000,3000,60000
