tick,time,state,sq,knee_cmd_rate,knee_fd_rate,knee_rate_diff,knee_ref_accel,hip_cmd_rate,hip_fd_rate,hip_rate_diff,hip_ref_accel,ankle_nom_cmd_rate,ankle_nom_fd_rate,ankle_nom_diff
32,0.320,DESCENT,0.0990,39.11,39.11,0.00,8.5,-36.06,-36.06,0.00,-8.9,-12.78,-12.75,0.03
33,0.330,DESCENT,0.1020,39.39,39.29,0.10,8.1,-36.35,-36.25,0.10,-8.6,-12.80,-12.79,0.01
34,0.340,DESCENT,0.1050,39.39,39.40,0.00,7.6,-36.35,-36.35,0.00,-8.3,-12.81,-12.81,0.00
35,0.350,DESCENT,0.1080,39.39,39.39,0.00,7.1,-36.35,-36.35,0.00,-8.0,-12.83,-12.81,0.01
36,0.360,DESCENT,0.1110,39.62,39.46,0.15,6.6,-36.61,-36.44,0.17,-7.7,-12.84,-12.83,0.00
37,0.370,DESCENT,0.1140,39.62,39.62,0.00,6.1,-36.61,-36.61,0.00,-7.4,-12.84,-12.83,0.01
38,0.380,DESCENT,0.1170,39.62,39.62,0.00,5.7,-36.61,-36.61,0.00,-7.1,-12.85,-12.85,0.00
39,0.390,DESCENT,0.1200,39.62,39.62,0.00,5.2,-36.61,-36.61,0.00,-6.8,-12.85,-12.83,0.02
40,0.400,DESCENT,0.1230,39.79,39.79,0.00,4.7,-36.84,-36.84,0.00,-6.5,-12.84,-12.85,0.00
41,0.410,DESCENT,0.1260,39.79,39.79,0.00,4.2,-36.84,-36.84,0.00,-6.2,-12.84,-12.83,0.01
42,0.420,DESCENT,0.1290,39.79,39.79,0.00,3.7,-36.84,-36.83,0.00,-5.9,-12.83,-12.84,0.01
43,0.430,DESCENT,0.1320,39.91,39.87,0.04,3.3,-37.03,-36.97,0.06,-5.7,-12.82,-12.81,0.00
44,0.440,DESCENT,0.1350,39.91,39.91,0.00,2.8,-37.03,-37.03,0.00,-5.4,-12.80,-12.80,0.00
45,0.450,DESCENT,0.1380,39.91,39.91,0.00,2.3,-37.03,-37.03,0.00,-5.1,-12.79,-12.80,0.01
46,0.460,DESCENT,0.1410,39.97,39.93,0.05,1.8,-37.20,-37.09,0.11,-4.8,-12.77,-12.79,0.02
47,0.470,DESCENT,0.1440,39.97,39.98,0.00,1.3,-37.20,-37.20,0.00,-4.5,-12.75,-12.74,0.01
48,0.480,DESCENT,0.1470,39.97,39.98,0.00,0.8,-37.20,-37.19,0.00,-4.2,-12.72,-12.73,0.01
49,0.490,DESCENT,0.1500,39.99,39.97,0.02,0.4,-37.33,-37.20,0.13,-3.9,-12.69,-12.73,0.04
50,0.500,DESCENT,0.1530,39.99,39.99,0.00,-0.1,-37.33,-37.33,0.00,-3.6,-12.66,-12.65,0.01
51,0.510,DESCENT,0.1560,39.99,39.99,0.00,-0.6,-37.33,-37.33,0.00,-3.3,-12.63,-12.63,0.01
52,0.520,DESCENT,0.1590,39.99,39.99,0.00,-1.1,-37.33,-37.33,0.00,-3.0,-12.59,-12.63,0.04
53,0.530,DESCENT,0.1620,39.95,39.96,0.01,-1.6,-37.43,-37.39,0.03,-2.8,-12.55,-12.55,0.00
54,0.540,DESCENT,0.1650,39.95,39.95,0.00,-2.0,-37.43,-37.42,0.00,-2.5,-12.51,-12.50,0.00
55,0.550,DESCENT,0.1680,39.95,39.94,0.00,-2.5,-37.43,-37.43,0.00,-2.2,-12.46,-12.51,0.05
56,0.560,DESCENT,0.1710,39.85,39.91,0.06,-3.0,-37.49,-37.45,0.04,-1.9,-12.41,-12.45,0.04
57,0.570,DESCENT,0.1740,39.85,39.85,0.00,-3.5,-37.49,-37.49,0.00,-1.6,-12.36,-12.33,0.03
58,0.580,DESCENT,0.1770,39.85,39.85,0.00,-4.0,-37.49,-37.49,0.00,-1.3,-12.30,-12.35,0.04
59,0.590,DESCENT,0.1800,39.70,39.85,0.15,-4.4,-37.53,-37.48,0.04,-1.0,-12.25,-12.33,0.09
60,0.600,DESCENT,0.1830,39.70,39.70,0.00,-4.9,-37.53,-37.53,0.00,-0.7,-12.19,-12.14,0.04
61,0.610,DESCENT,0.1860,39.70,39.71,0.00,-5.4,-37.53,-37.52,0.00,-0.4,-12.12,-12.14,0.02
62,0.620,DESCENT,0.1890,39.70,39.70,0.00,-5.9,-37.53,-37.53,0.00,-0.1,-12.06,-12.15,0.09
63,0.630,DESCENT,0.1920,39.50,39.57,0.07,-6.4,-37.53,-37.53,0.00,0.1,-11.99,-11.99,0.00
64,0.640,DESCENT,0.1950,39.50,39.50,0.00,-6.8,-37.53,-37.53,0.00,0.4,-11.92,-11.92,0.00
65,0.650,DESCENT,0.1980,39.50,39.50,0.00,-7.3,-37.53,-37.53,0.00,0.7,-11.84,-11.91,0.07
66,0.660,DESCENT,0.2010,39.25,39.41,0.17,-7.8,-37.50,-37.52,0.02,1.0,-11.76,-11.83,0.07
67,0.670,DESCENT,0.2040,39.25,39.25,0.00,-8.3,-37.50,-37.50,0.00,1.3,-11.68,-11.66,0.02
68,0.680,DESCENT,0.2070,39.25,39.25,0.00,-8.8,-37.50,-37.50,0.00,1.6,-11.60,-11.65,0.05
69,0.690,DESCENT,0.2100,38.94,39.25,0.31,-9.3,-37.43,-37.49,0.06,1.9,-11.51,-11.65,0.14
