time,tick,state,direction,sq,phase_velocity,phase_accel,knee_l_nom,knee_l_grav,knee_l_bal,knee_l_req,knee_l_app,knee_l_act,knee_l_req_app_err,knee_l_app_act_err,knee_l_req_act_err,knee_l_dqds,knee_l_nom_tgt_vel,knee_l_req_tgt_vel,knee_l_app_tgt_vel,knee_l_act_vel,knee_l_ref_accel,knee_l_pos_nm,knee_l_vel_nm,knee_l_tot_nm,knee_l_solv_nm,knee_l_demand,knee_l_max_force,knee_l_lim,hip_l_nom,hip_l_grav,hip_l_bal,hip_l_req,hip_l_app,hip_l_act,hip_l_req_app_err,hip_l_app_act_err,hip_l_req_act_err,hip_l_dqds,hip_l_nom_tgt_vel,hip_l_req_tgt_vel,hip_l_app_tgt_vel,hip_l_act_vel,hip_l_ref_accel,hip_l_pos_nm,hip_l_vel_nm,hip_l_tot_nm,hip_l_solv_nm,hip_l_demand,hip_l_max_force,hip_l_lim,ankle_l_nom,ankle_l_grav,ankle_l_bal,ankle_l_req,ankle_l_app,ankle_l_act,ankle_l_req_app_err,ankle_l_app_act_err,ankle_l_req_act_err,ankle_l_dqds,ankle_l_nom_tgt_vel,ankle_l_req_tgt_vel,ankle_l_app_tgt_vel,ankle_l_act_vel,pelvis_pitch,trunk_pitch,com_z,com_y,cop_z,support_min,support_max,contacts,foot_pitch_l,foot_pitch_r,bar_y,bar_vy
2.640,264,DESCENT,Descent,0.7950,0.30,0.0,97.81,0.00,0.00,97.81,97.81,100.04,0.00,2.23,2.23,95.28,28.58,28.57,28.57,32.82,-51.0,-31.1,-5.9,-37.1,0.0,0.0181,2052.0,0.6900,-95.95,0.00,0.00,-95.95,-95.95,-93.68,0.00,2.27,2.27,-89.56,-26.87,-26.86,-26.86,-31.20,48.6,-35.7,6.8,-28.8,0.0,0.0142,2052.0,0.7806,-24.65,0.00,1.16,-23.49,-24.32,-31.23,-0.83,-6.91,-7.74,-15.23,-4.57,-4.57,-4.57,-5.08,-24.90,36.94,-0.0308,0.7127,-0.0391,-0.1547,0.1353,8,-0.01,-0.01,0.0000,0.0000
2.650,265,DESCENT,Descent,0.7980,0.30,0.0,98.10,0.00,0.00,98.10,98.10,100.42,0.00,2.32,2.32,93.54,28.06,28.57,28.57,33.40,-53.5,-32.4,-6.7,-39.1,0.0,0.0191,2052.0,0.6925,-96.21,0.00,0.00,-96.21,-96.21,-94.01,0.00,2.21,2.21,-87.90,-26.37,-26.86,-26.86,-31.73,50.9,-34.7,7.7,-27.0,0.0,0.0134,2052.0,0.7834,-24.70,0.00,-0.30,-25.00,-25.00,-31.30,0.00,-6.31,-6.31,-14.92,-4.48,-4.57,-4.57,-3.89,-24.93,37.00,-0.0308,0.7106,-0.0331,-0.1547,0.1353,8,-0.01,-0.01,0.0000,0.0000
2.660,266,DESCENT,Descent,0.8010,0.30,0.0,98.38,0.00,0.00,98.38,98.38,100.79,0.00,2.41,2.41,91.72,27.51,26.73,26.73,32.94,-56.0,-33.7,-8.7,-42.4,0.0,0.0206,2052.0,0.6951,-96.48,0.00,0.00,-96.48,-96.48,-94.34,0.00,2.14,2.14,-86.16,-25.85,-25.11,-25.11,-31.36,53.3,-33.6,9.8,-23.8,0.0,0.0118,2052.0,0.7861,-24.74,0.00,1.99,-22.75,-23.85,-31.38,-1.10,-7.53,-8.63,-14.59,-4.38,-4.24,-4.24,-3.75,-24.95,37.06,-0.0309,0.7084,-0.0368,-0.1547,0.1353,8,-0.01,-0.01,0.0000,0.0000
2.670,267,DESCENT,Descent,0.8040,0.30,0.0,98.64,0.00,0.00,98.64,98.64,101.17,0.00,2.53,2.53,89.81,26.94,26.73,26.73,33.86,-58.5,-35.3,-10.0,-45.2,0.0,0.0220,2052.0,0.6977,-96.73,0.00,0.00,-96.73,-96.73,-94.68,0.00,2.05,2.05,-84.34,-25.30,-25.11,-25.11,-32.57,55.7,-32.2,11.7,-20.5,0.0,0.0103,2052.0,0.7890,-24.79,0.00,-0.30,-25.08,-25.00,-31.44,0.09,-6.44,-6.36,-14.26,-4.28,-4.24,-4.24,-2.73,-24.98,37.12,-0.0309,0.7063,-0.0300,-0.1547,0.1353,8,-0.01,-0.01,0.0000,0.0000
2.680,268,DESCENT,Descent,0.8070,0.30,0.0,98.91,0.00,0.00,98.91,98.91,101.54,0.00,2.63,2.63,87.82,26.34,26.73,26.73,32.85,-61.0,-36.7,-8.5,-45.3,0.0,0.0221,2052.0,0.7003,-96.98,0.00,0.00,-96.98,-96.98,-95.01,0.00,1.97,1.97,-82.45,-24.73,-25.11,-25.11,-31.65,58.0,-31.0,10.3,-20.7,0.0,0.0103,2052.0,0.7917,-24.83,0.00,1.99,-22.84,-23.85,-31.51,-1.02,-7.66,-8.67,-13.90,-4.17,-4.24,-4.24,-3.24,-25.00,37.18,-0.0309,0.7042,-0.0356,-0.1547,0.1353,8,-0.01,-0.01,0.0000,0.0000
2.690,269,DESCENT,Descent,0.8100,0.30,0.0,99.18,0.00,0.00,99.18,99.18,101.92,0.00,2.74,2.74,85.74,25.72,24.62,24.62,33.13,-63.5,-38.2,-11.9,-50.1,0.0,0.0244,2052.0,0.7029,-97.23,0.00,0.00,-97.23,-97.23,-95.34,0.00,1.89,1.89,-80.48,-24.14,-23.09,-23.09,-31.66,60.4,-29.7,13.5,-16.2,0.0,0.0082,2052.0,0.7945,-24.87,0.00,-0.30,-25.17,-25.00,-31.57,0.17,-6.57,-6.40,-13.54,-4.06,-3.87,-3.87,-2.59,-25.04,37.24,-0.0310,0.7021,-0.0292,-0.1547,0.1353,8,-0.01,-0.01,0.0000,0.0000
2.700,270,DESCENT,Descent,0.8130,0.30,0.0,99.43,0.00,0.00,99.43,99.43,102.29,0.00,2.86,2.86,83.58,25.07,24.62,24.62,32.74,-66.0,-39.9,-11.3,-51.3,0.0,0.0250,2052.0,0.7054,-97.46,0.00,0.00,-97.46,-97.46,-95.67,0.00,1.79,1.79,-78.42,-23.53,-23.09,-23.09,-31.87,62.7,-28.1,13.8,-14.3,0.0,0.0073,2052.0,0.7973,-24.91,0.00,1.99,-22.92,-23.85,-31.64,-0.94,-7.79,-8.73,-13.16,-3.95,-3.87,-3.87,-3.43,-25.06,37.30,-0.0310,0.7000,-0.0346,-0.1547,0.1353,8,-0.01,-0.01,0.0000,0.0000
2.710,271,DESCENT,Descent,0.8160,0.30,0.0,99.67,0.00,0.00,99.67,99.67,102.66,0.00,2.99,2.99,81.34,24.40,24.62,24.62,32.84,-68.5,-41.7,-11.5,-53.2,0.0,0.0259,2052.0,0.7080,-97.69,0.00,0.00,-97.69,-97.69,-96.01,0.00,1.68,1.68,-76.29,-22.89,-23.09,-23.09,-31.90,65.1,-26.4,13.8,-12.6,0.0,0.0066,2052.0,0.8001,-24.95,0.00,-0.30,-25.25,-25.00,-31.71,0.25,-6.71,-6.46,-12.77,-3.83,-3.87,-3.87,-2.47,-25.09,37.36,-0.0310,0.6978,-0.0284,-0.1547,0.1353,8,-0.01,-0.01,0.0000,0.0000
2.720,272,DESCENT,Descent,0.8190,0.30,0.0,99.92,0.00,0.00,99.92,99.92,103.02,0.00,3.10,3.10,79.01,23.70,24.62,24.62,31.86,-71.0,-43.3,-10.1,-53.4,0.0,0.0260,2052.0,0.7105,-97.92,0.00,0.00,-97.92,-97.92,-96.33,0.00,1.59,1.59,-74.09,-22.23,-23.09,-23.09,-30.83,67.4,-25.0,12.1,-12.8,0.0,0.0066,2052.0,0.8028,-24.99,0.00,1.99,-22.99,-23.85,-31.77,-0.86,-7.92,-8.78,-12.36,-3.71,-3.87,-3.87,-3.08,-25.11,37.42,-0.0310,0.6957,-0.0345,-0.1547,0.1353,8,-0.01,-0.01,0.0000,0.0000
2.730,273,DESCENT,Descent,0.8220,0.30,0.0,100.16,0.00,0.00,100.16,100.16,103.38,0.00,3.23,3.23,78.41,23.52,23.60,23.60,32.09,8.1,-45.1,-11.9,-56.9,0.0,0.0277,2052.0,0.7130,-98.15,0.00,0.00,-98.15,-98.15,-96.66,0.00,1.49,1.49,-73.47,-22.04,-22.10,-22.10,-30.82,-6.2,-23.4,13.7,-9.7,0.0,0.0053,2052.0,0.8055,-25.02,0.00,-0.30,-25.32,-25.00,-31.83,0.32,-6.84,-6.51,-12.20,-3.66,-3.65,-3.65,-2.21,-25.14,37.48,-0.0311,0.6936,-0.0286,-0.1547,0.1353,8,-0.01,-0.01,0.0000,0.0000
