phase,feed_forward,saddle,repeat,load_kg,tick,pelvis_y,trunk_pitch_rad,canonical_pose_error_deg,target_actual_deflection_deg,capture_hull_margin_m,capture_front_m,capture_rear_m,com_speed_mps,raw_ankle_authority_fraction,applied_ankle_authority_fraction,posture_guard_scale,hip_strategy_blend,hip_authority_usage,trunk_authority_usage,drive_demand,drive_saturated,joint_limit,saddle_separation_m,saddle_linear_limit_occupancy,saddle_angular_x_limit_occupancy,saddle_angular_y_limit_occupancy,saddle_angular_z_limit_occupancy,saddle_force_n,saddle_torque_nm,support_contacts,support_retained,tracking_failure,capture_failure,posture_failure,support_loss,saddle_linear_limit,saddle_angular_limit
"matrix","F2","S0",1,230,0,0.98857224,0.08204756,0,6.70912647,0.06492763,0.225072384,0.06492763,2.16745413E-08,0,0,1,0,0,0,0.441740036,true,0.0506675243,0.05025899,1.00517976,0.121672757,0.0004634624,0.000439523457,3942.03369,5.96046448E-06,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,230,1,0.9909108,0.0690413862,0,6.70912647,0.05926148,0.23143971,0.05945769,2.05207172E-07,0.125911489,0.125911489,1,0,0,0,0.1969482,true,0.110214554,0.043152865,0.8630573,0.131427243,0.0006284857,0.000560071669,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,230,2,0.9917983,0.05561368,1.46977282,5.40756226,0.0530779362,0.237994835,0.053411305,2.34816042E-07,0.516737044,0.516737044,1,0,0,0,0.141086757,true,0.158456743,0.0362443626,0.724887252,0.138005048,0.00108908792,0.000213146981,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,230,3,0.991235256,0.0426719449,1.90653074,5.230929,0.04519447,0.223017991,0.0457379073,1.63689521E-07,0.762492,0.762492,1,0,0,0,0.107398078,true,0.200027421,0.0301190224,0.602380455,0.139454722,0.00142224785,0.000122893383,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,230,4,0.989488542,0.0308581423,2.3696332,4.893133,0.0298615973,0.185301438,0.0306243524,0.016244337,0.7513467,0.7513467,1,0,0,0,0.152274147,true,0.235003263,0.024715798,0.494315952,0.135002181,0.00179431483,0.000440422824,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,230,5,0.987018,0.021569673,2.8241694,4.47739172,0.02676789,0.188393429,0.0275323614,0.02401873,4.408861,4.408861,1,1,0.0695095956,0.04054616,0.13885203,true,0.23896654,0.019738961,0.3947792,0.122958623,0.00292637153,0.000943589839,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,230,6,0.9843012,0.0125833675,3.25404882,3.94834638,0.0262005087,0.188958988,0.0269668028,0.0249017552,2.39698625,2.39698625,1,1,0.007900352,0.00460841274,0.150955841,true,0.235668421,0.0146609889,0.293219775,0.109987795,0.00388018112,0.001366001,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,230,7,0.9815714,0.00403147237,3.55634522,4.101991,0.0272095166,0.187947482,0.0279783159,0.0216115545,2.10791683,2.106397,0.999279,1,0.0460449941,0.0268588476,0.153640181,true,0.2296125,0.009579162,0.191583246,0.0961389244,0.004552078,0.00169053965,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,230,8,0.9789975,-0.00340702571,3.76817346,4.17519569,0.0291901063,0.257890642,0.029980734,0.0156362969,2.10799575,2.09913135,0.995794833,1,0.05194839,0.0303024016,0.15227361,true,0.220713645,0.005563155,0.1112631,0.080235295,0.00502884854,0.002089685,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,230,9,0.9766347,-0.010802703,3.92248631,4.11171246,0.031528227,0.255546182,0.0323251858,0.009397161,2.09701681,2.08705783,0.9952509,1,0.316306025,0.184506819,0.208222941,false,0.203595445,0.00645613065,0.129122615,0.0655723438,0.005522005,0.002674925,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,230,10,0.9744921,-0.0168349743,4.030954,4.929479,0.034040086,0.25874415,0.03486237,0.00470060529,2.09686041,2.03623486,0.9710874,1,0.288024127,0.16800949,0.209675908,false,0.184050709,0.0114154909,0.22830981,0.0491091572,0.00608570734,0.003411523,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,230,11,0.972725,-0.0213619228,4.161297,4.77342653,0.0372452065,0.2561206,0.0382336974,0.0075499895,2.0945425,2.00999475,0.9596343,1,0.2790397,0.162768722,0.355966568,false,0.170266479,0.0172586255,0.3451725,0.03129211,0.00633552531,0.004384221,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,230,12,0.9714453,-0.0241603758,4.239575,4.71152067,0.0386191,0.255064666,0.0396982729,0.0106751891,1.14400566,1.09033442,0.9530848,1,0.242767721,0.141610637,0.212220579,false,0.162552923,0.0233484432,0.466968864,0.0123086814,0.00625021569,0.005793307,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,230,13,0.970656753,-0.0250979047,4.278726,4.56260872,0.03929234,0.2540223,0.04028125,0.0129383141,1.11716676,1.08667183,0.9727034,1,0.2106703,0.122887664,0.2159452,false,0.166736275,0.02946428,0.5892856,0.00743698,0.00583203277,0.00780686736,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,230,14,0.9702904,-0.024408564,4.36674261,4.45126247,0.0401033238,0.253211975,0.0410915837,0.01452526,1.86421835,1.71371591,0.919267833,1,0.193667024,0.112969354,0.2233869,false,0.173905089,0.03538702,0.7077404,0.0267990511,0.005192113,0.0102419332,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,230,15,0.970180154,-0.0222224928,4.57888031,4.44791937,0.04081004,0.2527005,0.04185468,0.01599122,2.34655452,2.00688767,0.855248749,1,0.18045339,0.105261609,0.234997109,false,0.175517842,0.0408912338,0.817824662,0.0451229475,0.004374344,0.0128628844,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,230,16,0.970210552,-0.0187140983,4.73373461,4.50580263,0.04168305,0.251827717,0.04272744,0.0178000815,2.199252,1.7957747,0.81653893,1,0.171265885,0.09990238,0.248538211,false,0.172458857,0.04581589,0.916317761,0.06181199,0.00348369451,0.015555162,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,230,17,0.970297,-0.01404368,4.838426,4.62515259,0.0426771939,0.25083217,0.0437229946,0.0199714638,1.95698476,1.54673934,0.7903686,1,0.161907464,0.09444345,0.262967944,false,0.1657948,0.0500778854,1.00155771,0.0764635652,0.00260294485,0.0182144716,0,0,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,230,18,0.9694015,-0.00392472744,4.89601231,4.783421,0.0439035334,0.249603629,0.0449515358,0.02274079,1.68727374,1.46959782,0.8709895,1,0.151384845,0.08830542,0.336748332,false,0.1613932,0.05111634,1.02232683,0.100897864,0.00179641682,0.0207774639,2466.904,3.376844E-07,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,230,19,0.9682097,0.00707004266,4.912455,4.968554,0.04534425,0.248159632,0.04639554,0.0260476414,1.4614805,1.40665627,0.9624872,1,0.139554664,0.08140466,0.342737347,false,0.149720043,0.05116595,1.023319,0.121521913,0.0009518241,0.0237880535,1537.32983,2.01712936E-07,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,230,20,0.967677355,0.0183736477,4.91118,5.39349937,0.0469778143,0.246521145,0.0480340272,0.0298280269,1.46226156,1.44360745,0.987242937,1,0.125079423,0.07296101,0.359125972,false,0.1331164,0.0511741,1.023482,0.137408033,0.00026844017,0.0268681,1322.82593,1.88582749E-08,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,230,21,0.9677923,0.0302376542,4.86601734,5.84644127,0.0487634577,0.2447286,0.0498265848,0.03396324,1.29805815,1.28322,0.988569,1,0.10823261,0.06313397,0.3768327,false,0.113296129,0.0511510149,1.02302027,0.149793625,0.000178766233,0.02980135,1208.20947,1.05195831E-07,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,230,22,0.9684217,0.0423236936,4.786857,6.280612,0.0505730771,0.242909759,0.051645413,0.0381068364,1.03147888,1.021277,0.9901094,1,0.08930005,0.052090276,0.3909344,false,0.0909127742,0.0510916673,1.0218333,0.158305779,0.000307742332,0.0323756076,1012.57104,1.10694366E-07,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,230,23,0.9694127,0.05455823,4.67247534,6.701885,0.0524327233,0.241038561,0.05351661,0.04233633,0.6795142,0.67396754,0.9918373,0,0,0,0.3826886,false,0.0703317448,0.05099457,1.01989138,0.163260356,9.883205E-05,0.0344012752,724.2248,2.95071771E-08,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,230,24,0.9706039,0.0660711154,4.5203743,6.86113453,0.05408057,0.239376917,0.0551782548,0.04595767,0.218165681,0.2173198,0.9961227,0,0,0,0.394570738,false,0.044057373,0.0508857481,1.017715,0.163057923,0.0005146238,0.03572676,415.918335,6.778459E-08,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,230,25,0.971832454,0.0763401,4.264614,7.25947332,0.05526146,0.238181651,0.0563735142,0.0482753329,0.37399146,0.37337,0.9983382,0,0,0,0.3989717,false,0.0401230827,0.0507668145,1.01533628,0.157238573,0.0015308148,0.036357075,130.54422,4.671705E-08,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,230,26,0.972940862,0.08502762,4.00640869,7.617989,0.05573779,0.237692,0.0568631738,0.0486792773,1.01141584,1.01141584,1,1,0.009104017,0.005310532,0.406876236,false,0.0385958,0.05062069,1.01241374,0.145906731,0.00286217942,0.0364011526,0,0,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,230,27,0.973754168,0.0925153,3.760271,7.94651127,0.05563884,0.237778574,0.0567765981,0.0475848876,1.20979524,1.2087909,0.999169767,1,0.00318933348,0.00186039391,0.4070588,false,0.0437082537,0.0502500236,1.00500047,0.1311044,0.0044718706,0.0360086225,0,0,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,230,28,0.9742265,0.09900047,3.55061746,8.151082,0.0551125668,0.23829478,0.0562604,0.0453893021,1.04263377,1.04263377,1,1,0.006787189,0.003959086,0.408241421,false,0.0490403436,0.04955291,0.9910582,0.1142012,0.00622699875,0.03527942,0,0,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,230,29,0.9743905,0.104416043,3.34468031,8.338635,0.0542655736,0.239134222,0.05542095,0.0423954129,0.5235804,0.5235804,1,0,0,0,0.410533577,false,0.05375202,0.0486742258,0.9734845,0.0956577957,0.00803944748,0.03436099,0,0,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,230,30,0.9743506,0.109063342,3.163296,8.536122,0.0532025732,0.240192145,0.05436302,0.038896516,0.25391224,0.25391224,1,0,0,0,0.411233723,false,0.0579285473,0.0477354452,0.9547089,0.0767065957,0.0100016892,0.03341145,0,0,8,true,false,false,false,false,true,false
"matrix","F2","S0",1,230,31,0.97416687,0.112688206,3.01999,8.691012,0.0521780439,0.241211936,0.0533432364,0.0356704965,1.15144849,1.15144849,1,1,0.0176331978,0.0102857519,0.4158918,false,0.0618959069,0.0468456671,0.9369133,0.05713176,0.0113728736,0.0323680826,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,230,32,0.9739187,0.115443245,2.90451336,8.890645,0.0514294542,0.241955519,0.0525996536,0.0333026424,1.05828762,1.05658567,0.998391747,1,0.0325079,0.0189624242,0.4203226,false,0.06558492,0.0460565425,0.921130836,0.0377996266,0.0126174456,0.0312750675,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S0",1,230,33,0.9736504,0.11780218,2.82638621,9.073819,0.05117486,0.2422043,0.05235088,0.03225675,0.6076486,0.605844855,0.9970316,0,0,0,0.412853748,false,0.0683799461,0.0453828126,0.907656252,0.0201504566,0.0137409586,0.03016003,0,0,8,true,false,false,false,false,false,false
