phase,feed_forward,saddle,repeat,load_kg,tick,pelvis_y,trunk_pitch_rad,canonical_pose_error_deg,target_actual_deflection_deg,capture_hull_margin_m,capture_front_m,capture_rear_m,com_speed_mps,raw_ankle_authority_fraction,applied_ankle_authority_fraction,posture_guard_scale,hip_strategy_blend,hip_authority_usage,trunk_authority_usage,drive_demand,drive_saturated,joint_limit,saddle_separation_m,saddle_linear_limit_occupancy,saddle_angular_x_limit_occupancy,saddle_angular_y_limit_occupancy,saddle_angular_z_limit_occupancy,saddle_force_n,saddle_torque_nm,support_contacts,support_retained,tracking_failure,capture_failure,posture_failure,support_loss,saddle_linear_limit,saddle_angular_limit
"matrix","F2","S2",1,170,0,0.988203,0.08446398,0,6.163061,0.07052953,0.2194705,0.07052953,4.63696637E-08,0,0,1,0,0,0,0.410292417,true,0.0289446712,0.05019457,1.00389135,0.110388421,0.000333177915,0.000425146369,3617.76978,5.96046448E-06,8,true,false,false,false,false,true,false
"matrix","F2","S2",1,170,1,0.9906283,0.07109194,0,6.163061,0.06585405,0.224736646,0.06602204,4.68900874E-09,0.009416989,0.009416989,1,0,0,0,0.154312745,true,0.0581479855,0.04237092,0.847418368,0.113460086,0.0004198263,0.000532413367,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S2",1,170,2,0.99167943,0.057532642,1.44723356,4.71484232,0.0611215681,0.229754433,0.0613778979,3.10497157E-08,0.32635048,0.32635048,1,0,0,0,0.10566701,true,0.08595654,0.03473695,0.694739,0.113244817,0.000779012335,0.000203234013,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S2",1,170,3,0.991251469,0.0448048338,1.92247522,4.401208,0.0550368875,0.236256987,0.055441,8.85795E-08,0.659777939,0.659777939,1,0,0,0,0.07999017,true,0.11049825,0.02803827,0.5607654,0.108029239,0.00104133692,0.000110662273,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S2",1,170,4,0.9892308,0.0329054333,2.39493275,4.06383562,0.04795153,0.228412956,0.0485094637,2.88129741E-06,0.7482953,0.7482953,1,0,0,0,0.05762937,true,0.132408947,0.0223801676,0.447603345,0.09913349,0.00115401624,0.000359890226,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S2",1,170,5,0.986453056,0.0220377445,2.837994,3.6811626,0.03423534,0.212787628,0.0349213853,0.0160120949,2.04478168,2.04478168,1,1,0.11898724,0.06940734,0.1925029,true,0.137284517,0.017308142,0.346162826,0.0873106346,0.001426822,0.000595616933,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S2",1,170,6,0.983372,0.0139297452,3.255492,3.69178,0.03281887,0.2142023,0.0335067064,0.0193780828,2.11716962,2.09463978,0.9893585,1,0.065213345,0.0380400829,0.1404571,true,0.118957654,0.012523178,0.250463545,0.0703388,0.00225749915,0.00116236776,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S2",1,170,7,0.98024255,0.006558071,3.641609,3.3008616,0.03385382,0.2131652,0.03454382,0.0161158368,2.121344,2.1089747,0.994169056,1,0.1389723,0.08106496,0.140176326,true,0.09851535,0.007996072,0.159921438,0.0540757664,0.00284734135,0.001544114,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S2",1,170,8,0.977247655,0.0003274126,3.88458347,3.51026273,0.0364004746,0.255819142,0.03712018,0.008964916,2.12202954,2.09565759,0.9875723,1,0.155181184,0.09051989,0.151396975,true,0.08298857,0.004675932,0.0935186446,0.037920218,0.00319513772,0.00194145774,0,0,8,true,false,false,false,false,false,false
"matrix","F2","S2",1,170,9,0.9745407,-0.005220079,4.04626751,3.545764,0.03962006,0.2525933,0.04034599,0.003188633,2.11778736,2.08840036,0.9861237,1,0.311687142,0.18181254,0.187740922,false,0.08465474,0.00544997538,0.108999506,0.0234288666,0.0034256503,0.0024934127,0,0,8,true,false,false,false,false,false,false
