phase,feed_forward,saddle,repeat,load_kg,measured_ticks,initial_pelvis_y,final_pelvis_y,min_pelvis_y,max_trunk_pitch_rad,upright,min_capture_hull_margin_m,min_capture_ap_margin_m,max_com_speed_mps,max_canonical_pose_error_deg,max_target_actual_deflection_deg,max_joint_limit_proximity,max_raw_ankle_authority_fraction,max_applied_ankle_authority_fraction,min_posture_guard_scale,max_hip_strategy_blend,max_hip_authority_usage,max_trunk_authority_usage,max_drive_demand,saturation_fraction,min_rearward_cop_authority_m,min_forward_cop_authority_m,max_saddle_separation_m,max_saddle_limit_occupancy,max_saddle_linear_limit_occupancy,max_saddle_angular_limit_occupancy,max_saddle_angular_x_limit_occupancy,max_saddle_angular_y_limit_occupancy,max_saddle_angular_z_limit_occupancy,max_saddle_force_n,max_saddle_torque_nm,min_support_contacts,support_lost,saddle_invalid,non_finite,support_retained,saddle_valid,loaded_setup_valid,tracking_failure_onset_tick,capture_failure_onset_tick,posture_failure_onset_tick,support_loss_onset_tick,saddle_linear_limit_onset_tick,saddle_angular_limit_onset_tick,standing_gates_pass,pass
"matrix","F2","S2",1,25,500,0.9840742,0.9773494,0.9770296,0.1001179,true,0.08517615,0.08517615,0.06906581,3.18155527,2.4134903,0.0699536949,11.2757149,11.1543512,0.951904058,1,0.3052359,0.17804943,0.3623751,0,0.07626855,0.15373148,0.00392138632,0.0784277245,0.0784277245,0.00773830153,0.00773830153,0.00463267043,0.00426880457,0,0,8,false,false,false,true,true,true,NA,NA,NA,NA,NA,NA,true,true
"matrix","F2","S2",1,170,500,0.988203,0.9751214,0.9750949,0.0234779883,true,0.0717743039,0.07257514,0.019366065,3.339996,4.97406626,0.06663567,0.720688939,0.720688939,1,0,0,0,0.212676555,0,0.0424030051,0.191343948,0.0231792964,0.4635859,0.4635859,0.0250789989,0.0250789989,0.0079105,0.0241148956,0,0,8,false,false,false,true,true,true,NA,NA,NA,NA,NA,NA,true,true
"matrix","F2","S2",1,230,500,0.9886297,0.109836183,0.101339728,1.49899209,false,-1.6952796,-1.69185734,1.95269835,16.3626347,14.0051661,0.9427692,6.231303,5.41527,0,1,1,1,0.9329335,0,NA,NA,0.04203551,1.031711,0.840710163,1.031711,1.031711,0.0827903152,0.0611462928,0,216.836761,0,true,false,false,false,false,true,247,104,253,303,NA,317,false,false
"matrix","F2","S2",1,270,500,0.988799751,0.111016005,0.09833216,1.56672871,false,-1.68181372,-1.67921531,2.00845933,17.317009,15.34588,1,6.080362,4.95852041,0,1,1,1,0.754194,0,NA,NA,0.0374152474,1.01684129,0.748304963,1.01684129,1.01684129,0.115669452,0.112392426,0,4.92579,0,true,false,false,false,false,true,34,52,199,273,18,265,false,false
"matrix","F2","S2",1,300,500,0.988910139,0.111119621,0.0969817042,1.66028774,false,-1.6733861,-1.66956329,2.0717907,19.1983,16.9607124,1,6.5940237,5.33935642,0,1,1,1,0.77835983,0,NA,NA,0.04167232,1.01822817,0.8334464,1.01822817,1.01822817,0.146704167,0.155002981,0,39.03846,0,true,false,false,false,false,true,33,30,165,232,17,230,false,false
