phase,feed_forward,saddle,repeat,load_kg,measured_ticks,initial_pelvis_y,final_pelvis_y,min_pelvis_y,max_trunk_pitch_rad,upright,min_capture_hull_margin_m,min_capture_ap_margin_m,max_com_speed_mps,max_canonical_pose_error_deg,max_target_actual_deflection_deg,max_joint_limit_proximity,max_raw_ankle_authority_fraction,max_applied_ankle_authority_fraction,min_posture_guard_scale,max_hip_strategy_blend,max_hip_authority_usage,max_trunk_authority_usage,max_drive_demand,saturation_fraction,min_rearward_cop_authority_m,min_forward_cop_authority_m,max_saddle_separation_m,max_saddle_limit_occupancy,max_saddle_linear_limit_occupancy,max_saddle_angular_limit_occupancy,max_saddle_angular_x_limit_occupancy,max_saddle_angular_y_limit_occupancy,max_saddle_angular_z_limit_occupancy,max_saddle_force_n,max_saddle_torque_nm,min_support_contacts,support_lost,saddle_invalid,non_finite,support_retained,saddle_valid,loaded_setup_valid,tracking_failure_onset_tick,capture_failure_onset_tick,posture_failure_onset_tick,support_loss_onset_tick,saddle_linear_limit_onset_tick,saddle_angular_limit_onset_tick,standing_gates_pass,pass
"guard-diagnostic","F2-canonical-pose","S1",1,170,500,0.9826244,0.975193,0.975127637,0.0202385914,true,0.07201124,0.07244647,0.009538356,3.356595,4.910702,0.06701052,0.7182656,0.7182656,1,0,0,0,0.209472075,0,0.04178442,0.190801129,0.0341576673,0.341576666,0.341576666,0.0211815033,0.0211815033,0.00437725335,0.0160697233,0,0,8,false,false,false,true,true,true,NA,NA,NA,NA,NA,NA,true,true
"guard-diagnostic","F2-target-deflection","S1",2,170,500,0.9826244,0.9751985,0.975115538,0.020746965,true,0.0718854,0.07232095,0.0105021773,3.33413172,4.91022348,0.0666779354,0.7205623,0.7205623,0.9879866,0,0,0,0.209405541,0,0.04178442,0.190801129,0.0341492333,0.341492325,0.341492325,0.0211085286,0.0211085286,0.004288584,0.0167912971,0,0,8,false,false,false,true,true,true,NA,NA,NA,NA,NA,NA,true,true
