load_kg,repeat,sample_index,time_from_squat_start_s,state,direction,s_q,bar_present,bar_y_m,bar_vy_mps,bar_a_raw_mps2,knee_l_joint_space_deg,knee_r_joint_space_deg,hip_l_joint_space_deg,hip_r_joint_space_deg,ankle_l_joint_space_deg,ankle_r_joint_space_deg,knee_l_included_deg,knee_r_included_deg,hip_l_included_deg,hip_r_included_deg,ankle_l_included_deg,ankle_r_included_deg,abdomen_joint_space_deg,thorax_joint_space_deg,world_trunk_pitch_deg,knee_l_omega_deg_s,knee_r_omega_deg_s,hip_l_omega_deg_s,hip_r_omega_deg_s,ankle_l_omega_deg_s,ankle_r_omega_deg_s,abdomen_omega_deg_s,thorax_omega_deg_s,knee_l_ref_deg,knee_r_ref_deg,hip_l_ref_deg,hip_r_ref_deg,ankle_l_ref_deg,ankle_r_ref_deg,knee_l_error_deg,hip_l_error_deg,ankle_l_error_deg,com_x_m,com_y_m,com_z_m,com_vel_x_mps,com_vel_y_mps,com_vel_z_mps,cop_available,cop_z_m,cop_fraction_support_ap,support_ap_min_m,support_ap_max_m,support_ap_center_m,capture_ap_m,capture_margin_rear_m,capture_margin_front_m,support_contacts,left_foot_contact,right_foot_contact,left_foot_contact_count,right_foot_contact_count,left_slip_speed_mps,right_slip_speed_mps,left_slip_accumulated_m,right_slip_accumulated_m,normal_force_contact_estimate_n,saddle_separation_m,bar_rot_x_deg,bar_rot_y_deg,bar_rot_z_deg,bar_ap_relative_com_m,bar_ap_relative_support_m,failure_reason,legal_depth,lockout_reached
25,2,0,0.0099999997764825821,DESCENT,Descent,0.003,1,1.40320754,0.00784536451,0.0379644334,0.9803772,1.06898272,0.9125668,0.8392955,-1.01025939,-1.02640009,172.626556,172.558823,163.177963,162.309311,82.58074,82.58804,0.265408039,0.17245847,3.3267498,-26.9305172,-28.0003338,24.1362762,25.15283,12.409605,12.6138792,7.66418171,1.47438014,0.3403484,0.3403484,-0.318980783,-0.318980783,3.61831832,3.61831832,0.640028834,1.23154759,-4.62857771,6.13404554E-05,1.11767018,-0.04618938,0.000765560253,0.00239291578,0.00158195721,1,-0.042519033,0.386896551,-0.15471904,0.135280982,-0.009719029,-0.045655407,0.109063633,0.1809364,8,1,1,4,4,0.00179540017,0.0009881791,0.000720987853,0.00116373727,1243.72632,0.006384668,-0.205688477,0.412591815,0.487435162,-0.09251267,-0.128983021,NONE,0,0
25,2,1,0.019999999552965164,DESCENT,Descent,0.006,1,1.40322876,0.008225009,0.0556953251,0.747553945,0.8392955,1.11766291,1.04379165,-0.923649251,-0.941276252,172.868073,172.801147,163.201263,162.328629,82.67967,82.685936,0.293419629,0.17245847,3.28663969,-26.4999313,-26.8763714,21.2669315,21.6150169,11.5321484,11.770093,4.86678839,-0.3421694,0.6829933,0.6829933,-0.6391878,-0.6391878,5.80275059,5.80275059,0.06456065,1.75685072,-6.7264,7.161144E-05,1.11768281,-0.0461720824,0.00103692594,0.003828422,0.00147742161,1,-0.0500240363,0.361017227,-0.15471904,0.135280982,-0.009719029,-0.0456733927,0.109045647,0.180954367,8,1,1,4,4,0.0009684593,0.000292747427,0.000720987853,0.00116373727,1249.246,0.00639327429,-0.239807129,0.398336619,0.491363823,-0.09253083,-0.128983885,NONE,0,0
25,2,2,0.029999999329447746,DESCENT,Descent,0.009000001,1,1.40325844,0.008959271,0.08357428,0.560926735,0.6572988,1.28082728,1.20591736,-0.8622943,-0.8838103,173.073608,173.004517,163.219574,162.345932,82.76077,82.76467,0.309010148,0.163129374,3.25244927,-21.7337875,-22.14137,17.037241,17.3437557,9.058113,9.375417,3.65082884,-1.05455935,1.02563727,1.02563727,-0.9593954,-0.9593954,3.40337777,3.40337777,-0.464710534,2.24022269,-4.265672,8.384786E-05,1.11771131,-0.04616652,0.00127715734,0.00570491049,-4.00253266E-05,1,-0.0435531549,0.3833306,-0.15471904,0.135280982,-0.009719029,-0.0461800322,0.108539008,0.181461,8,1,1,4,4,0.000551964855,0.000688421831,0.000720987853,0.00116373727,1287.40186,0.006401543,-0.274719238,0.383684725,0.495308369,-0.09253135,-0.128978848,NONE,0,0
25,2,3,0.039999999105930328,DESCENT,Descent,0.012000001,1,1.40330207,0.009896494,0.0179611146,0.3995839,0.5004584,1.40497291,1.327637,-0.797207832,-0.8213859,173.234589,173.161087,163.233414,162.356064,82.82587,82.82672,0.316517562,0.1480375,3.22531915,-18.8139172,-19.3817272,13.0184908,13.418479,8.862332,9.16501,2.67800927,-1.43364346,1.37228119,1.37228119,-1.28326941,-1.28326941,5.585483,5.585483,-0.972697258,2.68824244,-6.382691,9.975771E-05,1.11779273,-0.0461690351,0.00162770133,0.0106331082,-0.000126415078,1,-0.0481978953,0.367314279,-0.15471904,0.135280982,-0.009719029,-0.04621171,0.108507335,0.181492686,8,1,1,4,4,0.00109092647,0.0005890648,0.000720987853,0.00116373727,1228.001,0.00640269136,-0.3092041,0.368745267,0.498903,-0.092520006,-0.128970012,NONE,0,0
25,2,4,0.04999999888241291,DESCENT,Descent,0.0150000015,1,1.403338,0.009318493,-0.06317012,0.288035333,0.391670555,1.49144685,1.41385829,-0.7548474,-0.7833423,173.348984,173.271835,163.244141,162.3635,82.87033,82.86804,0.318980783,0.137056082,3.20415282,-13.4429436,-14.1785364,9.313367,9.827109,6.2703886,6.591261,2.13299918,-1.2090919,1.72187555,1.72187555,-1.60859859,-1.60859859,3.18253922,3.18253922,-1.43384027,3.10004544,-3.93738651,0.000119400058,1.11788166,-0.0461651273,0.00194262492,0.0108072748,0.000675884134,1,-0.042238,0.387865633,-0.15471904,0.135280982,-0.009719029,-0.04593697,0.108782068,0.181217954,8,1,1,4,4,0.00096354977,0.0005769078,0.000720987853,0.00116373727,1241.24792,0.00639641,-0.334686279,0.3536608,0.502785563,-0.09251043,-0.128956527,NONE,0,0
25,2,5,0.059999998658895493,DESCENT,Descent,0.0180000011,1,1.40336573,0.008633092,-0.127700716,0.209356651,0.316517562,1.541004,1.46283352,-0.7176395,-0.748600245,173.418259,173.338058,163.251434,162.365036,82.89835,82.89338,0.318980783,0.125114515,3.19093132,-10.1262932,-10.92454,5.58125639,6.13877964,5.56977749,5.882308,1.47588253,-1.2112745,2.07141972,2.07141972,-1.93424642,-1.93424642,5.363511,5.363511,-1.862063,3.47525024,-6.08115053,0.000141792727,1.11797929,-0.0461515523,0.00221330556,0.0120411189,0.00123410183,1,-0.0467254557,0.372391641,-0.15471904,0.135280982,-0.009719029,-0.04573494,0.1089841,0.181015924,8,1,1,4,4,0.00139742065,0.0007095207,0.000720987853,0.00116373727,1190.108,0.006389158,-0.3541565,0.338520676,0.506665349,-0.09250732,-0.128939837,NONE,0,0
25,2,6,0.069999998435378075,DESCENT,Descent,0.0210000016,1,1.403376,0.006764479,-0.158813223,0.16785875,0.282548428,1.56219089,1.4861896,-0.7033183,-0.737009645,173.454468,173.3728,163.25676,162.365753,82.91133,82.90389,0.311532736,0.111905821,3.182491,-5.868217,-6.73297071,2.8897872,3.50590253,3.24423385,3.58010769,1.18136549,-1.0163641,2.42352319,2.42352319,-2.26180816,-2.26180816,2.95977426,2.95977426,-2.25566435,3.823999,-3.66309261,0.000166192243,1.118051,-0.04613212,0.00241219834,0.00918330252,0.00187077024,1,-0.04074979,0.392997384,-0.15471904,0.135280982,-0.009719029,-0.0455005579,0.109218478,0.180781543,8,1,1,4,4,0.00115580147,0.000518447952,0.000720987853,0.00116373727,1214.51013,0.00637235353,-0.368652344,0.323439568,0.510885,-0.09250826,-0.128921345,NONE,0,0
25,2,7,0.079999998211860657,DESCENT,Descent,0.0240000021,1,1.40337622,0.00545682758,-0.1578115,0.158258736,0.271241874,1.55213785,1.47667956,-0.6943584,-0.730609953,173.454956,173.372269,163.259491,162.361664,82.91157,82.90203,0.301315725,0.10467831,3.1816895,-3.21111417,-4.03352642,-0.319440842,0.2694547,2.67117643,3.00007176,0.615592539,-1.11721981,2.78003263,2.78003263,-2.592976,-2.592976,5.13729143,5.13729143,-2.621774,4.145114,-5.83165,0.000192106469,1.1181097,-0.04610852,0.002590095,0.00827876851,0.0020465455,1,-0.0454292223,0.376861423,-0.15471904,0.135280982,-0.009719029,-0.0454176,0.10930144,0.180698574,8,1,1,4,4,0.00144138013,0.0006872911,0.000720987853,0.00116373727,1177.604,0.00635470031,-0.380981445,0.308374941,0.5147045,-0.0925134942,-0.128902987,NONE,0,0
25,2,8,0.089999997988343239,DESCENT,Descent,0.0270000026,1,1.40335655,0.00360824913,-0.13766177,0.197823435,0.306466818,1.51487851,1.442358,-0.711065531,-0.749645054,173.423584,173.340652,163.260345,162.356964,82.89728,82.88561,0.285305053,0.0969132856,3.18656,1.04125369,0.218597069,-2.971252,-2.372107,0.319152355,0.665449142,0.4398592,-0.8747255,3.13645673,3.13645673,-2.92412066,-2.92412066,2.73117423,2.73117423,-2.9386332,4.438999,-3.44223976,0.000219376278,1.11813188,-0.0460846648,0.00273232022,0.004422126,0.00223091571,1,-0.0397627056,0.396401137,-0.15471904,0.135280982,-0.009719029,-0.04533149,0.109387547,0.180612475,8,1,1,4,4,0.00109404477,0.000444658857,0.000720987853,0.00116373727,1212.86572,0.00633908669,-0.385162354,0.2933993,0.518959165,-0.09251971,-0.128885344,NONE,0,0
25,2,9,0.099999997764825821,DESCENT,Descent,0.0300000031,1,1.40333,0.00270359218,-0.101424754,0.2470814,0.358273566,1.45424724,1.38250959,-0.7263122,-0.7671891,173.366028,173.2824,163.258835,162.348251,82.87456,82.86081,0.2683408,0.08846932,3.19767523,2.6444664,1.867629,-5.3678093,-4.797602,0.2762516,0.6088483,0.0561110526,-0.986468852,3.49327326,3.49327326,-3.25525165,-3.25525165,4.908948,4.908948,-3.246192,4.709499,-5.63526,0.0002480375,1.11813974,-0.0460609347,0.00289273984,0.00338795083,0.00208073435,1,-0.04473331,0.3792611,-0.15471904,0.135280982,-0.009719029,-0.04535846,0.109360576,0.180639446,8,1,1,4,4,0.00138407,0.000641209248,0.000720987853,0.00116373727,1182.83435,0.0063287653,-0.387359619,0.278319955,0.5227785,-0.09252809,-0.12887,NONE,0,0
