phase,feed_forward,saddle,repeat,load_kg,tick,pelvis_y,trunk_pitch_rad,canonical_pose_error_deg,target_actual_deflection_deg,capture_hull_margin_m,capture_front_m,capture_rear_m,com_speed_mps,raw_ankle_authority_fraction,applied_ankle_authority_fraction,posture_guard_scale,hip_strategy_blend,hip_authority_usage,trunk_authority_usage,drive_demand,drive_saturated,joint_limit,saddle_separation_m,saddle_linear_limit_occupancy,saddle_angular_x_limit_occupancy,saddle_angular_y_limit_occupancy,saddle_angular_z_limit_occupancy,saddle_force_n,saddle_torque_nm,support_contacts,support_retained,tracking_failure,capture_failure,posture_failure,support_loss,saddle_linear_limit,saddle_angular_limit
"qualification-repeats","F2","S1",3,60,167,0.9767844,0.0679698437,2.89911842,2.0232482,0.09139997,0.198600054,0.09139997,0.00215821061,0.139555439,0.138853863,0.9949728,0,0,0,0.08970725,false,0.06347586,0.0122123975,0.122123972,0.009624704,0.000818584929,0.006027028,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,168,0.9767609,0.06799134,2.89614677,2.024795,0.09139559,0.198604435,0.09139559,0.00215821131,0.7080609,0.7044836,0.994947731,0,0,0,0.08576443,false,0.06341493,0.0122039393,0.122039393,0.009602805,0.000836301362,0.006013179,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,169,0.9767851,0.06800414,2.89884853,2.0232482,0.09129233,0.1987077,0.09129233,0.00239652628,0.110983357,0.110425428,0.9949728,0,0,0,0.0895929,false,0.06347586,0.0122122755,0.122122757,0.009624108,0.000854030252,0.005994916,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,170,0.9767616,0.0680279359,2.89614677,2.02518153,0.0912858546,0.198714167,0.0912858546,0.00239618169,0.737084568,0.733364,0.9949523,0,0,0,0.08577776,false,0.06342103,0.0122038173,0.122038171,0.009602166,0.0008707398,0.00597462524,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,171,0.976785839,0.06804302,2.89884853,2.023635,0.09118045,0.198819578,0.09118045,0.00263279513,0.08201041,0.08159851,0.9949774,0,0,0,0.0894619748,false,0.063469775,0.0122121545,0.122121543,0.009623469,0.000887670438,0.005949953,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,172,0.976762354,0.0680692047,2.89587665,2.02518153,0.09117166,0.198828369,0.09117166,0.0026321765,0.7667777,0.762907267,0.9949523,0,0,0,0.0857925341,false,0.0634088442,0.012203576,0.122035757,0.00960150547,0.0009035499,0.005923463,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,173,0.9767867,0.06808672,2.89857841,2.023635,0.0910637453,0.198936284,0.0910637453,0.00286823441,0.0510687381,0.05081224,0.9949774,0,0,0,0.0893611461,false,0.063469775,0.0122121507,0.122121505,0.009622787,0.0009198206,0.00589283928,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,174,0.976763368,0.0681153,2.89587665,2.02595448,0.0910523757,0.198947638,0.0910523757,0.002867601,0.798350751,0.7943227,0.9949546,0,0,0,0.0858098,false,0.06341493,0.0122038107,0.1220381,0.009600804,0.000934861833,0.00586050935,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,175,0.976787865,0.0681351051,2.89857841,2.02402186,0.09094179,0.199058235,0.09094179,0.00310363644,0.0193420257,0.01924501,0.994984269,0,0,0,0.08923511,false,0.06346368,0.0122122662,0.12212266,0.009622211,0.0009501015,0.00582419336,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,176,0.97676456,0.06816594,2.89614677,2.026727,0.09092779,0.199072242,0.09092779,0.003102935,0.8308127,0.8266228,0.994956851,0,0,0,0.08582764,false,0.06340274,0.012203807,0.122038066,0.009600398,0.000964464853,0.00578633929,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,177,0.9767876,0.0681885257,2.89830852,2.02440858,0.09081874,0.199181288,0.09081874,0.00332847517,0.0134119187,0.013344679,0.994986534,0,0,0,0.08834163,false,0.0634515,0.012211429,0.122114286,0.009620614,0.0009791729,0.00574434036,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,178,0.976762533,0.06822228,2.89560652,2.026341,0.09080956,0.199190468,0.09080956,0.00330891716,0.8461237,0.8418605,0.994961441,0,0,0,0.085873805,false,0.06339665,0.0122020189,0.122020185,0.009597694,0.000992939,0.005700615,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,179,0.9767758,0.06824997,2.89830852,2.02518153,0.0907327756,0.199267238,0.0907327756,0.00344733,0.025310548,0.0251836553,0.994986534,0,0,0,0.08549478,false,0.06342713,0.0122048827,0.122048825,0.009610091,0.00100810779,0.00565050356,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,180,0.976738751,0.068290174,2.895336,2.0271132,0.09077663,0.1992234,0.09077663,0.003292879,0.745257556,0.7415026,0.994961441,0,0,0,0.08610719,false,0.06336005,0.0121895289,0.121895291,0.009579841,0.00102256914,0.00559717324,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,181,0.9767493,0.06832483,2.897228,2.026341,0.09073539,0.199264631,0.09073539,0.00333876116,0.104804933,0.104278781,0.9949797,0,0,0,0.08569459,false,0.06340274,0.0121940691,0.121940687,0.009595136,0.00103382883,0.00554300565,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,182,0.976714432,0.06837685,2.89371347,2.02904272,0.0907992646,0.199200749,0.0907992646,0.00314308447,0.73332417,0.7296159,0.9949432,0,0,0,0.086332716,false,0.0633173361,0.0121852681,0.121852681,0.009567615,0.00104225636,0.005491188,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,183,0.976730645,0.0684282854,2.89560652,2.0282712,0.09076847,0.19923155,0.09076847,0.00316498219,0.12050461,0.119897433,0.994961441,0,0,0,0.08595205,false,0.06334785,0.0121964756,0.121964753,0.009583846,0.00104935758,0.00543905376,0,0,8,true,false,false,false,false,false,false
"qualification-repeats","F2","S1",3,60,184,0.976702869,0.0684977,2.89236069,2.03174138,0.0908354148,0.1991646,0.0908354148,0.00297497655,0.71319294,0.7095767,0.9949295,0,0,0,0.0866036862,false,0.0632623658,0.0121927951,0.121927947,0.009558879,0.00105561025,0.005387561,0,0,8,true,false,false,false,false,false,false
