phase,feed_forward,saddle,repeat,load_kg,tick,pelvis_y,trunk_pitch_rad,canonical_pose_error_deg,target_actual_deflection_deg,capture_hull_margin_m,capture_front_m,capture_rear_m,com_speed_mps,raw_ankle_authority_fraction,applied_ankle_authority_fraction,posture_guard_scale,hip_strategy_blend,hip_authority_usage,trunk_authority_usage,drive_demand,drive_saturated,joint_limit,saddle_separation_m,saddle_linear_limit_occupancy,saddle_angular_x_limit_occupancy,saddle_angular_y_limit_occupancy,saddle_angular_z_limit_occupancy,saddle_force_n,saddle_torque_nm,support_contacts,support_retained,tracking_failure,capture_failure,posture_failure,support_loss,saddle_linear_limit,saddle_angular_limit
"qualification","F2","S1",1,270,62,0.9718752,0.0882211,3.08968759,9.898678,0.061291717,0.234424829,0.0629794,0.0160166156,0.0945643559,0.0945643559,1,0,0,0,0.4189863,false,0.209805489,0.0532226674,0.5322267,0.051537592,0.0200700816,0.0216607358,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,63,0.971889734,0.08726537,3.101572,9.865451,0.0616205856,0.234091729,0.06331251,0.0164697785,0.38054347,0.38054347,1,0,0,0,0.416686147,false,0.2129161,0.0534127764,0.5341278,0.04879262,0.0195673164,0.02180785,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,64,0.9719103,0.08627067,3.110896,9.839044,0.0618780628,0.233830586,0.06357364,0.0167423934,0.09770117,0.09770117,1,0,0,0,0.4145686,false,0.216849923,0.0536058024,0.536058,0.0463386551,0.0190054085,0.022043027,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,65,0.971912265,0.08532377,3.120945,9.807613,0.0621949248,0.233508736,0.0638954937,0.0172171444,0.0182875115,0.0182875115,1,0,0,0,0.4141874,false,0.2178582,0.05376608,0.5376608,0.0439580567,0.01844101,0.0222785622,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,66,0.97193867,0.08436253,3.13420987,9.772634,0.06249986,0.233199954,0.0642042756,0.0175835639,0.49068895,0.49068895,1,0,0,0,0.411902219,false,0.221280292,0.05391997,0.5391997,0.0418412834,0.01787455,0.0225374661,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,67,0.9719811,0.08334192,3.144184,9.74485,0.0626750141,0.233022422,0.0643818,0.0175901931,0.201814055,0.201814055,1,0,0,0,0.4090782,false,0.226316452,0.0540817045,0.540817,0.0401076078,0.0172639731,0.0228864253,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,68,0.9720018,0.0823586956,3.15437531,9.712309,0.06285735,0.232836664,0.06456757,0.01768327,0.107395008,0.107395008,1,0,0,0,0.408395857,false,0.228792936,0.0542095229,0.542095244,0.0384861939,0.0166581925,0.0232422054,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,69,0.9720458,0.08135795,3.16972351,9.673099,0.06300157,0.23269029,0.06471394,0.0176144429,0.322412759,0.322412759,1,0,0,0,0.405876458,false,0.233130664,0.0543259531,0.5432595,0.0371280722,0.0160659347,0.0236150976,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,70,0.9720622,0.08037541,3.18303132,9.641616,0.0631922856,0.2324962,0.06490802,0.0177237466,0.0144848051,0.0144848051,1,0,0,0,0.405225,false,0.235003263,0.05440721,0.5440721,0.0359141231,0.0154752648,0.0239529051,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,71,0.972099364,0.0793651342,3.19554853,9.606033,0.06335918,0.232327059,0.06507717,0.01770858,0.417092919,0.417092919,1,0,0,0,0.402712,false,0.238573149,0.0544794165,0.544794142,0.0349604562,0.01489981,0.024285024,0,0,8,true,false,false,false,false,false,false
