load_kg,athlete_position_iterations,athlete_velocity_iterations,island_position_iterations,island_velocity_iterations,intervention,drive_high_onset_tick,drive_saturation_onset_tick,tracking_failure_onset_tick,posture_departure_onset_tick,capture_departure_onset_tick,support_loss_onset_tick,saddle_linear_limit_onset_tick,saddle_gross_failure_onset_tick,contact_mode_change_onset_tick,posture_joint_error_onset_tick,posture_gross_onset_tick,guard_withdrawal_onset_tick,capture_departure_hull_onset_tick,com_outside_hull_onset_tick,foot_lift_onset_tick,foot_slip_onset_tick,plantar_count_change_onset_tick,bar_thorax_contact_onset_tick,bar_athlete_contact_onset_tick,nonplantar_ground_contact_onset_tick,saddle_angular_limit_onset_tick,canonical_first_onset_order,contact_mode_reason,bar_thorax_callback_ticks,max_bar_thorax_penetration_m,connected_body_collision_enabled,bar_to_thorax_mass_ratio,non_finite,stage_a_pass,upright,stage_a_summary
25,28,1,28,6,saddle.ignore_bar_athlete_non_thorax_true,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRACKING_FAILURE@12,NONE,0,0.023216702,false,1.1574074,false,true,true,"load=25 measured=500 settlePelvis=0.9777 minPelvis=0.9777 maxTrunk=0.1458 capture=0.1078 comSpeed=0.0054 posture=4.031 limit=0.017 guard=0.983 ankle=7.009 saddle=0.0052 contacts=8 sat=0.000 supportLost=False saddleUnstable=False upright=True pass=True"
60,28,1,28,6,saddle.ignore_bar_athlete_non_thorax_true,NA,NA,17,47,NA,NA,NA,NA,NA,47,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRACKING_FAILURE@17>POSTURE_DEPARTURE@47,NONE,0,0.0218280926,false,2.77777767,false,false,true,"load=60 measured=500 settlePelvis=0.9702 minPelvis=0.9702 maxTrunk=0.3243 capture=0.0917 comSpeed=0.0104 posture=12.173 limit=0.135 guard=0.910 ankle=2.352 saddle=0.0121 contacts=8 sat=0.000 supportLost=False saddleUnstable=False upright=True pass=False"
300,28,1,28,6,saddle.ignore_bar_athlete_non_thorax_true,46,NA,16,1,63,139,18,NA,108,1,34,14,63,79,133,259,132,NA,NA,108,140,POSTURE_DEPARTURE@1>TRACKING_FAILURE@16>SADDLE_LINEAR_LIMIT@18>DRIVE_HIGH@46>CAPTURE_DEPARTURE@63>CONTACT_MODE_CHANGE@108>SUPPORT_LOSS@139,NONPLANTAR_GROUND:head_neck,0,0.02024486,false,13.8888884,false,false,false,"load=300 measured=500 settlePelvis=0.7262 minPelvis=0.0995 maxTrunk=2.9159 capture=-1.2699 comSpeed=2.2683 posture=75.834 limit=1.000 guard=0.000 ankle=15.000 saddle=0.0543 contacts=0 sat=0.002 supportLost=True saddleUnstable=False upright=False pass=False"
