load_kg,athlete_position_iterations,athlete_velocity_iterations,island_position_iterations,island_velocity_iterations,intervention,drive_high_onset_tick,drive_saturation_onset_tick,tracking_failure_onset_tick,posture_departure_onset_tick,capture_departure_onset_tick,support_loss_onset_tick,saddle_linear_limit_onset_tick,saddle_gross_failure_onset_tick,contact_mode_change_onset_tick,posture_joint_error_onset_tick,posture_gross_onset_tick,guard_withdrawal_onset_tick,capture_departure_hull_onset_tick,com_outside_hull_onset_tick,foot_lift_onset_tick,foot_slip_onset_tick,plantar_count_change_onset_tick,bar_thorax_contact_onset_tick,bar_athlete_contact_onset_tick,nonplantar_ground_contact_onset_tick,saddle_angular_limit_onset_tick,canonical_first_onset_order,contact_mode_reason,bar_thorax_callback_ticks,max_bar_thorax_penetration_m,connected_body_collision_enabled,bar_to_thorax_mass_ratio,non_finite,stage_a_pass,upright,stage_a_summary
25,28,1,28,6,production,NA,NA,12,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,CONTACT_MODE_CHANGE@1>TRACKING_FAILURE@12,BAR_ATHLETE:left_forearm|left_hand|left_upper_arm|right_forearm|right_hand|right_upper_arm,0,0.0148142949,false,1.1574074,false,true,true,"load=25 measured=500 settlePelvis=0.9777 minPelvis=0.9777 maxTrunk=0.1456 capture=0.1079 comSpeed=0.0059 posture=3.998 limit=0.018 guard=0.982 ankle=6.990 saddle=0.0064 contacts=8 sat=0.000 supportLost=False saddleUnstable=False upright=True pass=True"
60,28,1,28,6,production,NA,NA,13,42,118,202,NA,NA,1,42,87,18,80,136,158,227,155,NA,1,262,NA,CONTACT_MODE_CHANGE@1>TRACKING_FAILURE@13>POSTURE_DEPARTURE@42>CAPTURE_DEPARTURE@118>SUPPORT_LOSS@202,BAR_ATHLETE:left_forearm|left_hand|left_upper_arm|right_forearm|right_hand|right_upper_arm,0,0.03028337,false,2.77777767,false,false,false,"load=60 measured=500 settlePelvis=0.9651 minPelvis=0.1038 maxTrunk=2.3943 capture=-1.3407 comSpeed=2.3484 posture=31.614 limit=0.650 guard=0.000 ankle=15.000 saddle=0.0377 contacts=0 sat=1.000 supportLost=True saddleUnstable=False upright=False pass=False"
300,28,1,28,6,production,45,NA,15,1,66,138,18,NA,1,1,33,12,66,82,131,256,131,NA,1,107,139,POSTURE_DEPARTURE@1>CONTACT_MODE_CHANGE@1>TRACKING_FAILURE@15>SADDLE_LINEAR_LIMIT@18>DRIVE_HIGH@45>CAPTURE_DEPARTURE@66>SUPPORT_LOSS@138,BAR_ATHLETE:left_hand|left_upper_arm|right_forearm|right_hand|right_upper_arm,0,0.01616703,false,13.8888884,false,false,false,"load=300 measured=500 settlePelvis=0.7206 minPelvis=0.0987 maxTrunk=2.9239 capture=-1.2651 comSpeed=2.2889 posture=78.059 limit=1.000 guard=0.000 ankle=15.000 saddle=0.0537 contacts=0 sat=0.004 supportLost=True saddleUnstable=False upright=False pass=False"
25,32,1,32,6,production,NA,NA,12,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,CONTACT_MODE_CHANGE@1>TRACKING_FAILURE@12,BAR_ATHLETE:left_forearm|left_hand|left_upper_arm|right_forearm|right_hand|right_upper_arm,0,0.0147051066,false,1.1574074,false,true,true,"load=25 measured=500 settlePelvis=0.9782 minPelvis=0.9782 maxTrunk=0.1404 capture=0.1075 comSpeed=0.0094 posture=3.734 limit=0.017 guard=0.983 ankle=6.531 saddle=0.0064 contacts=8 sat=0.000 supportLost=False saddleUnstable=False upright=True pass=True"
60,32,1,32,6,production,NA,NA,13,40,110,171,NA,NA,1,40,83,18,62,102,167,291,115,NA,1,227,NA,CONTACT_MODE_CHANGE@1>TRACKING_FAILURE@13>POSTURE_DEPARTURE@40>CAPTURE_DEPARTURE@110>SUPPORT_LOSS@171,BAR_ATHLETE:left_forearm|left_hand|left_upper_arm|right_forearm|right_hand|right_upper_arm,0,0.0157200247,false,2.77777767,false,false,false,"load=60 measured=500 settlePelvis=0.9669 minPelvis=0.0904 maxTrunk=2.0861 capture=-1.0917 comSpeed=2.3714 posture=42.613 limit=0.731 guard=0.000 ankle=15.000 saddle=0.0289 contacts=0 sat=1.000 supportLost=True saddleUnstable=False upright=False pass=False"
300,32,1,32,6,production,45,NA,15,1,65,140,18,NA,1,1,34,12,65,81,134,264,133,NA,1,110,140,POSTURE_DEPARTURE@1>CONTACT_MODE_CHANGE@1>TRACKING_FAILURE@15>SADDLE_LINEAR_LIMIT@18>DRIVE_HIGH@45>CAPTURE_DEPARTURE@65>SUPPORT_LOSS@140,BAR_ATHLETE:left_hand|left_upper_arm|right_forearm|right_hand|right_upper_arm,0,0.0149216279,false,13.8888884,false,false,false,"load=300 measured=500 settlePelvis=0.7407 minPelvis=0.0983 maxTrunk=2.8996 capture=-1.2650 comSpeed=2.3164 posture=74.128 limit=1.000 guard=0.000 ankle=15.000 saddle=0.0539 contacts=0 sat=0.006 supportLost=True saddleUnstable=False upright=False pass=False"
25,40,1,40,6,production,NA,NA,12,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,CONTACT_MODE_CHANGE@1>TRACKING_FAILURE@12,BAR_ATHLETE:left_forearm|left_hand|left_upper_arm|right_forearm|right_hand|right_upper_arm,0,0.0145500377,false,1.1574074,false,true,true,"load=25 measured=500 settlePelvis=0.9788 minPelvis=0.9788 maxTrunk=0.1373 capture=0.1069 comSpeed=0.0149 posture=3.645 limit=0.017 guard=0.983 ankle=5.928 saddle=0.0066 contacts=8 sat=0.000 supportLost=False saddleUnstable=False upright=True pass=True"
60,40,1,40,6,production,NA,NA,13,38,125,146,367,NA,1,38,71,18,55,83,125,253,116,NA,1,301,NA,CONTACT_MODE_CHANGE@1>TRACKING_FAILURE@13>POSTURE_DEPARTURE@38>CAPTURE_DEPARTURE@125>SUPPORT_LOSS@146>SADDLE_LINEAR_LIMIT@367,BAR_ATHLETE:left_forearm|left_hand|left_upper_arm|right_forearm|right_hand|right_upper_arm,0,0.0154478922,false,2.77777767,false,false,false,"load=60 measured=500 settlePelvis=0.9640 minPelvis=0.0915 maxTrunk=2.9292 capture=-1.1710 comSpeed=1.4336 posture=58.115 limit=1.000 guard=0.000 ankle=15.000 saddle=0.0515 contacts=0 sat=1.000 supportLost=True saddleUnstable=False upright=False pass=False"
300,40,1,40,6,production,46,NA,14,1,63,141,18,NA,1,1,34,11,63,78,133,276,132,NA,1,114,140,POSTURE_DEPARTURE@1>CONTACT_MODE_CHANGE@1>TRACKING_FAILURE@14>SADDLE_LINEAR_LIMIT@18>DRIVE_HIGH@46>CAPTURE_DEPARTURE@63>SUPPORT_LOSS@141,BAR_ATHLETE:left_hand|left_upper_arm|right_forearm|right_hand|right_upper_arm,0,0.015226759,false,13.8888884,false,false,false,"load=300 measured=500 settlePelvis=0.7679 minPelvis=0.0977 maxTrunk=2.8406 capture=-1.2921 comSpeed=2.2533 posture=68.040 limit=1.000 guard=0.000 ankle=15.000 saddle=0.0543 contacts=0 sat=0.016 supportLost=True saddleUnstable=False upright=False pass=False"
