load_kg,profile,intervention,canonical_order_v1,discriminating_order_v1,non_discriminating_events_also_at_25kg,supplementary_order_v1,derived_persistent_onsets,stage_a_pass,drive_high_onset_tick,drive_saturation_onset_tick,tracking_failure_onset_tick,posture_departure_onset_tick,capture_departure_onset_tick,support_loss_onset_tick,saddle_linear_limit_onset_tick,saddle_gross_failure_onset_tick,contact_mode_change_onset_tick,posture_joint_error_onset_tick,posture_gross_onset_tick,guard_withdrawal_onset_tick,capture_departure_hull_onset_tick,com_outside_hull_onset_tick,foot_lift_onset_tick,foot_slip_onset_tick,plantar_count_change_onset_tick,bar_thorax_contact_onset_tick,bar_athlete_contact_onset_tick,nonplantar_ground_contact_onset_tick,saddle_angular_limit_onset_tick
140,p28-v1,production,POSTURE_DEPARTURE@22>TRACKING_FAILURE@23>CAPTURE_DEPARTURE@76>DRIVE_HIGH@93>CONTACT_MODE_CHANGE@190>SADDLE_LINEAR_LIMIT@192,POSTURE_DEPARTURE@22>CAPTURE_DEPARTURE@76>DRIVE_HIGH@93>CONTACT_MODE_CHANGE@190>SADDLE_LINEAR_LIMIT@192,TRACKING_FAILURE,GUARD_WITHDRAWAL@14>POSTURE_JOINT_ERROR@22>POSTURE_GROSS@51>CAPTURE_DEPARTURE_HULL@76>COM_OUTSIDE_HULL@98>NONPLANTAR_GROUND_CONTACT@190>SADDLE_ANGULAR_LIMIT@193,DRIVE_HIGH@93|TRACKING_FAILURE@218|POSTURE_DEPARTURE@22|CAPTURE_DEPARTURE@76|SADDLE_LINEAR_LIMIT@192|CONTACT_MODE_CHANGE@235,false,93,NA,23,22,76,NA,192,NA,190,22,51,14,76,98,NA,NA,NA,NA,NA,190,193
170,p28-v1,production,POSTURE_DEPARTURE@1>TRACKING_FAILURE@20>DRIVE_HIGH@68>CAPTURE_DEPARTURE@73>CONTACT_MODE_CHANGE@170>SADDLE_LINEAR_LIMIT@176>SUPPORT_LOSS@192,POSTURE_DEPARTURE@1>DRIVE_HIGH@68>CAPTURE_DEPARTURE@73>CONTACT_MODE_CHANGE@170>SADDLE_LINEAR_LIMIT@176>SUPPORT_LOSS@192,TRACKING_FAILURE,POSTURE_JOINT_ERROR@1>GUARD_WITHDRAWAL@14>POSTURE_GROSS@45>CAPTURE_DEPARTURE_HULL@73>COM_OUTSIDE_HULL@93>PLANTAR_COUNT_CHANGE@170>SADDLE_ANGULAR_LIMIT@176>FOOT_LIFT@190>FOOT_SLIP@217>NONPLANTAR_GROUND_CONTACT@231,DRIVE_HIGH@93|TRACKING_FAILURE@221|POSTURE_DEPARTURE@21|CAPTURE_DEPARTURE@217|SUPPORT_LOSS@192|SADDLE_LINEAR_LIMIT@176|CONTACT_MODE_CHANGE@190,false,68,NA,20,1,73,192,176,NA,170,1,45,14,73,93,190,217,170,NA,NA,231,176
25,p28-v1,production,TRACKING_FAILURE@12,TRACKING_FAILURE@12,NONE,NONE,TRACKING_FAILURE@12,true,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,p28-v1,production,POSTURE_DEPARTURE@1>TRACKING_FAILURE@16>SADDLE_LINEAR_LIMIT@18>DRIVE_HIGH@46>CAPTURE_DEPARTURE@63>CONTACT_MODE_CHANGE@108>SUPPORT_LOSS@139,POSTURE_DEPARTURE@1>SADDLE_LINEAR_LIMIT@18>DRIVE_HIGH@46>CAPTURE_DEPARTURE@63>CONTACT_MODE_CHANGE@108>SUPPORT_LOSS@139,TRACKING_FAILURE,POSTURE_JOINT_ERROR@1>GUARD_WITHDRAWAL@14>POSTURE_GROSS@34>CAPTURE_DEPARTURE_HULL@63>COM_OUTSIDE_HULL@79>NONPLANTAR_GROUND_CONTACT@108>PLANTAR_COUNT_CHANGE@132>FOOT_LIFT@133>SADDLE_ANGULAR_LIMIT@140>FOOT_SLIP@259,DRIVE_HIGH@88|TRACKING_FAILURE@261|POSTURE_DEPARTURE@18|CAPTURE_DEPARTURE@259|SUPPORT_LOSS@139|SADDLE_LINEAR_LIMIT@57|CONTACT_MODE_CHANGE@132,false,46,NA,16,1,63,139,18,NA,108,1,34,14,63,79,133,259,132,NA,NA,108,140
60,p28-v1,production,TRACKING_FAILURE@17>POSTURE_DEPARTURE@47,POSTURE_DEPARTURE@47,TRACKING_FAILURE,GUARD_WITHDRAWAL@21>POSTURE_JOINT_ERROR@47,TRACKING_FAILURE@46|POSTURE_DEPARTURE@47,false,NA,NA,17,47,NA,NA,NA,NA,NA,47,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
