load_kg,profile,intervention,window,samples,window_end_tick,bar_mass_kg,contact_impulse_sign,contact_sign_votes,contact_radial_cosine_p50,bar_support_vertical_over_weight_p50,arm_contact_normal_vertical_over_weight_p50,joint_plus_friction_vertical_over_weight_p50,friction_bound_over_weight_p50,joint_vertical_share_p50,joint_share_low_p50,joint_share_high_p50,joint_share_low_p05,joint_share_high_p95,quasi_static_samples,drive_realized_stiffness_fraction_p50,engine_force_nonzero_ticks,engine_force_nonzero_at_linear_limit,attached_samples
25,p28-v1,saddle.linear_limit_m_0.10,v1,591,601,25,1,1217,-0.999881,1.00089,-0.0285797,1.02505,0.130166,1.02863,0.898613,1.15914,0.573786,1.63893,545,0.800192,0,0,599
25,p28-v1,saddle.linear_limit_m_0.10,pre_gross,591,601,25,1,1217,-0.999881,1.00089,-0.0285797,1.02505,0.130166,1.02863,0.898613,1.15914,0.573786,1.63893,545,0.800192,0,0,599
25,p28-v1,saddle.linear_limit_m_0.10,attached,599,601,25,1,1217,-0.999881,1.00089,-0.0285773,1.02499,0.130167,1.02863,0.898606,1.15923,-0.722396,1.7397,545,0.800192,0,0,599
300,p28-v1,saddle.linear_limit_m_0.10,v1,0,1,300,1,516,-0.989161,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,467
300,p28-v1,saddle.linear_limit_m_0.10,pre_gross,23,33,300,1,516,-0.989161,0.892507,0.0203406,0.858101,0.092095,0.97973,0.887952,1.07151,0.437032,1.11018,1,3.76298,0,0,467
300,p28-v1,saddle.linear_limit_m_0.10,attached,467,601,300,1,516,-0.989161,1,0,1,0,1,1,1,0.823425,1.06372,280,21.7002,0,0,467
60,p28-v1,saddle.linear_limit_m_0.10,v1,30,40,60,1,6462,-0.0086845,1.08394,-0.155541,1.26731,16.3518,1.14762,-13.2266,16.4749,-16.7786,20.7813,1,4.29183,0,0,214
60,p28-v1,saddle.linear_limit_m_0.10,pre_gross,80,90,60,1,6462,-0.0086845,1.0603,-0.294274,1.33234,15.8085,1.28548,-13.064,16.7251,-18.1413,21.7883,1,4.29183,0,0,214
60,p28-v1,saddle.linear_limit_m_0.10,attached,214,601,60,1,6462,-0.0086845,0.952808,-0.239959,1.10427,15.1546,1.20846,-13.9815,17.7406,-36.6452,53.6523,1,4.29183,0,0,214
