segment,parent,family,anchor_x,anchor_y,anchor_z,axis_x,axis_y,axis_z,spring,damper,max_force_nm
pelvis,NONE,root,NA,NA,NA,NA,NA,NA,0,0,0
abdomen,pelvis,lumbar,-3.6966183E-05,1.08586836,-0.010490519,0.99999994,-0.000269306,0.0001804548,2400,147.224319,1482
thorax,abdomen,trunk,-1.04892752E-05,1.19164646,0.002233643,1,-8.52092344E-05,6.86696E-05,2400,147.224319,1482
head_neck,thorax,neck,3.42050844E-05,1.53644133,-0.0267489571,1,4.63900469E-05,0.000103775783,300,11,228
left_upper_arm,thorax,shoulder,-0.212564856,1.47236872,-0.05379385,-0.07603267,-0.03680328,0.996425867,500,55,494
right_upper_arm,thorax,shoulder,0.212566808,1.47238386,-0.0537957065,0.0760808,-0.03681667,0.9964217,500,55,494
left_forearm,left_upper_arm,elbow,-0.46276018,1.46183777,-0.08108626,-0.04109265,0.998495758,0.03629829,450,45,380
right_forearm,right_upper_arm,elbow,0.4627602,1.46189034,-0.08111276,-0.0409011245,-0.9985035,-0.0363027528,450,45,380
left_hand,left_forearm,wrist,-0.7054872,1.4515655,-0.0569965951,0.0611924753,9.417533E-06,0.998126,250,30,171
right_hand,right_forearm,wrist,0.705489933,1.45167136,-0.0570571721,-0.0611228719,-3.455905E-05,0.9981302,250,30,171
left_thigh,pelvis,hip,-0.114357091,0.98458457,-0.03875714,1,-7.126331E-05,0.000155923917,2700,155.884567,2052
right_thigh,pelvis,hip,0.114184514,0.984458566,-0.0387086757,0.9999998,0.0005597549,0.00013968948,2700,155.884567,2052
left_shank,left_thigh,knee,-0.114421137,0.5557065,-0.03559185,1,-0.000164109078,0.0001729723,2400,138.564056,2052
right_shank,right_thigh,knee,0.114424273,0.5556595,-0.0357716456,0.9999998,0.00055961794,0.000140240241,2400,138.564056,2052
left_foot,left_shank,ankle,-0.11449115,0.0994463861,-0.08445852,0.99999994,-0.000161629854,0.000209592486,1950,121.243553,1710
right_foot,right_shank,ankle,0.114763863,0.0994219258,-0.08493721,0.9999997,0.000790919061,-1.51125041E-05,1950,121.243553,1710
barbell,thorax,saddle,5.336147E-06,1.47429287,-0.116117343,NA,NA,NA,50000,3000,60000
