segment,parent,family,anchor_x,anchor_y,anchor_z,axis_x,axis_y,axis_z,spring,damper,max_force_nm
pelvis,NONE,root,NA,NA,NA,NA,NA,NA,0,0,0
abdomen,pelvis,lumbar,-4.278525E-05,1.08696628,-0.010732946,0.99999994,-0.000316173275,0.000237382119,2400,147.224319,1482
thorax,abdomen,trunk,-1.19340557E-05,1.19276989,0.002148076,1,-8.006798E-05,9.712808E-05,2400,147.224319,1482
head_neck,thorax,neck,3.24950961E-05,1.53781569,-0.0250148177,1,4.206383E-05,0.000130327389,300,11,228
left_upper_arm,thorax,shoulder,-0.2125962,1.47381341,-0.0524082631,-0.07760474,-0.0419756547,0.9961002,500,55,494
right_upper_arm,thorax,shoulder,0.212603,1.47381556,-0.0524099842,0.07768095,-0.04203894,0.996091545,500,55,494
left_forearm,left_upper_arm,elbow,-0.462736368,1.46279669,-0.08024357,-0.04370357,0.998185337,0.0414251834,450,45,380
right_forearm,right_upper_arm,elbow,0.46274063,1.46282434,-0.0802795142,-0.04355778,-0.99818933,-0.0414819829,450,45,380
left_hand,left_forearm,wrist,-0.7054914,1.45172167,-0.05694379,0.0577330664,-0.0051925783,0.998318553,250,30,171
right_hand,right_forearm,wrist,0.7054986,1.4517926,-0.0570224747,-0.0575982481,-0.00529013854,0.9983258,250,30,171
left_thigh,pelvis,hip,-0.114367656,0.9855608,-0.0389265,1,-9.299806E-05,0.000220897622,2700,155.884567,2052
right_thigh,pelvis,hip,0.114167824,0.985392332,-0.0388499349,0.999999762,0.0006608004,0.000212638537,2700,155.884567,2052
left_shank,left_thigh,knee,-0.11444103,0.5566508,-0.03585958,0.99999994,-0.0001815516,0.0002449905,2400,138.564056,2052
right_shank,right_thigh,knee,0.114450857,0.5565897,-0.0360979,0.999999762,0.000660893857,0.000212345883,2400,138.564056,2052
left_foot,left_shank,ankle,-0.11451336,0.100238331,-0.083585754,0.99999994,-0.000170894637,0.0002848337,1950,121.243553,1710
right_foot,right_shank,ankle,0.1148451,0.1002054,-0.08419238,0.9999996,0.000901568,6.491087E-05,1950,121.243553,1710
barbell,thorax,saddle,3.0358558E-06,1.47646332,-0.115625046,NA,NA,NA,50000,3000,60000
