segment,parent,family,anchor_x,anchor_y,anchor_z,axis_x,axis_y,axis_z,spring,damper,max_force_nm
pelvis,NONE,root,NA,NA,NA,NA,NA,NA,0,0,0
abdomen,pelvis,lumbar,-1.87439546E-05,1.08222938,-0.008968513,1,-0.0001327031,-2.3192104E-05,2400,147.224319,1482
thorax,abdomen,trunk,-4.532668E-06,1.1879704,0.003001064,1,-0.000105418148,-2.67669384E-05,2400,147.224319,1482
head_neck,thorax,neck,4.005131E-05,1.53191125,-0.0326512158,1,6.400844E-05,7.31751925E-06,300,11,228
left_upper_arm,thorax,shoulder,-0.212472931,1.46753752,-0.0584403649,-0.07109845,-0.01782706,0.99731,500,55,494
right_upper_arm,thorax,shoulder,0.2124639,1.46758723,-0.0584547929,0.07111272,-0.017736027,0.9973106,500,55,494
left_forearm,left_upper_arm,elbow,-0.462848634,1.45845068,-0.08404259,-0.0331940651,0.9992981,0.0173631813,450,45,380
right_forearm,right_upper_arm,elbow,0.4628382,1.45857978,-0.08405694,-0.0328121521,-0.999312639,-0.017252095,450,45,380
left_hand,left_forearm,wrist,-0.705486,1.45073748,-0.0573914833,0.0730543658,0.0191888791,0.9971433,250,30,171
right_hand,right_forearm,wrist,0.705476165,1.45096779,-0.0573920161,-0.07336973,0.0192684047,0.9971187,250,30,171
left_thigh,pelvis,hip,-0.114334583,0.9811932,-0.0375010371,1,-1.98467314E-05,-6.78812939E-05,2700,155.884567,2052
right_thigh,pelvis,hip,0.11424084,0.9811437,-0.03755244,0.99999994,0.000263392169,-0.000129949622,2700,155.884567,2052
left_shank,left_thigh,knee,-0.114362031,0.5523622,-0.035826128,1,-7.611211E-05,-7.117044E-05,2400,138.564056,2052
right_shank,right_thigh,knee,0.114353918,0.5523448,-0.0357859358,0.99999994,0.000263638649,-0.000129449341,2400,138.564056,2052
left_foot,left_shank,ankle,-0.114404924,0.09640047,-0.086947754,1,-8.251022E-05,-6.24767345E-05,1950,121.243553,1710
right_foot,right_shank,ankle,0.114507623,0.09638109,-0.0869425461,0.9999999,0.000392249116,-0.0002516233,1950,121.243553,1710
barbell,thorax,saddle,1.16140545E-05,1.46696031,-0.117712319,NA,NA,NA,50000,3000,60000
