segment,parent,family,anchor_x,anchor_y,anchor_z,axis_x,axis_y,axis_z,spring,damper,max_force_nm
pelvis,NONE,root,NA,NA,NA,NA,NA,NA,0,0,0
abdomen,pelvis,lumbar,-4.20360921E-05,1.08693612,-0.0108067207,0.99999994,-0.0003113494,0.00022343715,2400,147.224319,1482
thorax,abdomen,trunk,-1.15000512E-05,1.19276452,0.00189580675,1,-7.91644E-05,9.3131E-05,2400,147.224319,1482
head_neck,thorax,neck,3.22889973E-05,1.53782725,-0.0250759833,1,4.21679761E-05,0.000125457183,300,11,228
left_upper_arm,thorax,shoulder,-0.212595373,1.47383678,-0.05250121,-0.07747103,-0.04252109,0.996087432,500,55,494
right_upper_arm,thorax,shoulder,0.212602109,1.47383893,-0.0525048152,0.0775525346,-0.0425829366,0.996078432,500,55,494
left_forearm,left_upper_arm,elbow,-0.462739736,1.46281791,-0.08029869,-0.04373445,0.9981609,0.0419767424,450,45,380
right_forearm,right_upper_arm,elbow,0.462743819,1.4628458,-0.0803377,-0.0435880572,-0.9981651,-0.0420317352,450,45,380
left_hand,left_forearm,wrist,-0.7054923,1.4517225,-0.05694318,0.05801087,-0.005728064,0.9982995,250,30,171
right_hand,right_forearm,wrist,0.705499351,1.45179391,-0.05702438,-0.0578850731,-0.00582279,0.9983062,250,30,171
left_thigh,pelvis,hip,-0.114366978,0.9854387,-0.0386619046,1,-9.161204E-05,0.000205151868,2700,155.884567,2052
right_thigh,pelvis,hip,0.114169687,0.985273242,-0.0385942273,0.999999762,0.0006518685,0.000201394272,2700,155.884567,2052
left_shank,left_thigh,knee,-0.114439368,0.5565342,-0.035344366,0.99999994,-0.000179165989,0.00022699227,2400,138.564056,2052
right_shank,right_thigh,knee,0.114448838,0.556474566,-0.0355648473,0.999999762,0.0006516487,0.0002021069,2400,138.564056,2052
left_foot,left_shank,ankle,-0.114511192,0.100248575,-0.08419321,0.99999994,-0.000168261307,0.000263085763,1950,121.243553,1710
right_foot,right_shank,ankle,0.114836819,0.100214675,-0.0847577751,0.9999996,0.00088790484,5.88490948E-05,1950,121.243553,1710
barbell,thorax,saddle,2.98315422E-06,1.476484,-0.115631379,NA,NA,NA,50000,3000,60000
