segment,parent,family,anchor_x,anchor_y,anchor_z,axis_x,axis_y,axis_z,spring,damper,max_force_nm
pelvis,NONE,root,NA,NA,NA,NA,NA,NA,0,0,0
abdomen,pelvis,lumbar,-1.53989386E-05,1.084129,-0.009664917,1,-0.000105300089,3.22078849E-05,800,85,1482
thorax,abdomen,trunk,-4.63248762E-06,1.189918,0.00239573885,1,-7.523105E-05,1.19238994E-05,800,85,1482
head_neck,thorax,neck,2.93790326E-05,1.53430831,-0.0296137836,1,4.64309E-05,3.571655E-05,300,11,228
left_upper_arm,thorax,shoulder,-0.212524757,1.47009933,-0.0560782067,-0.07352419,-0.0281941015,0.996894836,500,55,494
right_upper_arm,thorax,shoulder,0.212509125,1.47014678,-0.05609569,0.0735854059,-0.0281474739,0.9968916,500,55,494
left_forearm,left_upper_arm,elbow,-0.462810457,1.46026421,-0.0825090855,-0.0372370966,0.9989221,0.027713,450,45,380
right_forearm,right_upper_arm,elbow,0.462792158,1.46037436,-0.0825462937,-0.0369624,-0.998934,-0.0276549645,450,45,380
left_hand,left_forearm,wrist,-0.7054915,1.45122445,-0.0571292639,0.06704826,0.008750972,0.9977113,250,30,171
right_hand,right_forearm,wrist,0.7054748,1.4514029,-0.05717662,-0.06719242,0.008770865,0.9977015,250,30,171
left_thigh,pelvis,hip,-0.1143303,0.9829917,-0.0380004868,1,3.07958253E-05,6.037991E-06,900,90,2052
right_thigh,pelvis,hip,0.114231028,0.9829253,-0.0380163342,0.99999994,0.0002462081,-6.320357E-06,900,90,2052
left_shank,left_thigh,knee,-0.114350013,0.5541502,-0.03602934,1,-7.489954E-05,6.25742541E-06,800,80,2052
right_shank,right_thigh,knee,0.11433658,0.5541259,-0.0360313058,0.99999994,0.000246214069,-6.09119434E-06,800,80,2052
left_foot,left_shank,ankle,-0.1143961,0.09805171,-0.08602091,1,-0.000105058294,4.388069E-05,650,70,1710
right_foot,right_shank,ankle,0.11450851,0.09802788,-0.0860806,0.9999999,0.00044192042,-0.000175597,650,70,1710
barbell,thorax,saddle,6.940491E-06,1.47080243,-0.116810836,NA,NA,NA,50000,3000,60000
