hold_tick,com_ap,com_speed,support_min,support_max,cop_ap,contacts,pelvis_y,ankle_dorsiflexion_deg,ankle_proximity,trunk_incl_deg
0,1.2007,0.0381,1.2007,1.2007,NaN,0,0.2382,24.79,0.551,111.51
5,1.2028,0.0488,1.2028,1.2028,NaN,0,0.2443,25.83,0.574,112.37
10,1.2050,0.0366,1.2050,1.2050,NaN,0,0.2502,26.35,0.586,113.08
15,1.2061,0.0147,1.2061,1.2061,NaN,0,0.2551,26.62,0.592,113.62
20,1.2068,0.0115,1.2068,1.2068,NaN,0,0.2582,26.69,0.593,113.95
25,1.2071,0.0080,1.2071,1.2071,NaN,0,0.2593,27.19,0.604,114.05
30,1.2074,0.0081,1.2074,1.2074,NaN,0,0.2594,27.36,0.608,114.08
35,1.2075,0.0035,1.2075,1.2075,NaN,0,0.2592,27.54,0.612,114.07
40,1.2076,0.0032,1.2076,1.2076,NaN,0,0.2590,27.63,0.614,114.06
45,1.2076,0.0028,1.2076,1.2076,NaN,0,0.2589,27.67,0.615,114.06
50,1.2076,0.0030,1.2076,1.2076,NaN,0,0.2589,27.69,0.615,114.06
55,1.2076,0.0028,1.2076,1.2076,NaN,0,0.2589,27.71,0.616,114.06
60,1.2076,0.0027,1.2076,1.2076,NaN,0,0.2589,27.72,0.616,114.06
65,1.2076,0.0026,1.2076,1.2076,NaN,0,0.2589,27.72,0.616,114.06
70,1.2076,0.0026,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
75,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
80,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
85,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
90,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
95,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
100,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
105,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
110,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
115,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
120,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
125,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
130,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
135,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
140,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
145,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
150,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
155,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
160,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
165,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
170,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
175,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
180,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
185,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
190,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
195,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
200,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
205,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
210,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
215,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
220,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
225,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
230,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
235,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
240,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
245,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
249,1.2076,0.0000,1.2076,1.2076,NaN,0,0.2589,27.73,0.616,114.06
