load_kg,tick,sq,world_trunk_pitch,ref_world_trunk_pitch,trunk_excess,pelvis_world_pitch,thigh_world_pitch,shank_world_pitch,hip_nominal,hip_actual,hip_excess,abdomen_nominal,abdomen_actual,abdomen_excess,thorax_nominal,thorax_actual,thorax_excess,bar_ap,support_center,cop_ap,bar_rel_support,bar_rel_cop,saddle_separation,saddle_attached,com_ap,support_min,support_max
25,206,0.6180,41.140,32.296,8.844,19.294,116.337,-148.258,-80.015,-82.757,-2.742,6.000,16.178,10.178,8.997,13.781,4.785,-0.02651,-0.00972,-0.06845,-0.01679,0.04194,0.00452,1,-0.04178,-0.15472,0.13528
25,207,0.6210,41.259,32.317,8.942,19.300,116.181,-148.169,-80.102,-82.957,-2.855,5.997,16.295,10.298,8.992,13.838,4.846,-0.02541,-0.00972,-0.06811,-0.01569,0.04270,0.00455,1,-0.04127,-0.15472,0.13528
25,208,0.6240,41.372,32.338,9.034,19.311,116.045,-148.077,-80.213,-83.119,-2.905,5.995,16.417,10.422,8.989,13.893,4.904,-0.02429,-0.00972,-0.06806,-0.01458,0.04377,0.00457,1,-0.04073,-0.15472,0.13528
25,209,0.6270,41.481,32.359,9.122,19.329,115.928,-147.986,-80.324,-83.266,-2.941,5.994,16.529,10.535,8.987,13.943,4.956,-0.02315,-0.00972,-0.06758,-0.01343,0.04442,0.00458,1,-0.04015,-0.15472,0.13528
25,210,0.6300,41.583,32.380,9.203,19.334,115.845,-147.901,-80.436,-83.401,-2.965,5.992,16.628,10.636,8.984,13.987,5.003,-0.02199,-0.00972,-0.06707,-0.01227,0.04508,0.00460,1,-0.03953,-0.15472,0.13528
25,211,0.6330,41.679,32.401,9.278,19.348,115.780,-147.810,-80.605,-83.488,-2.883,5.994,16.735,10.741,8.987,14.030,5.043,-0.02080,-0.00972,-0.06698,-0.01108,0.04618,0.00461,1,-0.03888,-0.15472,0.13528
25,212,0.6360,41.770,32.422,9.348,19.375,115.733,-147.719,-80.774,-83.568,-2.794,5.996,16.826,10.830,8.990,14.065,5.076,-0.01958,-0.00972,-0.06628,-0.00986,0.04669,0.00461,1,-0.03818,-0.15472,0.13528
25,213,0.6390,41.856,32.443,9.413,19.404,115.690,-147.638,-80.944,-83.641,-2.698,5.997,16.899,10.902,8.992,14.093,5.100,-0.01836,-0.00972,-0.06553,-0.00864,0.04717,0.00460,1,-0.03744,-0.15472,0.13528
25,214,0.6420,41.934,32.464,9.470,19.423,115.661,-147.574,-81.145,-83.714,-2.569,6.001,16.963,10.963,8.997,14.114,5.117,-0.01713,-0.00972,-0.05863,-0.00741,0.04150,0.00459,1,-0.03666,-0.15472,0.13528
25,215,0.6450,42.008,32.485,9.523,19.451,115.639,-147.513,-81.362,-83.761,-2.400,6.005,17.033,11.028,9.004,14.135,5.131,-0.01589,-0.00972,-0.05188,-0.00617,0.03598,0.00457,1,-0.03584,-0.15472,0.13528
25,216,0.6480,42.080,32.506,9.574,19.491,115.626,-147.460,-81.579,-83.811,-2.232,6.010,17.089,11.079,9.011,14.152,5.141,-0.01466,-0.00972,-0.04415,-0.00494,0.02948,0.00454,1,-0.03498,-0.15472,0.13528
25,217,0.6510,42.150,32.535,9.615,19.537,115.627,-147.415,-81.803,-83.865,-2.061,6.014,17.127,11.113,9.018,14.163,5.145,-0.01345,-0.00972,-0.03589,-0.00373,0.02244,0.00451,1,-0.03411,-0.15472,0.13528
25,218,0.6540,42.218,32.578,9.640,19.597,115.635,-147.373,-82.042,-83.909,-1.867,6.020,17.156,11.136,9.026,14.171,5.145,-0.01226,-0.00972,-0.02786,-0.00254,0.01560,0.00446,1,-0.03323,-0.15472,0.13528
25,219,0.6570,42.287,32.622,9.665,19.670,115.650,-147.338,-82.281,-83.961,-1.680,6.025,17.167,11.142,9.034,14.174,5.140,-0.01110,-0.00972,-0.01918,-0.00138,0.00808,0.00440,1,-0.03236,-0.15472,0.13528
25,220,0.6600,42.355,32.666,9.689,19.750,115.671,-147.312,-82.520,-84.020,-1.500,6.030,17.163,11.133,9.041,14.172,5.131,-0.00998,-0.00972,-0.01016,-0.00026,0.00018,0.00434,1,-0.03149,-0.15472,0.13528
25,221,0.6630,42.425,32.710,9.715,19.841,115.692,-147.291,-82.778,-84.077,-1.299,6.036,17.152,11.116,9.051,14.169,5.118,-0.00891,-0.00972,-0.00170,0.00081,-0.00721,0.00427,1,-0.03066,-0.15472,0.13528
25,222,0.6660,42.497,32.754,9.743,19.942,115.710,-147.279,-83.036,-84.147,-1.111,6.042,17.128,11.086,9.060,14.162,5.102,-0.00790,-0.00972,0.00747,0.00182,-0.01536,0.00419,1,-0.02985,-0.15472,0.13528
25,223,0.6690,42.570,32.797,9.773,20.053,115.722,-147.277,-83.294,-84.230,-0.936,6.049,17.093,11.045,9.069,14.153,5.084,-0.00695,-0.00972,0.01701,0.00277,-0.02397,0.00410,1,-0.02910,-0.15472,0.13528
25,224,0.6720,42.646,32.841,9.805,20.166,115.729,-147.285,-83.563,-84.328,-0.766,6.055,17.050,10.994,9.079,14.144,5.065,-0.00608,-0.00972,0.02670,0.00364,-0.03278,0.00402,1,-0.02840,-0.15472,0.13528
25,225,0.6750,42.726,32.885,9.841,20.288,115.731,-147.298,-83.837,-84.433,-0.596,6.062,17.005,10.943,9.089,14.135,5.046,-0.00529,-0.00972,0.03551,0.00443,-0.04080,0.00393,1,-0.02776,-0.15472,0.13528
25,226,0.6780,42.809,32.929,9.880,20.423,115.732,-147.310,-84.112,-84.554,-0.442,6.068,16.952,10.884,9.099,14.127,5.028,-0.00458,-0.00972,0.04310,0.00514,-0.04768,0.00384,1,-0.02720,-0.15472,0.13528
25,227,0.6810,42.908,32.973,9.935,20.581,115.723,-147.331,-84.391,-84.687,-0.296,6.075,16.888,10.812,9.109,14.118,5.009,-0.00392,-0.00972,0.04721,0.00579,-0.05114,0.00376,1,-0.02672,-0.15472,0.13528
25,228,0.6840,43.028,33.016,10.011,20.790,115.709,-147.349,-84.679,-84.853,-0.174,6.083,16.804,10.721,9.120,14.126,5.006,-0.00332,-0.00972,0.04550,0.00640,-0.04882,0.00366,1,-0.02633,-0.15472,0.13528
25,229,0.6870,43.157,33.060,10.096,21.003,115.695,-147.356,-84.968,-85.075,-0.108,6.090,16.687,10.597,9.131,14.119,4.987,-0.00276,-0.00972,0.04177,0.00696,-0.04452,0.00358,1,-0.02603,-0.15472,0.13528
25,230,0.6900,43.287,33.104,10.183,21.205,115.674,-147.355,-85.256,-85.302,-0.046,6.097,16.577,10.480,9.142,14.107,4.965,-0.00225,-0.00972,0.03503,0.00747,-0.03728,0.00350,1,-0.02582,-0.15472,0.13528
25,231,0.6930,43.417,33.148,10.269,21.394,115.635,-147.347,-85.556,-85.526,0.030,6.105,16.483,10.378,9.154,14.097,4.943,-0.00179,-0.00972,0.02551,0.00793,-0.02730,0.00344,1,-0.02568,-0.15472,0.13528
25,232,0.6960,43.542,33.192,10.350,21.569,115.574,-147.333,-85.855,-85.754,0.101,6.113,16.403,10.290,9.165,14.089,4.924,-0.00137,-0.00972,0.01604,0.00835,-0.01741,0.00339,1,-0.02561,-0.15472,0.13528
25,233,0.6990,43.661,33.235,10.425,21.729,115.493,-147.313,-86.155,-85.989,0.166,6.121,16.335,10.215,9.177,14.085,4.908,-0.00100,-0.00972,0.00668,0.00872,-0.00768,0.00334,1,-0.02557,-0.15472,0.13528
25,234,0.7020,43.762,33.282,10.480,21.830,115.380,-147.293,-86.460,-86.230,0.230,6.129,16.280,10.151,9.189,14.082,4.893,-0.00068,-0.00972,-0.00255,0.00904,0.00187,0.00331,1,-0.02556,-0.15472,0.13528
