hold_tick,com_ap,com_speed,support_min,support_max,cop_ap,contacts,pelvis_y,ankle_dorsiflexion_deg,ankle_proximity,trunk_incl_deg
0,1.2200,0.0367,1.2200,1.2200,NaN,0,0.2981,30.67,0.682,118.57
5,1.2214,0.0374,1.2214,1.2214,NaN,0,0.3039,30.83,0.685,119.15
10,1.2228,0.0428,1.2228,1.2228,NaN,0,0.3081,31.08,0.691,119.36
15,1.2238,0.0374,1.2238,1.2238,NaN,0,0.3119,30.94,0.687,119.57
20,1.2239,0.0433,1.2239,1.2239,NaN,0,0.3149,30.20,0.671,119.71
25,1.2243,0.0540,1.2243,1.2243,NaN,0,0.3168,30.17,0.670,119.73
30,1.2245,0.0609,1.2245,1.2245,NaN,0,0.3171,30.60,0.680,119.70
35,1.2246,0.0436,1.2246,1.2246,NaN,0,0.3181,30.41,0.676,119.56
40,1.2247,0.0456,1.2247,1.2247,NaN,0,0.3202,29.71,0.660,119.51
45,1.2242,0.0541,1.2242,1.2242,NaN,0,0.3222,29.67,0.659,119.48
50,1.2245,0.0487,1.2245,1.2245,NaN,0,0.3238,29.76,0.661,119.40
55,1.2249,0.0456,1.2249,1.2249,NaN,0,0.3253,29.74,0.661,119.28
60,1.2252,0.0431,1.2252,1.2252,NaN,0,0.3267,29.55,0.657,119.17
65,1.2254,0.0404,1.2254,1.2254,NaN,0,0.3280,29.47,0.655,119.09
70,1.2257,0.0372,1.2257,1.2257,NaN,0,0.3294,29.45,0.654,119.02
75,1.2260,0.0335,1.2260,1.2260,NaN,0,0.3303,29.71,0.660,118.92
80,1.2261,0.0267,1.2261,1.2261,NaN,0,0.3312,29.40,0.653,118.85
85,1.2259,0.0275,1.2259,1.2259,NaN,0,0.3318,28.60,0.635,118.79
90,1.2259,0.0228,1.2259,1.2259,NaN,0,0.3327,27.98,0.622,118.75
95,1.2256,0.0241,1.2256,1.2256,NaN,0,0.3331,28.33,0.630,118.70
100,1.2252,0.0172,1.2252,1.2252,NaN,0,0.3337,27.31,0.607,118.71
105,1.2252,0.0162,1.2252,1.2252,NaN,0,0.3343,27.79,0.618,118.70
110,1.2251,0.0074,1.2251,1.2251,NaN,0,0.3349,27.98,0.622,118.74
115,1.2252,0.0063,1.2252,1.2252,NaN,0,0.3353,28.35,0.630,118.77
120,1.2252,0.0037,1.2252,1.2252,NaN,0,0.3352,28.78,0.639,118.78
125,1.2253,0.0065,1.2253,1.2253,NaN,0,0.3352,29.03,0.645,118.79
130,1.2253,0.0062,1.2253,1.2253,NaN,0,0.3351,29.17,0.648,118.81
135,1.2253,0.0046,1.2253,1.2253,NaN,0,0.3351,29.23,0.650,118.83
140,1.2253,0.0033,1.2253,1.2253,NaN,0,0.3350,29.25,0.650,118.86
145,1.2252,0.0009,1.2252,1.2252,NaN,0,0.3350,29.26,0.650,118.88
150,1.2251,0.0013,1.2251,1.2251,NaN,0,0.3349,29.25,0.650,118.90
155,1.2251,0.0018,1.2251,1.2251,NaN,0,0.3349,29.24,0.650,118.91
160,1.2250,0.0021,1.2250,1.2250,NaN,0,0.3349,29.23,0.650,118.93
165,1.2250,0.0022,1.2250,1.2250,NaN,0,0.3349,29.22,0.649,118.94
170,1.2250,0.0018,1.2250,1.2250,NaN,0,0.3349,29.22,0.649,118.94
175,1.2250,0.0016,1.2250,1.2250,NaN,0,0.3349,29.21,0.649,118.95
180,1.2249,0.0020,1.2249,1.2249,NaN,0,0.3349,29.21,0.649,118.94
185,1.2249,0.0026,1.2249,1.2249,NaN,0,0.3349,29.22,0.649,118.94
190,1.2249,0.0029,1.2249,1.2249,NaN,0,0.3349,29.24,0.650,118.93
195,1.2249,0.0030,1.2249,1.2249,NaN,0,0.3349,29.26,0.650,118.92
200,1.2249,0.0000,1.2249,1.2249,NaN,0,0.3349,29.26,0.650,118.92
205,1.2249,0.0000,1.2249,1.2249,NaN,0,0.3349,29.26,0.650,118.92
210,1.2249,0.0000,1.2249,1.2249,NaN,0,0.3349,29.26,0.650,118.92
215,1.2249,0.0000,1.2249,1.2249,NaN,0,0.3349,29.26,0.650,118.92
220,1.2249,0.0000,1.2249,1.2249,NaN,0,0.3349,29.26,0.650,118.92
225,1.2249,0.0000,1.2249,1.2249,NaN,0,0.3349,29.26,0.650,118.92
230,1.2249,0.0000,1.2249,1.2249,NaN,0,0.3349,29.26,0.650,118.92
235,1.2249,0.0000,1.2249,1.2249,NaN,0,0.3349,29.26,0.650,118.92
240,1.2249,0.0000,1.2249,1.2249,NaN,0,0.3349,29.26,0.650,118.92
245,1.2249,0.0000,1.2249,1.2249,NaN,0,0.3349,29.26,0.650,118.92
249,1.2249,0.0000,1.2249,1.2249,NaN,0,0.3349,29.26,0.650,118.92
