body_a,body_b,first_tick,last_tick,tick_count,max_normal_impulse,total_normal_impulse,point_x,point_y,point_z,normal_x,normal_y,normal_z
right_thigh,thorax,334,399,66,2.188,23.849,0.1183,0.5032,0.1135,-0.004,-0.972,-0.234
left_thigh,thorax,343,399,57,1.652,13.332,-0.1100,0.5045,0.1114,-0.004,-0.973,-0.229
