tick,joint,actual_x_deg,applied_target_x_deg,nominal_x_deg,tracking_err_deg,command_offset_deg,reference_dev_deg,limit_proximity,demand,solver_torque_nm,max_force_nm
40,right_foot,-3.23,1.33,-4.96,4.57,5.02,1.74,0.072,0.029,2.4,1710.0
40,left_shank,7.96,15.36,15.36,7.40,0.00,7.40,0.055,0.052,4.7,2052.0
40,right_shank,8.19,15.36,15.36,7.16,0.00,7.16,0.056,0.051,0.8,2052.0
40,left_thigh,-7.01,-14.21,-14.21,7.19,0.00,7.19,0.058,0.056,0.0,2052.0
40,right_thigh,-7.13,-14.21,-14.21,7.08,0.00,7.08,0.059,0.056,0.0,2052.0
40,abdomen,-0.24,2.10,2.10,2.42,0.00,2.42,0.007,0.018,0.0,1482.0
40,thorax,0.20,3.16,3.16,2.96,0.00,2.96,0.004,0.025,0.0,1482.0
42,left_foot,-3.36,1.08,-5.22,4.44,5.02,1.86,0.075,0.028,3.1,1710.0
42,right_foot,-3.48,1.08,-5.22,4.56,5.02,1.74,0.077,0.029,2.4,1710.0
42,left_shank,8.76,16.15,16.15,7.39,0.00,7.39,0.060,0.052,4.7,2052.0
42,right_shank,9.00,16.15,16.15,7.15,0.00,7.15,0.062,0.051,0.8,2052.0
42,left_thigh,-7.73,-14.94,-14.94,7.21,0.00,7.21,0.064,0.056,0.0,2052.0
42,right_thigh,-7.85,-14.94,-14.94,7.09,0.00,7.09,0.065,0.055,0.0,2052.0
42,abdomen,-0.04,2.21,2.21,2.33,0.00,2.33,0.001,0.017,0.0,1482.0
42,thorax,0.41,3.32,3.32,2.91,0.00,2.91,0.008,0.024,0.0,1482.0
44,left_foot,-3.62,0.82,-5.48,4.44,5.02,1.87,0.080,0.028,3.1,1710.0
