load_kg,phase,hold_tick,posture_scale,limit_scale,posture_guard_scale,raw_ankle_deg,guarded_ankle_deg,applied_ankle_deg,raw_authority_fraction,guarded_authority_fraction,hip_blend_actual,hip_blend_from_raw,hip_offset_deg,trunk_offset_deg,posture_error_rad,posture_error_rate,limit_prox,limit_driver,com_ap,com_ref_ap,cop_desired,cop_measured,contacts
0,0.55,230,1.0000,0.5583,0.5583,0.857,0.479,1.950,0.0571,0.0319,0.0000,0.0000,0.000,0.000,0.14534,-0.00722,0.6825,right_thigh,-0.0295,-0.0318,-0.0261,-0.0269,8
0,0.55,240,1.0000,0.5583,0.5583,0.844,0.471,1.948,0.0562,0.0314,0.0000,0.0000,0.000,0.000,0.14533,-0.00722,0.6825,right_thigh,-0.0295,-0.0318,-0.0262,-0.0269,8
0,0.55,249,0.9614,0.5582,0.5582,7.591,4.238,4.238,0.5061,0.2825,0.0000,0.0000,0.000,0.000,0.14538,0.00673,0.6825,right_thigh,-0.0296,-0.0318,-0.0262,-0.0329,8
0,0.80,0,0.7621,0.1853,0.1853,9.377,1.737,1.737,0.6252,0.1158,0.0000,0.0000,0.000,0.000,0.13219,0.04647,0.7944,right_thigh,-0.0253,-0.0318,-0.0190,-0.0274,8
0,0.80,10,0.1632,0.0823,0.0823,25.948,2.136,2.136,1.7299,0.1424,0.0000,1.0000,0.000,0.000,0.13724,0.15122,0.8253,right_thigh,-0.0253,-0.0318,-0.0136,-0.0368,8
0,0.80,20,0.0000,0.0274,0.0000,65.218,0.000,0.000,4.3478,0.0000,0.0000,1.0000,0.000,0.000,0.15764,0.28525,0.8418,right_thigh,-0.0240,-0.0318,0.0067,-0.0515,8
0,0.80,30,0.8674,0.0074,0.0074,93.902,0.696,0.696,6.2601,0.0464,0.0000,1.0000,0.000,0.000,0.17029,0.02314,0.8478,right_thigh,-0.0193,-0.0318,0.0458,-0.0380,8
0,0.80,40,1.0000,0.0051,0.0051,127.378,0.656,0.656,8.4918,0.0437,0.0000,1.0000,0.000,0.000,0.16741,-0.05011,0.8485,right_thigh,-0.0116,-0.0318,0.0849,-0.0288,8
0,0.80,50,1.0000,0.0073,0.0073,135.691,0.994,0.994,9.0460,0.0662,0.0000,1.0000,0.000,0.000,0.16237,-0.04609,0.8478,right_thigh,-0.0017,-0.0318,0.1053,-0.0158,8
0,0.80,60,1.0000,0.0081,0.0081,124.767,1.015,1.015,8.3178,0.0677,0.0000,1.0000,0.000,0.000,0.15865,-0.03036,0.8476,right_thigh,0.0098,-0.0318,0.1053,-0.0060,8
0,0.80,70,1.0000,0.0067,0.0067,115.263,0.773,0.773,7.6842,0.0515,0.0000,1.0000,0.000,0.000,0.15609,-0.02338,0.8480,right_thigh,0.0229,-0.0318,0.1053,0.0025,8
0,0.80,80,1.0000,0.0041,0.0041,104.039,0.424,0.424,6.9359,0.0283,0.0000,1.0000,0.000,0.000,0.15369,-0.02560,0.8488,right_thigh,0.0384,-0.0318,0.1053,0.0125,8
0,0.80,90,0.8197,0.0012,0.0012,88.874,0.107,0.107,5.9249,0.0071,0.0000,1.0000,0.000,0.000,0.15487,0.03147,0.8496,right_thigh,0.0569,-0.0318,0.1053,0.0260,8
0,0.80,100,0.8164,0.0000,0.0000,67.986,0.000,0.000,4.5324,0.0000,0.0000,1.0000,0.000,0.000,0.15804,0.03205,0.8505,right_thigh,0.0791,-0.0318,0.1053,0.0446,8
0,0.80,110,0.8082,0.0000,0.0000,41.644,0.000,0.000,2.7762,0.0000,0.0000,1.0000,0.000,0.000,0.16132,0.03347,0.8514,right_thigh,0.1053,-0.0318,0.1053,0.0681,8
0,0.80,120,0.0069,0.0000,0.0000,-33.628,0.000,0.000,2.2418,0.0000,0.0000,1.0000,0.000,0.000,0.16736,0.17333,0.8530,right_thigh,0.1358,-0.0318,0.1053,0.1353,8
0,0.80,130,0.1969,0.0000,0.0000,-33.583,0.000,0.000,2.2389,0.0000,0.0000,1.0000,0.000,0.000,0.18416,0.14016,0.8580,right_thigh,0.1679,-0.0318,0.1052,0.1352,8
0,0.80,140,0.7135,0.0000,0.0000,-33.522,0.000,0.000,2.2348,0.0000,0.0000,1.0000,0.000,0.000,0.19320,0.05000,0.8591,right_thigh,0.2048,0.0209,0.1048,0.1347,8
0,0.80,150,1.0000,0.0000,0.0000,0.012,0.000,0.000,0.0008,0.0000,0.0000,0.0000,0.000,0.000,0.19353,-0.02934,0.8574,right_thigh,0.2519,0.1124,0.1346,0.1346,4
0,0.80,160,1.0000,0.0000,0.0000,0.132,0.000,0.000,0.0088,0.0000,0.0000,0.0000,0.000,0.000,0.18578,-0.10650,0.8530,right_thigh,0.3144,0.1120,0.1343,0.1342,4
0,0.80,170,1.0000,0.0125,0.0125,0.048,0.001,0.001,0.0032,0.0000,0.0000,0.0000,0.000,0.000,0.16964,-0.21561,0.8462,left_thigh,0.3982,0.1114,0.1340,0.1339,4
0,0.80,180,1.0000,0.0428,0.0428,-2.253,-0.096,-0.096,0.1502,0.0064,0.0000,0.0000,0.000,0.000,0.13990,-0.38362,0.8372,left_thigh,0.5077,0.1102,0.1331,0.1351,4
0,0.80,190,1.0000,0.0903,0.0903,12.436,1.123,1.123,0.8291,0.0748,0.0000,0.0000,0.000,0.000,0.08648,-0.64756,0.8229,left_thigh,0.6408,0.1203,0.1456,0.1345,8
0,0.80,200,1.0000,0.1690,0.1690,-4.653,-0.786,-0.786,0.3102,0.0524,0.0000,0.0000,0.000,0.000,0.09005,-0.23091,0.7993,left_thigh,0.7504,0.1024,0.1272,0.1245,6
0,0.80,210,0.4901,0.1992,0.1942,-12.835,-2.493,0.000,0.8556,0.1662,0.0000,0.0376,0.000,0.000,0.10541,0.35958,0.7902,left_thigh,0.7849,0.0859,0.1091,0.1080,0
0,0.80,220,1.0000,0.1896,0.1942,-12.835,-2.493,0.000,0.8556,0.1662,0.0000,0.0376,0.000,0.000,0.08118,-0.43153,0.7931,right_thigh,0.7769,0.0859,0.1091,0.1080,0
0,0.80,230,1.0000,0.1681,0.1942,-12.835,-2.493,0.000,0.8556,0.1662,0.0000,0.0376,0.000,0.000,0.07079,-0.02623,0.7996,right_thigh,0.7687,0.0859,0.1091,0.1080,0
0,0.80,240,0.9959,0.1653,0.1653,-23.944,-3.959,-3.959,1.5963,0.2639,0.0000,1.0000,0.000,0.000,0.07189,0.02426,0.8004,right_thigh,0.7692,0.0328,0.0557,0.0549,6
0,0.80,249,0.9972,0.1662,0.1662,-17.457,-2.901,-2.901,1.1638,0.1934,0.0000,1.0000,0.000,0.000,0.07358,0.00908,0.8001,right_thigh,0.7702,0.0536,0.0795,0.0757,5
0,1.00,0,1.0000,0.0000,0.0000,9.336,0.000,0.000,0.6224,0.0000,0.0000,0.0000,0.000,0.000,0.10913,-0.03012,0.9224,right_thigh,-0.1321,-0.1172,-0.1247,-0.1330,8
0,1.00,10,0.0000,0.0000,0.0000,11.597,0.000,0.000,0.7732,0.0000,0.0000,0.0000,0.000,0.000,0.14754,0.44535,0.9417,right_thigh,-0.1339,-0.1172,-0.1247,-0.1351,8
0,1.00,20,0.0000,0.0000,0.0000,12.902,0.000,0.000,0.8601,0.0000,0.0000,0.0675,0.000,0.000,0.17876,0.19295,0.9511,right_thigh,-0.1356,-0.1172,-0.1247,-0.1362,8
0,1.00,30,0.9502,0.0000,0.0000,16.653,0.000,0.000,1.1102,0.0000,0.0000,1.0000,0.000,0.000,0.18669,0.00870,0.9539,left_thigh,-0.1378,-0.1172,-0.1247,-0.1396,8
0,1.00,40,1.0000,0.0000,0.0000,19.345,0.000,0.000,1.2896,0.0000,0.0000,1.0000,0.000,0.000,0.18410,-0.03874,0.9539,left_thigh,-0.1399,-0.1172,-0.1247,-0.1420,8
