hold_tick,com_ap,com_speed,support_min,support_max,cop_ap,contacts,pelvis_y,ankle_dorsiflexion_deg,ankle_proximity,trunk_incl_deg
0,1.1340,0.0932,1.1340,1.1340,NaN,0,0.3193,26.87,0.597,115.10
5,1.1327,0.1000,1.1327,1.1327,NaN,0,0.3223,26.66,0.592,115.43
10,1.1317,0.1039,1.1317,1.1317,NaN,0,0.3241,26.87,0.597,115.49
15,1.1308,0.0936,1.1308,1.1308,NaN,0,0.3247,27.27,0.606,115.34
20,1.1304,0.0864,1.1304,1.1304,NaN,0,0.3253,27.04,0.601,115.12
25,1.1299,0.0811,1.1299,1.1299,NaN,0,0.3261,26.59,0.591,114.89
30,1.1300,0.0775,1.1300,1.1300,NaN,0,0.3276,26.20,0.582,114.76
35,1.1295,0.0757,1.1295,1.1295,NaN,0,0.3289,25.90,0.575,114.58
40,1.1283,0.0711,1.1283,1.1283,NaN,0,0.3298,25.84,0.574,114.40
45,1.1277,0.0558,1.1277,1.1277,NaN,0,0.3300,25.81,0.574,114.25
50,1.1280,0.0460,1.1280,1.1280,NaN,0,0.3306,25.47,0.566,114.14
55,1.1283,0.0321,1.1283,1.1283,NaN,0,0.3308,25.45,0.566,114.01
60,1.1285,0.0152,1.1285,1.1285,NaN,0,0.3307,25.74,0.572,113.94
65,1.1284,0.0005,1.1284,1.1284,NaN,0,0.3308,25.76,0.572,113.96
70,1.1283,0.0087,1.1283,1.1283,NaN,0,0.3309,25.85,0.574,114.03
75,1.1281,0.0067,1.1281,1.1281,NaN,0,0.3313,25.87,0.575,114.11
80,1.1280,0.0019,1.1280,1.1280,NaN,0,0.3314,25.91,0.576,114.15
85,1.1279,0.0002,1.1279,1.1279,NaN,0,0.3315,25.95,0.577,114.17
90,1.1279,0.0028,1.1279,1.1279,NaN,0,0.3316,26.00,0.578,114.17
95,1.1279,0.0015,1.1279,1.1279,NaN,0,0.3316,26.05,0.579,114.18
100,1.1279,0.0020,1.1279,1.1279,NaN,0,0.3315,26.07,0.579,114.17
105,1.1279,0.0015,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
110,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
115,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
120,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
125,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
130,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
135,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
140,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
145,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
150,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
155,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
160,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
165,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
170,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
175,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
180,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
185,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
190,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
195,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
200,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
205,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
210,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
215,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
220,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
225,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
230,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
235,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
240,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
245,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
249,1.1279,0.0000,1.1279,1.1279,NaN,0,0.3316,26.08,0.580,114.18
