tick,sq,reference_trunk_JOINT_flexion_deg,actual_WORLD_trunk_pitch_deg,mixed_frame_difference_deg,actual_trunk_ang_vel_deg_s,abdomen_target_deg,abdomen_actual_deg,abdomen_error_deg,thorax_target_deg,thorax_actual_deg,thorax_error_deg,com_ap,guard_scale
260,0.7830,15.853,43.880,28.027,5.63,6.339,13.759,7.425,9.503,13.196,3.692,-0.02502,0.2491
265,0.7980,15.925,44.178,28.252,6.19,6.367,13.910,7.547,9.546,13.311,3.764,-0.02527,0.2035
270,0.8130,15.981,44.500,28.519,6.54,6.389,14.077,7.692,9.579,13.442,3.863,-0.02542,0.1575
275,0.8280,16.018,44.827,28.809,6.55,6.404,14.281,7.881,9.602,13.587,3.985,-0.02542,0.1121
280,0.8430,16.043,45.156,29.114,6.63,6.414,14.510,8.100,9.617,13.742,4.125,-0.02520,0.0699
285,0.8580,16.058,45.489,29.431,6.64,6.420,14.713,8.296,9.626,13.878,4.252,-0.02467,0.0313
290,0.8730,16.064,45.820,29.756,6.62,6.423,14.842,8.422,9.630,13.968,4.337,-0.02363,0.0000
295,0.8880,16.064,46.150,30.086,6.71,6.423,14.904,8.484,9.630,14.007,4.377,-0.02183,0.0000
300,0.9030,16.059,46.511,30.452,7.63,6.421,14.900,8.482,9.627,14.009,4.383,-0.01921,0.0000
305,0.9180,16.050,46.930,30.881,8.92,6.417,14.860,8.446,9.621,13.987,4.366,-0.01588,0.0000
310,0.9330,16.038,47.424,31.385,10.53,6.413,14.813,8.403,9.614,13.958,4.344,-0.01192,0.0000
315,0.9480,16.026,48.005,31.979,12.37,6.408,14.782,8.377,9.607,13.936,4.329,-0.00736,0.0000
320,0.9630,16.015,48.683,32.668,14.37,6.403,14.777,8.376,9.600,13.927,4.327,-0.00222,0.0000
325,0.9780,16.006,49.464,33.458,16.47,6.400,14.804,8.407,9.595,13.934,4.339,0.00350,0.0000
330,0.9930,16.001,50.353,34.352,18.65,6.398,14.859,8.464,9.592,13.957,4.365,0.00980,0.0000
335,1.0000,16.000,51.345,35.345,20.20,6.397,14.823,8.429,9.592,13.949,4.358,0.01671,0.0000
340,1.0000,16.000,52.401,36.401,22.12,6.397,14.871,8.476,9.592,13.959,4.367,0.02414,0.0000
345,1.0000,16.000,53.627,37.627,26.30,6.397,15.177,8.782,9.592,14.094,4.502,0.03216,0.0000
350,1.0000,16.000,55.078,39.078,30.75,6.397,15.552,9.157,9.592,14.282,4.691,0.04101,0.0000
355,1.0000,16.000,56.677,40.677,31.51,6.397,15.855,9.461,9.592,14.474,4.883,0.05084,0.0000
360,1.0000,16.000,58.189,42.189,29.94,6.397,15.841,9.450,9.592,14.593,5.003,0.06191,0.0000
365,0.9940,16.000,59.725,43.724,29.79,6.398,15.665,9.275,9.592,14.596,5.007,0.07430,0.0000
370,0.9790,16.005,61.158,45.153,24.11,6.400,15.347,8.954,9.595,14.644,5.051,0.08719,0.0000
375,0.9640,16.014,62.183,46.169,23.29,6.404,15.379,8.981,9.602,14.839,5.238,0.09977,0.0000
380,0.9490,16.025,63.670,47.645,32.37,6.409,15.593,9.190,9.609,14.744,5.136,0.11035,0.0000
385,0.9340,16.037,65.321,49.283,32.88,6.415,16.022,9.613,9.618,14.848,5.231,0.11907,0.0000
390,0.9190,16.049,66.908,50.859,30.78,6.421,16.543,10.128,9.626,15.062,5.436,0.12680,0.0000
395,0.9040,16.058,68.355,52.297,27.63,6.425,17.054,10.634,9.633,15.299,5.666,0.13418,0.0000
