side,hand_center_err_m,elbow_center_err_m,forearm_dir_err_deg,palm_normal_err_deg,palm_orient_err_deg,palm_bar_surf_err_m
left,0.44890,0.02915,129.089,106.476,108.196,0.26557
right,0.42977,0.02676,129.857,82.192,82.488,0.27113
