load_kg,config,phase,guard_scale,limit_prox,unexpected_consumed,raw_ankle_deg,applied_ankle_deg,raw_authority,guarded_authority,hip_blend,com_ap,cop_desired,cop_measured,support_min,support_max,com_speed,contacts,held,reason
0,G0,1.00,0.0000,0.9517,0.3561,33.594,0.000,2.2396,0.0000,0.0000,-0.16303,-0.12475,-0.15472,-0.15475,0.13528,0.03478,8,0,COM_PAST_REAR
0,G0,1.00,0.0000,0.9520,0.3594,33.600,0.000,2.2400,0.0000,0.0000,-0.17685,-0.12472,-0.15470,-0.15472,0.13525,0.08212,8,0,COM_PAST_REAR
0,G0,1.00,0.0000,0.9526,0.3683,33.536,0.000,2.2357,0.0000,0.0000,-0.20920,-0.12460,-0.15452,-0.15460,0.04456,0.20092,6,0,COM_PAST_REAR
0,G1,0.55,0.0000,0.5179,0.1757,-11.679,0.000,0.7786,0.0000,0.0000,1.09890,0.20853,0.18756,1.09890,1.09890,0.06857,0,1,HELD
0,G1,0.55,0.0000,0.5825,0.2128,-11.679,0.000,0.7786,0.0000,0.0000,1.08802,0.20853,0.18756,1.08802,1.08802,0.06968,0,1,HELD
0,G1,0.55,0.0000,0.6017,0.1523,-11.679,0.000,0.7786,0.0000,0.0000,1.08716,0.20853,0.18756,1.08716,1.08716,0.07990,0,1,HELD
0,G1,0.55,0.0000,0.6170,0.1090,-11.679,0.000,0.7786,0.0000,0.0000,1.09094,0.20853,0.18756,1.09094,1.09094,0.06618,0,1,HELD
0,G1,0.55,0.0000,0.6233,0.0860,-11.679,0.000,0.7786,0.0000,0.0000,1.09066,0.20853,0.18756,1.09066,1.09066,0.00218,0,1,HELD
0,G1,0.55,0.0000,0.6231,0.0824,-11.679,0.000,0.7786,0.0000,0.0000,1.09055,0.20853,0.18756,1.09055,1.09055,0.00071,0,1,HELD
0,G1,0.55,0.0000,0.6235,0.0827,-11.679,0.000,0.7786,0.0000,0.0000,1.09051,0.20853,0.18756,1.09051,1.09051,0.00000,0,1,HELD
0,G1,0.55,0.0000,0.6235,0.0827,-11.679,0.000,0.7786,0.0000,0.0000,1.09051,0.20853,0.18756,1.09051,1.09051,0.00000,0,1,HELD
0,G1,0.55,0.0000,0.6235,0.0827,-11.679,0.000,0.7786,0.0000,0.0000,1.09051,0.20853,0.18756,1.09051,1.09051,0.00000,0,0,LOST_PLANTAR_CONTACT
0,G1,0.55,0.0000,0.6235,0.0827,-11.679,0.000,0.7786,0.0000,0.0000,1.09051,0.20853,0.18756,1.09051,1.09051,0.00000,0,0,LOST_PLANTAR_CONTACT
0,G1,0.55,0.0000,0.6235,0.0827,-11.679,0.000,0.7786,0.0000,0.0000,1.09051,0.20853,0.18756,1.09051,1.09051,0.00000,0,0,LOST_PLANTAR_CONTACT
0,G1,0.80,0.6807,0.7944,0.1958,8.862,4.299,0.5908,0.4021,0.0000,-0.02692,-0.02637,-0.03427,-0.15472,0.13528,0.00877,8,1,HELD
0,G1,0.80,0.2304,0.8456,0.2335,63.066,4.584,4.2044,0.9688,0.7919,-0.02582,0.01074,-0.04553,-0.15472,0.13528,0.03620,8,1,HELD
0,G1,0.80,1.0000,0.8477,0.2281,0.673,0.673,0.0449,0.0449,0.0000,-0.02237,-0.01616,-0.01676,-0.15472,0.13528,0.00826,8,1,HELD
0,G1,0.80,0.9234,0.8477,0.2259,5.468,4.876,0.3645,0.3366,0.0000,-0.02460,-0.02253,-0.02741,-0.15472,0.13528,0.00960,8,1,HELD
0,G1,0.80,1.0000,0.8474,0.2243,0.403,1.366,0.0269,0.0269,0.0000,-0.02678,-0.02509,-0.02545,-0.15472,0.13528,0.00636,8,1,HELD
0,G1,0.80,0.9536,0.8472,0.2233,6.624,3.658,0.4416,0.4211,0.0000,-0.02804,-0.02600,-0.03191,-0.15472,0.13528,0.00372,8,1,HELD
0,G1,0.80,1.0000,0.8471,0.2230,-0.662,1.366,0.0441,0.0441,0.0000,-0.02887,-0.02707,-0.02648,-0.15472,0.13528,0.00263,8,1,HELD
0,G1,0.80,0.9545,0.8472,0.2232,5.007,3.658,0.3338,0.3186,0.0000,-0.02953,-0.02832,-0.03279,-0.15472,0.13528,0.00230,8,1,HELD
0,G1,0.80,1.0000,0.8471,0.2228,-2.911,1.330,0.1940,0.1940,0.0000,-0.03021,-0.03019,-0.02760,-0.15472,0.13528,0.00263,8,1,HELD
0,G1,0.80,0.9563,0.8470,0.2225,3.803,3.546,0.2535,0.2425,0.0000,-0.03084,-0.03101,-0.03440,-0.15472,0.13528,0.00183,8,1,HELD
0,G1,0.80,0.9588,0.8470,0.2221,3.669,3.518,0.2446,0.2345,0.0000,-0.03127,-0.03151,-0.03479,-0.15472,0.13528,0.00120,8,1,HELD
0,G1,1.00,0.9863,0.9352,0.2221,9.546,4.581,0.6364,0.6277,0.0000,-0.02880,-0.02532,-0.03384,-0.15472,0.13528,0.00120,8,1,HELD
0,G1,1.00,0.4980,0.9682,0.5766,28.702,11.459,1.9135,0.9528,0.6856,-0.02786,-0.00411,-0.02971,-0.15472,0.13528,0.02834,8,1,HELD
0,G1,1.00,1.0000,0.9700,0.6006,4.441,4.441,0.2960,0.2960,0.0000,-0.02616,-0.01986,-0.02383,-0.15472,0.13528,0.00043,8,1,HELD
0,G1,1.00,0.9413,0.9694,0.5916,8.534,4.434,0.5689,0.5355,0.0000,-0.02693,-0.02324,-0.03085,-0.15472,0.13528,0.00287,8,1,HELD
0,G1,1.00,1.0000,0.9691,0.5879,1.935,2.142,0.1290,0.1290,0.0000,-0.02754,-0.02380,-0.02553,-0.15472,0.13528,0.00168,8,1,HELD
0,G1,1.00,0.9622,0.9691,0.5885,9.011,4.751,0.6007,0.5780,0.0000,-0.02781,-0.02333,-0.03137,-0.15472,0.13528,0.00039,8,1,HELD
0,G1,1.00,1.0000,0.9691,0.5885,3.121,3.121,0.2081,0.2081,0.0000,-0.02779,-0.02269,-0.02547,-0.15472,0.13528,0.00076,8,1,HELD
