phase,hold_tick,com_ap,com_ref_ap,com_ap_error,com_speed,desired_com_accel,cop_desired_unclamped,cop_desired,cop_measured,cop_error,raw_ankle_offset_deg,final_ankle_offset_deg,posture_guard_scale,posture_error_rad,posture_limit_proximity,limit_driver_joint,limit_driver_proximity,ankle_authority_fraction,ankle_saturated,hip_blend,hip_offset_deg,trunk_offset_deg,knee_prox,hip_prox,abdomen_prox,thorax_prox,ankle_prox,ankle_dorsiflexion_deg,knee_flexion_deg,chain_max_demand,support_min,support_max,contacts
0.55,90,-0.0261,-0.0318,0.0057,0.0062,-0.0462,-0.0225,-0.0225,-0.0244,-0.0019,2.142,2.096,0.5576,0.1440,0.6827,left_thigh,0.6794,0.0796,0,0.000,0.000,0.000,0.591,0.679,0.304,0.260,0.578,26.03,85.76,0.073,-0.1547,0.1353,8
0.55,95,-0.0264,-0.0318,0.0054,0.0058,-0.0435,-0.0230,-0.0230,-0.0305,-0.0075,8.381,4.388,0.5577,0.1443,0.6827,left_thigh,0.6794,0.3116,0,0.000,0.000,0.000,0.592,0.679,0.304,0.260,0.578,26.02,85.77,0.072,-0.1547,0.1353,8
0.55,100,-0.0267,-0.0318,0.0051,0.0055,-0.0400,-0.0235,-0.0235,-0.0248,-0.0012,1.362,2.096,0.5579,0.1443,0.6826,left_thigh,0.6794,0.0506,0,0.000,0.000,0.000,0.592,0.679,0.304,0.260,0.578,26.00,85.79,0.073,-0.1547,0.1353,8
0.55,105,-0.0269,-0.0318,0.0049,0.0051,-0.0387,-0.0239,-0.0239,-0.0309,-0.0070,7.835,4.371,0.5579,0.1444,0.6826,left_thigh,0.6794,0.2914,0,0.000,0.000,0.000,0.592,0.679,0.304,0.260,0.577,25.99,85.79,0.072,-0.1547,0.1353,8
0.55,110,-0.0272,-0.0318,0.0046,0.0047,-0.0374,-0.0243,-0.0243,-0.0254,-0.0011,1.263,2.047,0.5580,0.1444,0.6826,left_thigh,0.6794,0.0470,0,0.000,0.000,0.000,0.592,0.679,0.304,0.260,0.577,25.97,85.80,0.073,-0.1547,0.1353,8
0.55,115,-0.0274,-0.0318,0.0044,0.0041,-0.0392,-0.0243,-0.0243,-0.0314,-0.0070,7.899,4.339,0.5579,0.1445,0.6826,left_thigh,0.6794,0.2938,0,0.000,0.000,0.000,0.592,0.679,0.304,0.260,0.577,25.95,85.81,0.072,-0.1547,0.1353,8
0.55,120,-0.0276,-0.0318,0.0042,0.0038,-0.0385,-0.0246,-0.0246,-0.0256,-0.0010,1.085,2.047,0.5581,0.1445,0.6826,left_thigh,0.6794,0.0404,0,0.000,0.000,0.000,0.592,0.679,0.304,0.260,0.576,25.93,85.81,0.073,-0.1547,0.1353,8
0.55,125,-0.0278,-0.0318,0.0040,0.0034,-0.0395,-0.0247,-0.0247,-0.0316,-0.0069,7.762,4.328,0.5580,0.1447,0.6826,left_thigh,0.6794,0.2887,0,0.000,0.000,0.000,0.592,0.679,0.304,0.260,0.576,25.92,85.81,0.072,-0.1547,0.1353,8
0.55,130,-0.0280,-0.0318,0.0038,0.0032,-0.0390,-0.0249,-0.0249,-0.0259,-0.0010,1.109,2.016,0.5581,0.1447,0.6826,left_thigh,0.6794,0.0413,0,0.000,0.000,0.000,0.592,0.679,0.304,0.260,0.576,25.91,85.82,0.073,-0.1547,0.1353,8
0.55,135,-0.0281,-0.0318,0.0037,0.0029,-0.0405,-0.0250,-0.0250,-0.0319,-0.0069,7.769,4.308,0.5580,0.1448,0.6826,left_thigh,0.6794,0.2890,0,0.000,0.000,0.000,0.592,0.679,0.304,0.260,0.575,25.90,85.82,0.072,-0.1547,0.1353,8
0.55,140,-0.0283,-0.0318,0.0035,0.0028,-0.0396,-0.0252,-0.0252,-0.0261,-0.0010,1.074,1.995,0.5582,0.1448,0.6826,left_thigh,0.6794,0.0400,0,0.000,0.000,0.000,0.592,0.679,0.304,0.260,0.575,25.88,85.82,0.073,-0.1547,0.1353,8
0.55,145,-0.0284,-0.0318,0.0034,0.0025,-0.0412,-0.0252,-0.0252,-0.0321,-0.0070,7.800,4.287,0.5581,0.1449,0.6826,left_thigh,0.6794,0.2902,0,0.000,0.000,0.000,0.592,0.679,0.304,0.260,0.575,25.88,85.82,0.072,-0.1547,0.1353,8
0.55,150,-0.0285,-0.0318,0.0033,0.0024,-0.0406,-0.0253,-0.0253,-0.0262,-0.0009,1.005,1.995,0.5582,0.1449,0.6825,left_thigh,0.6794,0.0374,0,0.000,0.000,0.000,0.592,0.679,0.304,0.260,0.575,25.86,85.82,0.073,-0.1547,0.1353,8
0.55,155,-0.0286,-0.0318,0.0032,0.0022,-0.0413,-0.0254,-0.0254,-0.0322,-0.0068,7.662,4.276,0.5581,0.1451,0.6826,left_thigh,0.6793,0.2851,0,0.000,0.000,0.000,0.592,0.679,0.304,0.260,0.575,25.86,85.82,0.072,-0.1547,0.1353,8
0.55,160,-0.0287,-0.0318,0.0031,0.0021,-0.0406,-0.0256,-0.0256,-0.0264,-0.0008,0.943,1.984,0.5582,0.1450,0.6825,left_thigh,0.6793,0.0351,0,0.000,0.000,0.000,0.592,0.679,0.304,0.260,0.574,25.85,85.82,0.073,-0.1547,0.1353,8
0.55,165,-0.0288,-0.0318,0.0030,0.0019,-0.0414,-0.0256,-0.0256,-0.0324,-0.0069,7.698,4.264,0.5581,0.1452,0.6826,left_thigh,0.6793,0.2864,0,0.000,0.000,0.000,0.592,0.679,0.304,0.260,0.574,25.85,85.82,0.072,-0.1547,0.1353,8
0.55,170,-0.0289,-0.0318,0.0029,0.0017,-0.0410,-0.0257,-0.0257,-0.0265,-0.0009,0.953,1.972,0.5582,0.1452,0.6826,left_thigh,0.6793,0.0355,0,0.000,0.000,0.000,0.592,0.679,0.304,0.260,0.574,25.84,85.82,0.073,-0.1547,0.1353,8
0.55,175,-0.0290,-0.0318,0.0028,0.0015,-0.0420,-0.0257,-0.0257,-0.0325,-0.0068,7.641,4.264,0.5580,0.1453,0.6826,left_thigh,0.6793,0.2843,0,0.000,0.000,0.000,0.592,0.679,0.304,0.260,0.574,25.83,85.82,0.072,-0.1547,0.1353,8
0.55,180,-0.0291,-0.0318,0.0027,0.0013,-0.0412,-0.0258,-0.0258,-0.0267,-0.0008,0.952,1.960,0.5582,0.1452,0.6826,left_thigh,0.6793,0.0354,0,0.000,0.000,0.000,0.592,0.679,0.304,0.260,0.574,25.83,85.82,0.073,-0.1547,0.1353,8
0.55,185,-0.0291,-0.0318,0.0027,0.0011,-0.0425,-0.0258,-0.0258,-0.0326,-0.0069,7.691,4.252,0.5580,0.1454,0.6826,left_thigh,0.6792,0.2861,0,0.000,0.000,0.000,0.592,0.679,0.303,0.260,0.574,25.82,85.82,0.072,-0.1547,0.1353,8
0.55,190,-0.0292,-0.0318,0.0026,0.0010,-0.0419,-0.0259,-0.0259,-0.0267,-0.0008,0.927,1.960,0.5582,0.1453,0.6826,left_thigh,0.6793,0.0345,0,0.000,0.000,0.000,0.592,0.679,0.304,0.260,0.574,25.82,85.82,0.073,-0.1547,0.1353,8
0.55,195,-0.0292,-0.0318,0.0026,0.0008,-0.0428,-0.0259,-0.0259,-0.0327,-0.0068,7.642,4.252,0.5580,0.1454,0.6826,left_thigh,0.6792,0.2843,0,0.000,0.000,0.000,0.592,0.679,0.303,0.260,0.574,25.82,85.82,0.072,-0.1547,0.1353,8
0.55,200,-0.0293,-0.0318,0.0025,0.0007,-0.0420,-0.0260,-0.0260,-0.0268,-0.0008,0.882,1.958,0.5582,0.1453,0.6826,left_thigh,0.6793,0.0328,0,0.000,0.000,0.000,0.592,0.679,0.303,0.260,0.574,25.81,85.82,0.073,-0.1547,0.1353,8
0.55,205,-0.0293,-0.0318,0.0025,0.0006,-0.0428,-0.0260,-0.0260,-0.0327,-0.0068,7.606,4.245,0.5581,0.1454,0.6826,left_thigh,0.6792,0.2830,0,0.000,0.000,0.000,0.592,0.679,0.303,0.260,0.574,25.81,85.82,0.072,-0.1547,0.1353,8
0.55,210,-0.0294,-0.0318,0.0024,0.0006,-0.0422,-0.0260,-0.0260,-0.0268,-0.0008,0.884,1.953,0.5582,0.1454,0.6825,left_thigh,0.6793,0.0329,0,0.000,0.000,0.000,0.592,0.679,0.303,0.260,0.573,25.81,85.82,0.073,-0.1547,0.1353,8
0.55,215,-0.0294,-0.0318,0.0024,0.0005,-0.0431,-0.0260,-0.0260,-0.0328,-0.0068,7.615,4.245,0.5581,0.1454,0.6826,left_thigh,0.6792,0.2833,0,0.000,0.000,0.000,0.592,0.679,0.303,0.260,0.573,25.81,85.82,0.072,-0.1547,0.1353,8
0.55,220,-0.0294,-0.0318,0.0024,0.0006,-0.0423,-0.0261,-0.0261,-0.0269,-0.0008,0.870,1.950,0.5582,0.1454,0.6825,left_thigh,0.6793,0.0324,0,0.000,0.000,0.000,0.592,0.679,0.303,0.260,0.573,25.80,85.83,0.073,-0.1547,0.1353,8
0.55,225,-0.0295,-0.0318,0.0023,0.0006,-0.0433,-0.0261,-0.0261,-0.0329,-0.0068,7.618,4.241,0.5581,0.1454,0.6826,left_thigh,0.6792,0.2834,0,0.000,0.000,0.000,0.592,0.679,0.303,0.260,0.573,25.80,85.83,0.072,-0.1547,0.1353,8
0.55,230,-0.0295,-0.0318,0.0023,0.0006,-0.0425,-0.0261,-0.0261,-0.0269,-0.0008,0.857,1.950,0.5583,0.1453,0.6825,left_thigh,0.6793,0.0319,0,0.000,0.000,0.000,0.592,0.679,0.303,0.260,0.573,25.80,85.83,0.073,-0.1547,0.1353,8
0.55,235,-0.0295,-0.0318,0.0023,0.0006,-0.0434,-0.0261,-0.0261,-0.0329,-0.0068,7.596,4.240,0.5582,0.1454,0.6825,left_thigh,0.6792,0.2827,0,0.000,0.000,0.000,0.592,0.679,0.303,0.260,0.573,25.80,85.83,0.072,-0.1547,0.1353,8
0.55,240,-0.0295,-0.0318,0.0023,0.0006,-0.0426,-0.0262,-0.0262,-0.0269,-0.0008,0.844,1.948,0.5583,0.1453,0.6825,left_thigh,0.6793,0.0314,0,0.000,0.000,0.000,0.592,0.679,0.303,0.260,0.573,25.80,85.83,0.073,-0.1547,0.1353,8
0.55,245,-0.0296,-0.0318,0.0022,0.0005,-0.0435,-0.0261,-0.0261,-0.0329,-0.0068,7.595,4.239,0.5582,0.1454,0.6825,left_thigh,0.6792,0.2826,0,0.000,0.000,0.000,0.592,0.679,0.303,0.260,0.573,25.80,85.83,0.072,-0.1547,0.1353,8
0.55,249,-0.0296,-0.0318,0.0022,0.0005,-0.0435,-0.0262,-0.0262,-0.0329,-0.0068,7.591,4.238,0.5582,0.1454,0.6825,left_thigh,0.6792,0.2825,0,0.000,0.000,0.000,0.592,0.679,0.303,0.260,0.573,25.80,85.83,0.072,-0.1547,0.1353,8
0.70,0,-0.0244,-0.0318,0.0074,0.0061,-0.2209,-0.0075,-0.0075,-0.0174,-0.0099,11.108,4.881,0.4394,0.1400,0.7182,left_thigh,0.7162,0.3254,0,0.000,0.000,0.000,0.619,0.716,0.313,0.266,0.599,26.95,89.73,0.071,-0.1547,0.1353,8
0.70,5,-0.0242,-0.0318,0.0076,0.0042,-0.1818,-0.0104,-0.0104,-0.0180,-0.0076,8.482,3.388,0.3994,0.1312,0.7302,left_thigh,0.7293,0.2259,0,0.000,0.000,0.000,0.630,0.729,0.302,0.261,0.610,27.44,91.30,0.066,-0.1547,0.1353,8
0.70,10,-0.0242,-0.0318,0.0076,0.0049,-0.1185,-0.0153,-0.0153,-0.0251,-0.0098,10.972,3.978,0.3626,0.1308,0.7412,left_thigh,0.7399,0.2652,0,0.000,0.000,0.000,0.642,0.740,0.303,0.261,0.620,27.91,93.05,0.075,-0.1547,0.1353,8
0.70,15,-0.0245,-0.0318,0.0073,0.0081,-0.0574,-0.0203,-0.0203,-0.0277,-0.0074,8.345,2.797,0.3351,0.1352,0.7495,left_thigh,0.7476,0.1864,0,0.000,0.000,0.000,0.651,0.748,0.310,0.264,0.628,28.26,94.45,0.081,-0.1547,0.1353,8
0.70,20,-0.0249,-0.0318,0.0069,0.0068,-0.0628,-0.0203,-0.0203,-0.0307,-0.0104,11.654,1.327,0.0000,0.1422,0.7554,left_thigh,0.7530,0.0000,0,0.000,0.000,0.000,0.658,0.753,0.318,0.268,0.632,28.43,95.37,0.084,-0.1547,0.1353,8
0.70,25,-0.0250,-0.0318,0.0068,0.0047,-0.1886,-0.0113,-0.0113,-0.0543,-0.0431,48.267,2.292,0.0666,0.1523,0.7590,left_thigh,0.7560,0.2143,0,0.000,0.000,0.000,0.661,0.756,0.323,0.271,0.636,28.62,95.88,0.083,-0.1547,0.1353,8
0.70,30,-0.0242,-0.0318,0.0076,0.0187,-0.3751,0.0030,0.0030,-0.0153,-0.0184,20.571,6.599,0.2951,0.1580,0.7615,left_thigh,0.7584,0.4047,0,0.000,0.000,0.000,0.663,0.758,0.327,0.273,0.635,28.58,96.18,0.085,-0.1547,0.1353,8
0.70,35,-0.0237,-0.0318,0.0082,0.0085,-0.2643,-0.0044,-0.0044,-0.0222,-0.0178,19.928,5.798,0.2910,0.1584,0.7627,left_thigh,0.7594,0.3865,0,0.000,0.000,0.000,0.663,0.759,0.328,0.274,0.636,28.60,96.15,0.081,-0.1547,0.1353,8
0.70,40,-0.0233,-0.0318,0.0086,0.0077,-0.2635,-0.0041,-0.0041,-0.0148,-0.0107,12.031,3.480,0.2892,0.1568,0.7632,left_thigh,0.7599,0.2320,0,0.000,0.000,0.000,0.662,0.760,0.328,0.275,0.635,28.57,96.06,0.082,-0.1547,0.1353,8
0.70,45,-0.0230,-0.0318,0.0089,0.0055,-0.2431,-0.0053,-0.0053,-0.0208,-0.0156,17.460,5.043,0.2888,0.1550,0.7633,left_thigh,0.7599,0.3362,0,0.000,0.000,0.000,0.662,0.760,0.327,0.274,0.635,28.56,95.95,0.080,-0.1547,0.1353,8
0.70,50,-0.0228,-0.0318,0.0091,0.0037,-0.2248,-0.0064,-0.0064,-0.0160,-0.0096,10.726,3.104,0.2894,0.1534,0.7632,left_thigh,0.7598,0.2069,0,0.000,0.000,0.000,0.661,0.760,0.325,0.273,0.635,28.56,95.87,0.079,-0.1547,0.1353,8
0.70,55,-0.0226,-0.0318,0.0092,0.0020,-0.2066,-0.0076,-0.0076,-0.0221,-0.0146,16.321,4.734,0.2901,0.1525,0.7630,left_thigh,0.7596,0.3156,0,0.000,0.000,0.000,0.661,0.760,0.324,0.273,0.635,28.57,95.82,0.078,-0.1547,0.1353,8
0.70,60,-0.0226,-0.0318,0.0092,0.0007,-0.1863,-0.0090,-0.0090,-0.0178,-0.0087,9.803,2.853,0.2911,0.1520,0.7627,left_thigh,0.7594,0.1902,0,0.000,0.000,0.000,0.661,0.759,0.322,0.272,0.635,28.58,95.80,0.078,-0.1547,0.1353,8
0.70,65,-0.0227,-0.0318,0.0092,0.0013,-0.1702,-0.0102,-0.0102,-0.0240,-0.0138,15.446,4.506,0.2917,0.1519,0.7625,left_thigh,0.7591,0.3004,0,0.000,0.000,0.000,0.661,0.759,0.321,0.271,0.635,28.60,95.79,0.077,-0.1547,0.1353,8
