phase,hold_tick,com_ap,com_ref_ap,com_ap_error,com_speed,desired_com_accel,cop_desired_unclamped,cop_desired,cop_measured,cop_error,raw_ankle_offset_deg,final_ankle_offset_deg,posture_guard_scale,posture_error_rad,posture_limit_proximity,limit_driver_joint,limit_driver_proximity,ankle_authority_fraction,ankle_saturated,hip_blend,hip_offset_deg,trunk_offset_deg,knee_prox,hip_prox,abdomen_prox,thorax_prox,ankle_prox,ankle_dorsiflexion_deg,knee_flexion_deg,chain_max_demand,support_min,support_max,contacts
0.70,165,-0.0251,-0.0318,0.0067,0.0008,-0.1247,-0.0160,-0.0160,-0.0286,-0.0125,14.053,4.133,0.2941,0.1537,0.7618,left_thigh,0.7584,0.2755,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.633,28.49,95.89,0.076,-0.1547,0.1353,8
0.70,170,-0.0252,-0.0318,0.0066,0.0007,-0.1239,-0.0161,-0.0161,-0.0228,-0.0067,7.467,2.197,0.2942,0.1536,0.7617,left_thigh,0.7585,0.1465,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.633,28.48,95.90,0.077,-0.1547,0.1353,8
0.70,175,-0.0252,-0.0318,0.0066,0.0006,-0.1249,-0.0161,-0.0161,-0.0286,-0.0125,14.039,4.129,0.2941,0.1537,0.7618,left_thigh,0.7584,0.2753,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.633,28.48,95.90,0.076,-0.1547,0.1353,8
0.70,180,-0.0253,-0.0318,0.0065,0.0006,-0.1241,-0.0162,-0.0162,-0.0229,-0.0066,7.448,2.192,0.2943,0.1537,0.7617,left_thigh,0.7585,0.1461,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.633,28.47,95.90,0.077,-0.1547,0.1353,8
0.70,185,-0.0253,-0.0318,0.0065,0.0004,-0.1251,-0.0162,-0.0162,-0.0287,-0.0125,14.028,4.126,0.2942,0.1537,0.7618,left_thigh,0.7584,0.2751,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.633,28.47,95.90,0.076,-0.1547,0.1353,8
0.70,190,-0.0253,-0.0318,0.0065,0.0004,-0.1242,-0.0163,-0.0163,-0.0229,-0.0066,7.437,2.188,0.2943,0.1537,0.7617,left_thigh,0.7584,0.1459,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.633,28.47,95.90,0.077,-0.1547,0.1353,8
0.70,195,-0.0254,-0.0318,0.0064,0.0003,-0.1252,-0.0162,-0.0162,-0.0287,-0.0125,14.027,4.126,0.2942,0.1538,0.7617,left_thigh,0.7584,0.2751,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.633,28.47,95.90,0.076,-0.1547,0.1353,8
0.70,200,-0.0254,-0.0318,0.0064,0.0003,-0.1244,-0.0163,-0.0163,-0.0229,-0.0066,7.429,2.186,0.2943,0.1537,0.7617,left_thigh,0.7584,0.1458,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.633,28.46,95.90,0.077,-0.1547,0.1353,8
0.70,205,-0.0254,-0.0318,0.0064,0.0002,-0.1254,-0.0163,-0.0163,-0.0288,-0.0125,14.016,4.123,0.2942,0.1538,0.7617,left_thigh,0.7584,0.2749,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.633,28.47,95.90,0.076,-0.1547,0.1353,8
0.70,210,-0.0254,-0.0318,0.0064,0.0002,-0.1245,-0.0164,-0.0164,-0.0230,-0.0066,7.424,2.185,0.2943,0.1537,0.7617,left_thigh,0.7584,0.1457,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.632,28.46,95.90,0.077,-0.1547,0.1353,8
0.70,215,-0.0255,-0.0318,0.0063,0.0001,-0.1255,-0.0163,-0.0163,-0.0288,-0.0125,14.010,4.122,0.2942,0.1538,0.7617,left_thigh,0.7584,0.2748,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.632,28.46,95.90,0.076,-0.1547,0.1353,8
0.70,220,-0.0255,-0.0318,0.0063,0.0002,-0.1246,-0.0164,-0.0164,-0.0230,-0.0066,7.412,2.181,0.2943,0.1537,0.7617,left_thigh,0.7584,0.1454,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.632,28.46,95.90,0.077,-0.1547,0.1353,8
0.70,225,-0.0255,-0.0318,0.0063,0.0001,-0.1256,-0.0163,-0.0163,-0.0288,-0.0125,13.997,4.118,0.2942,0.1538,0.7617,left_thigh,0.7584,0.2745,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.632,28.46,95.90,0.076,-0.1547,0.1353,8
0.70,230,-0.0255,-0.0318,0.0063,0.0001,-0.1247,-0.0164,-0.0164,-0.0230,-0.0066,7.411,2.181,0.2943,0.1537,0.7617,left_thigh,0.7584,0.1454,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.632,28.45,95.90,0.077,-0.1547,0.1353,8
0.70,235,-0.0255,-0.0318,0.0063,0.0001,-0.1256,-0.0164,-0.0164,-0.0289,-0.0125,13.991,4.117,0.2942,0.1538,0.7617,left_thigh,0.7584,0.2744,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.632,28.46,95.90,0.076,-0.1547,0.1353,8
0.70,240,-0.0256,-0.0318,0.0063,0.0001,-0.1247,-0.0165,-0.0165,-0.0231,-0.0066,7.403,2.179,0.2943,0.1537,0.7617,left_thigh,0.7584,0.1453,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.632,28.45,95.90,0.077,-0.1547,0.1353,8
0.70,245,-0.0256,-0.0318,0.0062,0.0001,-0.1257,-0.0164,-0.0164,-0.0289,-0.0125,13.990,4.116,0.2942,0.1538,0.7617,left_thigh,0.7584,0.2744,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.632,28.45,95.90,0.076,-0.1547,0.1353,8
0.70,249,-0.0256,-0.0318,0.0062,0.0001,-0.1257,-0.0164,-0.0164,-0.0289,-0.0125,13.989,4.116,0.2942,0.1538,0.7617,left_thigh,0.7584,0.2744,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.632,28.45,95.90,0.076,-0.1547,0.1353,8
0.80,0,-0.0253,-0.0318,0.0065,0.0057,-0.0894,-0.0190,-0.0190,-0.0274,-0.0084,9.377,1.737,0.1853,0.1322,0.7944,left_thigh,0.7940,0.1158,0,0.000,0.000,0.000,0.693,0.794,0.311,0.267,0.656,29.54,100.53,0.076,-0.1547,0.1353,8
0.80,5,-0.0254,-0.0318,0.0064,0.0049,-0.1358,-0.0160,-0.0160,-0.0311,-0.0152,17.015,2.190,0.1287,0.1316,0.8114,left_thigh,0.8113,0.1460,0,0.000,0.000,0.000,0.708,0.811,0.310,0.268,0.666,29.95,102.68,0.075,-0.1547,0.1353,8
0.80,10,-0.0253,-0.0318,0.0065,0.0050,-0.1708,-0.0136,-0.0136,-0.0368,-0.0231,25.948,2.136,0.0823,0.1372,0.8253,left_thigh,0.8244,0.1424,0,0.000,0.000,0.000,0.722,0.824,0.318,0.272,0.674,30.32,104.70,0.084,-0.1547,0.1353,8
0.80,15,-0.0250,-0.0318,0.0068,0.0104,-0.2603,-0.0075,-0.0075,-0.0434,-0.0359,40.222,1.986,0.0494,0.1454,0.8352,left_thigh,0.8334,0.1324,0,0.000,0.000,0.000,0.732,0.833,0.329,0.277,0.681,30.63,106.18,0.089,-0.1547,0.1353,8
0.80,20,-0.0240,-0.0318,0.0078,0.0256,-0.4631,0.0067,0.0067,-0.0515,-0.0582,65.218,0.000,0.0000,0.1576,0.8418,left_thigh,0.8392,0.0000,0,0.000,0.000,0.000,0.739,0.839,0.338,0.282,0.686,30.87,107.10,0.089,-0.1547,0.1353,8
0.80,25,-0.0221,-0.0318,0.0097,0.0474,-0.7625,0.0282,0.0282,-0.0422,-0.0705,78.978,1.132,0.0143,0.1671,0.8457,left_thigh,0.8426,0.0755,0,0.000,0.000,0.000,0.742,0.843,0.343,0.285,0.691,31.09,107.56,0.089,-0.1547,0.1353,8
0.80,30,-0.0193,-0.0318,0.0125,0.0615,-0.9876,0.0458,0.0458,-0.0380,-0.0838,93.902,0.696,0.0074,0.1703,0.8478,left_thigh,0.8443,0.0464,0,0.000,0.000,0.000,0.743,0.844,0.345,0.286,0.697,31.35,107.67,0.086,-0.1547,0.1353,8
0.80,35,-0.0158,-0.0318,0.0160,0.0757,-1.2268,0.0650,0.0650,-0.0345,-0.0995,111.553,0.569,0.0051,0.1696,0.8485,left_thigh,0.8448,0.0379,0,0.000,0.000,0.000,0.742,0.845,0.343,0.285,0.704,31.68,107.60,0.083,-0.1547,0.1353,8
0.80,40,-0.0116,-0.0318,0.0202,0.0886,-1.4650,0.0849,0.0849,-0.0288,-0.1136,127.378,0.656,0.0051,0.1674,0.8485,left_thigh,0.8447,0.0437,0,0.000,0.000,0.000,0.741,0.845,0.340,0.284,0.713,32.08,107.45,0.081,-0.1547,0.1353,8
0.80,45,-0.0069,-0.0318,0.0249,0.0990,-1.6852,0.1042,0.1042,-0.0220,-0.1262,141.419,0.876,0.0062,0.1648,0.8481,left_thigh,0.8444,0.0584,0,0.000,0.000,0.000,0.740,0.844,0.337,0.282,0.723,32.54,107.29,0.080,-0.1547,0.1353,8
0.80,50,-0.0017,-0.0318,0.0301,0.1072,-1.8872,0.1228,0.1053,-0.0158,-0.1211,135.691,0.994,0.0073,0.1624,0.8478,left_thigh,0.8441,0.0662,0,0.000,0.000,0.000,0.739,0.844,0.334,0.281,0.734,33.05,107.14,0.079,-0.1547,0.1353,8
0.80,55,0.0038,-0.0318,0.0356,0.1145,-2.0868,0.1415,0.1053,-0.0106,-0.1159,129.876,1.044,0.0080,0.1603,0.8476,left_thigh,0.8439,0.0696,0,0.000,0.000,0.000,0.738,0.844,0.332,0.280,0.747,33.60,107.02,0.079,-0.1547,0.1353,8
0.80,60,0.0098,-0.0318,0.0416,0.1221,-2.2971,0.1612,0.1053,-0.0060,-0.1113,124.767,1.015,0.0081,0.1586,0.8476,left_thigh,0.8439,0.0677,0,0.000,0.000,0.000,0.737,0.844,0.331,0.279,0.760,34.19,106.92,0.080,-0.1547,0.1353,8
0.80,65,0.0161,-0.0318,0.0479,0.1309,-2.5291,0.1826,0.1053,-0.0018,-0.1071,120.040,0.918,0.0076,0.1573,0.8477,left_thigh,0.8440,0.0612,0,0.000,0.000,0.000,0.737,0.844,0.331,0.279,0.774,34.81,106.84,0.081,-0.1547,0.1353,8
0.80,70,0.0229,-0.0318,0.0547,0.1413,-2.7907,0.2064,0.1053,0.0025,-0.1028,115.263,0.773,0.0067,0.1561,0.8480,left_thigh,0.8443,0.0515,0,0.000,0.000,0.000,0.736,0.844,0.332,0.280,0.789,35.48,106.77,0.084,-0.1547,0.1353,8
0.80,75,0.0303,-0.0318,0.0622,0.1536,-3.0866,0.2328,0.1053,0.0071,-0.0982,110.036,0.601,0.0055,0.1549,0.8484,left_thigh,0.8446,0.0401,0,0.000,0.000,0.000,0.736,0.845,0.333,0.280,0.805,36.21,106.71,0.088,-0.1547,0.1353,8
0.80,80,0.0384,-0.0318,0.0702,0.1679,-3.4188,0.2621,0.1053,0.0125,-0.0928,104.039,0.424,0.0041,0.1537,0.8488,left_thigh,0.8449,0.0283,0,0.000,0.000,0.000,0.735,0.845,0.335,0.281,0.822,37.01,106.63,0.093,-0.1547,0.1353,8
0.80,85,0.0473,-0.0318,0.0791,0.1838,-3.7875,0.2943,0.1053,0.0187,-0.0866,97.037,0.256,0.0026,0.1533,0.8492,left_thigh,0.8453,0.0171,0,0.000,0.000,0.000,0.735,0.845,0.337,0.282,0.842,37.88,106.55,0.099,-0.1547,0.1353,8
0.80,90,0.0569,-0.0318,0.0888,0.2014,-4.1920,0.3294,0.1053,0.0260,-0.0793,88.874,0.107,0.0012,0.1549,0.8496,left_thigh,0.8457,0.0071,0,0.000,0.000,0.000,0.734,0.846,0.339,0.283,0.863,38.84,106.45,0.106,-0.1547,0.1353,8
0.80,95,0.0675,-0.0318,0.0994,0.2203,-4.6313,0.3673,0.1053,0.0344,-0.0709,79.441,0.000,0.0000,0.1565,0.8501,left_thigh,0.8461,0.0000,0,0.000,0.000,0.000,0.733,0.846,0.341,0.284,0.887,39.89,106.33,0.113,-0.1547,0.1353,8
0.80,100,0.0791,-0.0318,0.1109,0.2403,-5.1024,0.4077,0.1053,0.0446,-0.0607,67.986,0.000,0.0000,0.1580,0.8505,left_thigh,0.8465,0.0000,0,0.000,0.000,0.000,0.732,0.846,0.343,0.285,0.912,41.04,106.20,0.122,-0.1547,0.1353,8
0.80,105,0.0917,-0.0318,0.1235,0.2608,-5.5995,0.4503,0.1053,0.0560,-0.0493,55.234,0.000,0.0000,0.1597,0.8509,left_thigh,0.8469,0.0000,0,0.000,0.000,0.000,0.731,0.847,0.345,0.286,0.940,42.29,106.04,0.132,-0.1547,0.1353,8
0.80,110,0.1053,-0.0318,0.1372,0.2818,-6.1239,0.4949,0.1053,0.0681,-0.0372,41.644,0.000,0.0000,0.1613,0.8514,left_thigh,0.8473,0.0000,0,0.000,0.000,0.000,0.730,0.847,0.347,0.287,0.970,43.64,105.86,0.143,-0.1547,0.1353,8
0.80,115,0.1200,-0.0318,0.1518,0.3038,-6.6822,0.5419,0.1053,0.0812,-0.0240,26.944,0.000,0.0000,0.1631,0.8520,left_thigh,0.8478,0.0000,0,0.000,0.000,0.000,0.729,0.848,0.350,0.288,1.000,45.12,105.67,0.154,-0.1547,0.1353,8
0.80,120,0.1358,-0.0318,0.1676,0.3222,-7.2196,0.5878,0.1053,0.1353,0.0300,-33.628,0.000,0.0000,0.1674,0.8530,left_thigh,0.8497,0.0000,0,0.000,0.000,0.000,0.729,0.850,0.357,0.291,1.000,46.25,105.64,0.135,-0.1547,0.1353,8
0.80,125,0.1517,-0.0317,0.1834,0.3160,-7.4561,0.6161,0.1054,0.1353,0.0300,-33.589,0.000,0.0000,0.1765,0.8561,left_thigh,0.8527,0.0000,0,0.000,0.000,0.000,0.729,0.853,0.368,0.297,1.000,46.19,105.69,0.134,-0.1547,0.1354,8
0.80,130,0.1679,-0.0318,0.1997,0.3330,-7.9804,0.6633,0.1052,0.1352,0.0300,-33.583,0.000,0.0000,0.1842,0.8580,left_thigh,0.8544,0.0000,0,0.000,0.000,0.000,0.727,0.854,0.378,0.302,1.000,46.23,105.46,0.134,-0.1547,0.1352,8
0.80,135,0.1854,0.1130,0.0724,0.3646,-5.8115,0.5449,0.1351,0.1351,0.0000,-0.008,0.000,0.0000,0.1899,0.8589,left_thigh,0.8554,0.0000,0,0.000,0.000,0.000,0.726,0.855,0.384,0.305,1.000,46.28,105.29,0.133,0.1350,0.1351,4
0.80,140,0.2048,0.0209,0.1839,0.4076,-8.5576,0.7323,0.1048,0.1347,0.0299,-33.522,0.000,0.0000,0.1932,0.8591,left_thigh,0.8558,0.0000,0,0.000,0.000,0.000,0.726,0.856,0.388,0.306,1.000,46.36,105.20,0.131,-0.0488,0.1348,8
0.80,145,0.2268,0.1127,0.1141,0.4638,-7.8392,0.7078,0.1348,0.1348,0.0000,0.009,0.000,0.0000,0.1945,0.8586,left_thigh,0.8557,0.0000,0,0.000,0.000,0.000,0.725,0.856,0.389,0.305,1.000,46.43,105.17,0.129,0.1347,0.1349,4
0.80,150,0.2519,0.1124,0.1394,0.5324,-9.1718,0.8114,0.1346,0.1346,0.0000,0.012,0.000,0.0000,0.1935,0.8574,left_thigh,0.8548,0.0000,0,0.000,0.000,0.000,0.725,0.855,0.387,0.303,1.000,46.56,105.14,0.126,0.1342,0.1349,4
0.80,155,0.2809,0.0715,0.2093,0.6149,-11.5618,0.9803,0.1050,0.1343,0.0293,-32.879,0.000,0.0000,0.1905,0.8555,left_thigh,0.8534,0.0000,0,0.000,0.000,0.000,0.725,0.853,0.383,0.299,1.000,46.73,105.09,0.123,0.0523,0.1350,8
0.80,160,0.3144,0.1120,0.2025,0.7127,-12.6007,1.0673,0.1343,0.1342,-0.0001,0.132,0.000,0.0000,0.1858,0.8530,left_thigh,0.8514,0.0000,0,0.000,0.000,0.000,0.724,0.851,0.376,0.293,1.000,46.91,105.01,0.118,0.1330,0.1351,4
0.80,165,0.3533,0.0866,0.2667,0.8252,-15.2346,1.2468,0.1141,0.1339,0.0198,-22.194,-0.030,0.0013,0.1790,0.8496,left_thigh,0.8488,0.0020,0,0.000,0.000,0.000,0.723,0.849,0.367,0.287,1.000,47.06,104.88,0.115,0.0820,0.1355,8
0.80,170,0.3982,0.1114,0.2868,0.9504,-17.1395,1.3759,0.1340,0.1339,0.0000,0.048,0.001,0.0125,0.1696,0.8462,left_thigh,0.8455,0.0000,0,0.000,0.000,0.000,0.722,0.845,0.354,0.279,1.000,47.33,104.69,0.112,0.1312,0.1358,4
0.80,175,0.4496,0.0958,0.3538,1.0840,-20.0819,1.5487,0.1215,0.1342,0.0127,-14.228,-0.371,0.0261,0.1570,0.8422,left_thigh,0.8413,0.0247,0,0.000,0.000,0.000,0.720,0.841,0.337,0.269,1.000,47.51,104.43,0.106,0.0995,0.1363,8
0.80,180,0.5077,0.1102,0.3975,1.2159,-22.5350,1.6671,0.1331,0.1351,0.0020,-2.253,-0.096,0.0428,0.1399,0.8372,left_thigh,0.8360,0.0064,0,0.000,0.000,0.000,0.718,0.836,0.314,0.257,1.000,47.54,104.06,0.109,0.1280,0.1365,4
0.80,185,0.5719,0.1000,0.4718,1.3292,-25.3753,1.7615,0.1249,0.1354,0.0105,-11.823,-0.757,0.0640,0.1165,0.8308,left_thigh,0.8293,0.0505,0,0.000,0.000,0.000,0.714,0.829,0.282,0.243,1.000,47.28,103.50,0.109,0.1083,0.1359,8
0.80,190,0.6408,0.1203,0.5205,1.4099,-27.3112,1.7519,0.1456,0.1345,-0.0111,12.436,1.123,0.0903,0.0865,0.8229,left_thigh,0.8211,0.0748,0,0.000,0.000,0.000,0.708,0.821,0.243,0.225,1.000,46.30,102.70,0.120,0.1264,0.1583,8
0.80,195,0.7128,0.1273,0.5855,1.4651,-29.2689,1.6664,0.1540,0.1310,-0.0229,25.704,3.070,0.1194,0.0644,0.8142,left_thigh,0.8129,0.2047,0,0.000,0.000,0.000,0.706,0.813,0.180,0.184,0.979,44.06,102.31,0.141,0.1264,0.1723,8
0.80,200,0.7504,0.1024,0.6480,0.5144,-19.1213,1.3388,0.1272,0.1245,-0.0027,-4.653,-0.786,0.1690,0.0900,0.7993,left_thigh,0.7963,0.0524,0,0.000,0.000,0.000,0.710,0.796,0.049,0.105,0.855,38.47,102.91,0.054,0.1110,0.1379,6
0.80,205,0.7737,0.0859,0.6879,0.4263,-18.8627,1.3383,0.1091,0.1080,-0.0012,-12.835,-2.493,0.1942,0.0835,0.7917,left_thigh,0.7910,0.1662,0,0.000,0.000,0.000,0.701,0.791,0.032,0.110,0.789,35.52,101.70,0.058,0.1020,0.1139,4
0.80,210,0.7849,0.0859,0.6879,0.0633,-18.8627,1.3383,0.1091,0.1080,-0.0012,-12.835,0.000,0.1942,0.1054,0.7902,left_thigh,0.7899,0.1662,0,0.000,0.000,0.000,0.698,0.790,0.006,0.080,0.713,32.06,101.28,0.053,0.7849,0.7849,0
0.80,215,0.7831,0.0859,0.6879,0.0861,-18.8627,1.3383,0.1091,0.1080,-0.0012,-12.835,0.000,0.1942,0.0994,0.7901,left_thigh,0.7906,0.1662,0,0.000,0.000,0.000,0.693,0.791,0.019,0.092,0.660,29.69,100.45,0.037,0.7831,0.7831,0
0.80,220,0.7769,0.0859,0.6879,0.1306,-18.8627,1.3383,0.1091,0.1080,-0.0012,-12.835,0.000,0.1942,0.0812,0.7931,left_thigh,0.7937,0.1662,0,0.000,0.000,0.000,0.687,0.794,0.044,0.100,0.604,27.19,99.61,0.032,0.7769,0.7769,0
0.80,225,0.7715,0.0859,0.6879,0.0885,-18.8627,1.3383,0.1091,0.1080,-0.0012,-12.835,0.000,0.1942,0.0736,0.7972,left_thigh,0.7964,0.1662,0,0.000,0.000,0.000,0.682,0.796,0.067,0.108,0.565,25.42,98.93,0.034,0.7715,0.7715,0
0.80,230,0.7687,0.0859,0.6879,0.0319,-18.8627,1.3383,0.1091,0.1080,-0.0012,-12.835,0.000,0.1942,0.0708,0.7996,left_thigh,0.7977,0.1662,0,0.000,0.000,0.000,0.679,0.798,0.078,0.110,0.540,24.29,98.52,0.037,0.7687,0.7687,0
0.80,235,0.7684,0.0367,0.7317,0.0096,-14.7222,1.2007,0.0589,0.0588,0.0000,-22.923,-3.781,0.1649,0.0708,0.8005,left_thigh,0.7977,0.2521,0,0.000,0.000,0.000,0.679,0.798,0.081,0.110,0.540,24.32,98.39,0.039,0.0586,0.0591,3
0.80,240,0.7692,0.0328,0.7364,0.0183,-14.9413,1.2079,0.0557,0.0549,-0.0008,-23.944,-3.959,0.1653,0.0719,0.8004,left_thigh,0.7971,0.2639,0,0.000,0.000,0.000,0.679,0.797,0.078,0.108,0.566,25.45,98.39,0.040,0.0507,0.0591,6
0.80,245,0.7699,0.0536,0.7163,0.0115,-14.4643,1.1946,0.0795,0.0757,-0.0038,-17.387,-2.865,0.1648,0.0730,0.8006,left_thigh,0.7965,0.1910,0,0.000,0.000,0.000,0.679,0.797,0.074,0.107,0.581,26.15,98.43,0.040,0.0565,0.0949,5
0.80,249,0.7702,0.0536,0.7166,0.0084,-14.4169,1.1936,0.0795,0.0757,-0.0038,-17.457,-2.901,0.1662,0.0736,0.8001,left_thigh,0.7962,0.1934,0,0.000,0.000,0.000,0.679,0.796,0.074,0.107,0.582,26.20,98.46,0.039,0.0565,0.0949,5
0.90,0,-0.1236,-0.1172,-0.0064,0.0221,0.3933,-0.1491,-0.1247,-0.1178,0.0069,-7.771,0.000,0.0000,0.1168,0.8614,left_thigh,0.8622,0.0000,0,0.000,0.000,0.000,0.772,0.862,0.291,0.261,0.489,22.01,111.87,0.062,-0.1547,0.1353,8
0.90,5,-0.1246,-0.1172,-0.0074,0.0187,0.3715,-0.1484,-0.1247,-0.1219,0.0028,-3.168,0.000,0.0000,0.1152,0.8739,left_thigh,0.8752,0.0000,0,0.000,0.000,0.000,0.781,0.875,0.286,0.258,0.488,21.95,113.32,0.065,-0.1547,0.1353,8
0.90,10,-0.1256,-0.1172,-0.0084,0.0207,0.4144,-0.1517,-0.1247,-0.1196,0.0051,-5.734,0.000,0.0000,0.1409,0.8841,left_thigh,0.8848,0.0000,0,0.000,0.000,0.000,0.791,0.885,0.288,0.259,0.486,21.85,114.76,0.073,-0.1547,0.1353,8
0.90,15,-0.1268,-0.1172,-0.0096,0.0280,0.5272,-0.1597,-0.1247,-0.1203,0.0044,-4.939,0.000,0.0000,0.1622,0.8911,left_thigh,0.8913,0.0000,0,0.000,0.000,0.000,0.799,0.891,0.292,0.261,0.483,21.72,115.91,0.075,-0.1547,0.1353,8
0.90,20,-0.1284,-0.1172,-0.0112,0.0353,0.6479,-0.1685,-0.1247,-0.1224,0.0023,-2.562,0.000,0.0000,0.1764,0.8957,left_thigh,0.8954,0.0000,0,0.000,0.000,0.000,0.804,0.895,0.295,0.262,0.479,21.54,116.64,0.075,-0.1547,0.1353,8
0.90,25,-0.1304,-0.1172,-0.0132,0.0411,0.7551,-0.1769,-0.1247,-0.1250,-0.0003,0.303,0.000,0.0000,0.1839,0.8982,left_thigh,0.8976,0.0000,0,0.000,0.000,0.000,0.807,0.898,0.296,0.263,0.474,21.32,117.00,0.073,-0.1547,0.1353,8
0.90,30,-0.1325,-0.1172,-0.0153,0.0451,0.8466,-0.1846,-0.1247,-0.1276,-0.0029,3.196,0.000,0.0000,0.1865,0.8992,left_thigh,0.8985,0.0000,0,0.000,0.000,0.000,0.808,0.899,0.294,0.262,0.469,21.09,117.11,0.071,-0.1547,0.1353,8
0.90,35,-0.1349,-0.1172,-0.0177,0.0481,0.9281,-0.1919,-0.1247,-0.1300,-0.0053,5.930,0.000,0.0000,0.1861,0.8994,left_thigh,0.8986,0.0000,0,0.000,0.000,0.000,0.807,0.899,0.291,0.261,0.464,20.86,117.07,0.069,-0.1547,0.1353,8
0.90,40,-0.1373,-0.1172,-0.0201,0.0507,1.0070,-0.1993,-0.1247,-0.1323,-0.0076,8.473,0.000,0.0000,0.1845,0.8990,left_thigh,0.8983,0.0000,0,0.000,0.000,0.000,0.807,0.898,0.288,0.259,0.458,20.63,116.97,0.068,-0.1547,0.1353,8
0.90,45,-0.1399,-0.1172,-0.0227,0.0533,1.0893,-0.2070,-0.1247,-0.1344,-0.0097,10.890,0.000,0.0000,0.1828,0.8984,left_thigh,0.8979,0.0000,0,0.000,0.000,0.000,0.806,0.898,0.284,0.257,0.453,20.39,116.88,0.068,-0.1547,0.1353,8
0.90,50,-0.1426,-0.1172,-0.0254,0.0564,1.1793,-0.2154,-0.1247,-0.1366,-0.0119,13.292,0.000,0.0000,0.1816,0.8978,left_thigh,0.8974,0.0000,0,0.000,0.000,0.000,0.806,0.897,0.280,0.255,0.448,20.14,116.81,0.068,-0.1547,0.1353,8
0.90,55,-0.1455,-0.1172,-0.0283,0.0600,1.2789,-0.2244,-0.1247,-0.1388,-0.0141,15.789,0.000,0.0000,0.1810,0.8972,left_thigh,0.8970,0.0000,0,0.000,0.000,0.000,0.805,0.897,0.277,0.253,0.442,19.87,116.79,0.068,-0.1547,0.1353,8
0.90,60,-0.1486,-0.1172,-0.0314,0.0641,1.3888,-0.2343,-0.1247,-0.1412,-0.0165,18.468,0.000,0.0000,0.1810,0.8967,left_thigh,0.8967,0.0000,0,0.000,0.000,0.000,0.805,0.897,0.275,0.252,0.435,19.58,116.79,0.069,-0.1547,0.1353,8
0.90,65,-0.1519,-0.1172,-0.0347,0.0687,1.5091,-0.2450,-0.1247,-0.1438,-0.0191,21.383,0.000,0.0000,0.1814,0.8965,left_thigh,0.8964,0.0000,0,0.000,0.000,0.000,0.806,0.896,0.273,0.251,0.428,19.26,116.82,0.069,-0.1547,0.1353,8
0.90,70,-0.1554,-0.1172,-0.0382,0.0737,1.6395,-0.2565,-0.1247,-0.1466,-0.0219,24.565,0.000,0.0000,0.1821,0.8963,left_thigh,0.8962,0.0000,0,0.000,0.000,0.000,0.806,0.896,0.271,0.250,0.420,18.91,116.86,0.069,-0.1547,0.1353,8
0.90,75,-0.1592,-0.1172,-0.0420,0.0791,1.7801,-0.2689,-0.1247,-0.1497,-0.0250,28.028,0.000,0.0000,0.1829,0.8961,left_thigh,0.8961,0.0000,0,0.000,0.000,0.000,0.806,0.896,0.270,0.249,0.412,18.53,116.91,0.070,-0.1547,0.1353,8
0.90,80,-0.1633,-0.1172,-0.0461,0.0849,1.9311,-0.2822,-0.1247,-0.1525,-0.0278,31.137,0.000,0.0000,0.1837,0.8959,left_thigh,0.8959,0.0000,0,0.000,0.000,0.000,0.807,0.896,0.268,0.249,0.403,18.12,116.96,0.070,-0.1547,0.1353,8
0.90,85,-0.1677,-0.1172,-0.0505,0.0921,2.1047,-0.2971,-0.1247,-0.1543,-0.0296,33.206,0.000,0.0000,0.1845,0.8957,left_thigh,0.8956,0.0000,0,0.000,0.000,0.000,0.807,0.896,0.267,0.248,0.393,17.68,117.00,0.070,-0.1547,0.1353,8
0.90,90,-0.1725,-0.1172,-0.0553,0.1017,2.3167,-0.3149,-0.1247,-0.1547,-0.0300,33.628,0.000,0.0000,0.1852,0.8954,left_thigh,0.8953,0.0000,0,0.000,0.000,0.000,0.807,0.895,0.265,0.247,0.386,17.36,117.05,0.071,-0.1547,0.1353,8
0.90,95,-0.1780,-0.1172,-0.0607,0.1153,2.5904,-0.3370,-0.1248,-0.1547,-0.0300,33.586,0.000,0.0000,0.1867,0.8952,left_thigh,0.8952,0.0000,0,0.000,0.000,0.000,0.808,0.895,0.264,0.247,0.383,17.25,117.13,0.072,-0.1548,0.1353,8
