tick,joint,actual_x_deg,applied_target_x_deg,nominal_x_deg,tracking_err_deg,command_offset_deg,reference_dev_deg,limit_proximity,demand,solver_torque_nm,max_force_nm
320,right_foot,-35.75,-26.63,-26.63,9.13,0.46,9.15,0.794,0.057,6.8,2137.5
320,left_shank,116.62,111.34,111.34,5.27,0.00,5.27,0.804,0.025,2.8,2565.0
320,right_shank,117.18,111.34,111.34,5.84,0.00,5.84,0.808,0.027,5.2,2565.0
320,left_thigh,-110.64,-108.54,-108.54,2.15,0.23,2.16,0.922,0.015,0.0,2565.0
320,right_thigh,-111.49,-108.54,-108.54,3.00,0.23,2.99,0.929,0.019,0.0,2565.0
320,abdomen,18.63,6.40,6.40,12.23,0.00,12.23,0.414,0.090,0.1,1852.5
320,thorax,15.80,9.60,9.60,6.20,0.00,6.20,0.316,0.049,0.0,1852.5
322,left_foot,-36.60,-26.69,-26.69,9.91,0.46,9.93,0.813,0.061,5.8,2137.5
322,right_foot,-36.30,-26.69,-26.69,9.61,0.46,9.63,0.807,0.060,6.7,2137.5
322,left_shank,117.04,111.79,111.79,5.25,0.00,5.25,0.807,0.025,2.8,2565.0
322,right_shank,117.60,111.79,111.79,5.81,0.00,5.81,0.811,0.027,5.1,2565.0
322,left_thigh,-111.10,-108.95,-108.95,2.19,0.23,2.19,0.926,0.016,0.0,2565.0
322,right_thigh,-111.95,-108.95,-108.95,3.04,0.23,3.03,0.933,0.020,0.0,2565.0
322,abdomen,18.63,6.40,6.40,12.24,0.00,12.23,0.414,0.091,0.1,1852.5
322,thorax,15.80,9.60,9.60,6.21,0.00,6.20,0.316,0.050,0.0,1852.5
324,left_foot,-37.18,-26.75,-26.75,10.43,0.45,10.44,0.826,0.064,5.7,2137.5
324,right_foot,-36.87,-26.75,-26.75,10.12,0.45,10.13,0.819,0.063,6.6,2137.5
324,left_shank,117.47,112.23,112.23,5.24,0.00,5.24,0.810,0.025,2.7,2565.0
324,right_shank,118.02,112.23,112.23,5.79,0.00,5.79,0.814,0.027,5.1,2565.0
324,left_thigh,-111.55,-109.36,-109.36,2.24,0.23,2.24,0.930,0.016,0.0,2565.0
324,right_thigh,-112.41,-109.36,-109.36,3.09,0.23,3.08,0.937,0.020,0.0,2565.0
324,abdomen,18.65,6.40,6.40,12.25,0.00,12.25,0.414,0.092,0.1,1852.5
324,thorax,15.81,9.60,9.60,6.22,0.00,6.22,0.316,0.050,0.0,1852.5
326,left_foot,-37.78,-26.81,-26.81,10.97,0.45,10.98,0.839,0.068,5.6,2137.5
326,right_foot,-37.46,-26.81,-26.81,10.65,0.44,10.66,0.832,0.067,6.4,2137.5
326,left_shank,117.89,112.66,112.66,5.23,0.00,5.23,0.813,0.025,2.6,2565.0
326,right_shank,118.44,112.66,112.66,5.77,0.00,5.77,0.817,0.027,5.0,2565.0
326,left_thigh,-112.01,-109.76,-109.76,2.29,0.22,2.29,0.933,0.017,0.0,2565.0
326,right_thigh,-112.87,-109.76,-109.76,3.15,0.22,3.14,0.941,0.021,0.0,2565.0
326,abdomen,18.67,6.40,6.40,12.28,0.00,12.28,0.415,0.092,0.1,1852.5
326,thorax,15.83,9.59,9.59,6.24,0.00,6.24,0.317,0.050,0.0,1852.5
328,left_foot,-38.40,-26.87,-26.87,11.53,0.44,11.54,0.853,0.071,5.5,2137.5
328,right_foot,-38.07,-26.87,-26.87,11.20,0.44,11.22,0.846,0.070,6.3,2137.5
328,left_shank,118.31,113.09,113.09,5.22,0.00,5.22,0.816,0.025,2.6,2565.0
328,right_shank,118.85,113.09,113.09,5.76,0.00,5.76,0.820,0.027,4.9,2565.0
328,left_thigh,-112.48,-110.16,-110.16,2.36,0.22,2.36,0.937,0.017,0.0,2565.0
328,right_thigh,-113.34,-110.16,-110.16,3.22,0.22,3.21,0.944,0.022,0.0,2565.0
328,abdomen,18.71,6.40,6.40,12.31,0.00,12.31,0.416,0.093,0.1,1852.5
328,thorax,15.85,9.59,9.59,6.26,0.00,6.26,0.317,0.051,0.0,1852.5
330,left_foot,-39.06,-26.93,-26.93,12.13,0.43,12.14,0.868,0.075,5.8,2137.5
330,right_foot,-38.81,-26.93,-26.93,11.88,0.44,11.89,0.862,0.080,6.4,2137.5
330,left_shank,118.72,113.51,113.51,5.20,0.00,5.20,0.819,0.025,4.5,2565.0
330,right_shank,119.26,113.51,113.51,5.75,0.00,5.75,0.823,0.028,6.9,2565.0
330,left_thigh,-112.93,-110.55,-110.55,2.43,0.22,2.42,0.941,0.018,0.0,2565.0
330,right_thigh,-113.72,-110.55,-110.55,3.21,0.22,3.20,0.948,0.017,0.0,2565.0
330,abdomen,18.71,6.40,6.40,12.32,0.00,12.32,0.416,0.091,0.0,1852.5
330,thorax,15.90,9.59,9.59,6.32,0.00,6.31,0.318,0.054,0.0,1852.5
332,left_foot,-39.76,-27.00,-27.00,12.76,0.44,12.77,0.883,0.080,6.8,2137.5
332,right_foot,-39.77,-27.00,-27.00,12.77,0.44,12.79,0.884,0.087,7.1,2137.5
332,left_shank,119.13,114.00,114.00,5.13,0.00,5.13,0.822,0.025,6.8,2565.0
332,right_shank,119.71,114.00,114.00,5.71,0.00,5.71,0.826,0.029,9.3,2565.0
332,left_thigh,-113.36,-111.00,-111.00,2.40,0.22,2.40,0.945,0.017,0.0,2565.0
332,right_thigh,-113.95,-111.00,-111.00,2.99,0.22,2.98,0.950,0.014,0.0,2565.0
332,abdomen,18.59,6.40,6.40,12.20,0.00,12.20,0.413,0.087,0.0,1852.5
332,thorax,15.99,9.59,9.59,6.40,0.00,6.40,0.320,0.053,0.0,1852.5
334,left_foot,-40.57,-27.00,-27.00,13.57,0.47,13.59,0.902,0.091,7.8,2137.5
334,right_foot,-40.77,-27.00,-27.00,13.77,0.47,13.79,0.906,0.096,7.7,2137.5
334,left_shank,119.61,114.00,114.00,5.61,0.00,5.61,0.825,0.041,7.5,2565.0
334,right_shank,120.23,114.00,114.00,6.23,0.00,6.23,0.829,0.046,8.9,2565.0
334,left_thigh,-113.83,-111.00,-111.00,2.87,0.23,2.87,0.949,0.033,0.0,2565.0
334,right_thigh,-114.27,-111.00,-111.00,3.31,0.23,3.31,0.952,0.032,0.0,2565.0
334,abdomen,18.31,6.40,6.40,11.92,0.00,11.92,0.407,0.077,0.0,1852.5
334,thorax,16.07,9.59,9.59,6.48,0.00,6.48,0.321,0.054,0.0,1852.5
336,left_foot,-41.58,-27.00,-27.00,14.58,0.49,14.59,0.924,0.101,7.0,2137.5
