tick,sq,state,failure_reason,com_ap,com_vel_ap,capture_ap,sup_ap_min,sup_ap_max,cop_ap,has_cop,contacts,slip_mps,pelvis_y,trunk_pitch_deg,sad_attached,sad_sep_m,sad_force_n,sad_torque_nm,sad_dev_x_deg,sad_dev_y_deg,sad_dev_z_deg,bar_d_ap_m,bar_d_up_m,bar_d_lat_m,max_demand,max_demand_joint,max_torque_ratio,max_torque_joint,chain_demand,chain_demand_joint,chain_track_err_deg,chain_track_joint,chain_limit_prox,chain_limit_joint,chain_cmd_offset_deg,chain_cmd_joint,posture_err_rad,posture_worst_joint,max_omega,max_speed
0,0.0030,DESCENT,NONE,-0.0466,-0.0095,-0.0498,-0.1547,0.1353,-0.0610,1,8,0.0039,0.9728,-5.44,1,0.0089,0.0,0.0,0.57,0.96,0.31,-0.0413,-0.0687,-0.0001,0.579,left_hand,0.075,left_upper_arm,0.063,abdomen,8.06,abdomen,0.228,abdomen,1.74,left_foot,0.1396,abdomen,6.39,0.28
1,0.0060,DESCENT,NONE,-0.0467,-0.0088,-0.0497,-0.1547,0.1353,-0.0568,1,8,0.0025,0.9730,-5.51,1,0.0086,0.0,0.0,0.56,0.89,0.32,-0.0410,-0.0686,-0.0001,0.636,left_hand,0.076,left_upper_arm,0.061,abdomen,8.09,abdomen,0.228,abdomen,0.90,left_foot,0.1408,abdomen,6.40,0.28
2,0.0090,DESCENT,NONE,-0.0468,-0.0095,-0.0500,-0.1547,0.1353,-0.0573,1,8,0.0022,0.9731,-5.58,1,0.0082,0.0,0.0,0.50,0.85,0.31,-0.0407,-0.0684,-0.0001,0.672,left_hand,0.076,left_upper_arm,0.063,abdomen,8.15,abdomen,0.228,abdomen,1.12,left_foot,0.1413,abdomen,6.23,0.29
3,0.0120,DESCENT,NONE,-0.0469,-0.0086,-0.0498,-0.1547,0.1353,-0.0555,1,8,0.0019,0.9732,-5.63,1,0.0079,0.0,0.0,0.45,0.81,0.28,-0.0403,-0.0682,-0.0001,0.415,left_hand,0.076,left_upper_arm,0.064,abdomen,8.22,abdomen,0.229,abdomen,0.37,left_foot,0.1423,abdomen,6.16,0.33
4,0.0150,DESCENT,NONE,-0.0470,-0.0073,-0.0494,-0.1547,0.1353,-0.0597,1,8,0.0019,0.9733,-5.67,1,0.0075,0.0,0.0,0.41,0.79,0.25,-0.0400,-0.0680,-0.0002,0.389,left_hand,0.076,left_upper_arm,0.065,abdomen,8.28,abdomen,0.230,abdomen,2.10,left_foot,0.1435,abdomen,5.65,0.30
5,0.0180,DESCENT,NONE,-0.0470,-0.0060,-0.0490,-0.1547,0.1353,-0.0526,1,8,0.0014,0.9734,-5.69,1,0.0073,0.0,0.0,0.38,0.77,0.21,-0.0398,-0.0678,-0.0002,0.318,left_hand,0.077,left_upper_arm,0.065,abdomen,8.35,abdomen,0.230,abdomen,0.38,left_foot,0.1447,abdomen,5.19,0.28
6,0.0210,DESCENT,NONE,-0.0471,-0.0050,-0.0488,-0.1547,0.1353,-0.0576,1,8,0.0016,0.9734,-5.71,1,0.0070,0.0,0.0,0.34,0.75,0.18,-0.0396,-0.0677,-0.0002,0.287,left_hand,0.076,left_upper_arm,0.066,abdomen,8.42,abdomen,0.231,abdomen,2.48,left_foot,0.1459,abdomen,4.81,0.26
7,0.0240,DESCENT,NONE,-0.0471,-0.0042,-0.0485,-0.1547,0.1353,-0.0505,1,8,0.0013,0.9734,-5.71,1,0.0068,0.0,0.0,0.31,0.73,0.14,-0.0394,-0.0676,-0.0002,0.262,left_hand,0.076,left_upper_arm,0.066,abdomen,8.48,abdomen,0.231,abdomen,0.41,left_foot,0.1470,abdomen,4.44,0.24
8,0.0270,DESCENT,NONE,-0.0471,-0.0037,-0.0484,-0.1547,0.1353,-0.0555,1,8,0.0016,0.9734,-5.71,1,0.0066,0.0,0.0,0.29,0.71,0.11,-0.0392,-0.0674,-0.0003,0.240,left_hand,0.076,left_upper_arm,0.066,abdomen,8.55,abdomen,0.232,abdomen,2.39,left_foot,0.1482,abdomen,4.10,0.22
9,0.0300,DESCENT,NONE,-0.0472,-0.0033,-0.0483,-0.1547,0.1353,-0.0486,1,8,0.0014,0.9734,-5.69,1,0.0065,0.0,0.0,0.26,0.70,0.07,-0.0391,-0.0674,-0.0003,0.219,left_hand,0.076,left_upper_arm,0.067,abdomen,8.61,abdomen,0.232,abdomen,0.24,left_foot,0.1493,abdomen,3.78,0.21
