body_a,body_b,first_tick,last_tick,tick_count,max_normal_impulse,total_normal_impulse,point_x,point_y,point_z,normal_x,normal_y,normal_z
left_hand,thorax,22,999,1956,2.368,4606.042,-0.0857,1.2972,0.0835,0.004,-0.141,-0.990
right_hand,thorax,22,999,1956,1.610,3008.621,0.1102,1.2956,0.0840,0.006,-0.136,-0.991
