tick,hip_left_deg,hip_right_deg,physx_contact,physx_impulse,left_overlap,left_penetration_m,left_surface_gap_m,right_overlap,right_penetration_m,right_surface_gap_m,contact_offset_sum_m,hip_track_err_deg
31,3.95,4.04,0,0.000,0,0.00000,0.06920,0,0.00000,0.07119,0.0200,6.88
32,4.27,4.37,0,0.000,0,0.00000,0.06914,0,0.00000,0.07113,0.0200,6.92
33,4.60,4.70,0,0.000,0,0.00000,0.06905,0,0.00000,0.07104,0.0200,6.95
34,4.93,5.03,0,0.000,0,0.00000,0.06897,0,0.00000,0.07097,0.0200,6.98
35,5.27,5.37,0,0.000,0,0.00000,0.06887,0,0.00000,0.07088,0.0200,7.01
36,5.61,5.71,0,0.000,0,0.00000,0.06878,0,0.00000,0.07080,0.0200,7.02
37,5.96,6.06,0,0.000,0,0.00000,0.06868,0,0.00000,0.07069,0.0200,7.05
38,6.30,6.41,0,0.000,0,0.00000,0.06857,0,0.00000,0.07060,0.0200,7.06
39,6.66,6.77,0,0.000,0,0.00000,0.06845,0,0.00000,0.07047,0.0200,7.07
40,7.01,7.13,0,0.000,0,0.00000,0.06834,0,0.00000,0.07037,0.0200,7.08
41,7.37,7.49,0,0.000,0,0.00000,0.06820,0,0.00000,0.07023,0.0200,7.09
42,7.73,7.85,0,0.000,0,0.00000,0.06808,0,0.00000,0.07011,0.0200,7.09
43,8.10,8.22,0,0.000,0,0.00000,0.06793,0,0.00000,0.06996,0.0200,7.09
44,8.47,8.59,0,0.000,0,0.00000,0.06779,0,0.00000,0.06983,0.0200,7.09
45,8.83,8.96,0,0.000,0,0.00000,0.06763,0,0.00000,0.06966,0.0200,7.09
46,9.21,9.34,0,0.000,0,0.00000,0.06747,0,0.00000,0.06951,0.0200,7.08
47,9.58,9.71,0,0.000,0,0.00000,0.06730,0,0.00000,0.06933,0.0200,7.08
48,9.96,10.09,0,0.000,0,0.00000,0.06713,0,0.00000,0.06917,0.0200,7.07
49,10.33,10.47,0,0.000,0,0.00000,0.06694,0,0.00000,0.06898,0.0200,7.06
50,10.71,10.86,0,0.000,0,0.00000,0.06676,0,0.00000,0.06880,0.0200,7.05
51,11.09,11.24,0,0.000,0,0.00000,0.06655,0,0.00000,0.06859,0.0200,7.04
52,11.48,11.63,0,0.000,0,0.00000,0.06635,0,0.00000,0.06839,0.0200,7.03
53,11.86,12.02,0,0.000,0,0.00000,0.06614,0,0.00000,0.06817,0.0200,7.02
54,12.25,12.41,0,0.000,0,0.00000,0.06593,0,0.00000,0.06796,0.0200,7.00
55,12.63,12.80,0,0.000,0,0.00000,0.06569,0,0.00000,0.06772,0.0200,6.98
56,13.02,13.19,0,0.000,0,0.00000,0.06547,0,0.00000,0.06750,0.0200,6.96
57,13.41,13.58,0,0.000,0,0.00000,0.06522,0,0.00000,0.06724,0.0200,6.95
58,13.80,13.98,0,0.000,0,0.00000,0.06498,0,0.00000,0.06700,0.0200,6.93
59,14.19,14.37,0,0.000,0,0.00000,0.06472,0,0.00000,0.06674,0.0200,6.91
60,14.59,14.77,0,0.000,0,0.00000,0.06447,0,0.00000,0.06648,0.0200,6.89
61,14.98,15.17,0,0.000,0,0.00000,0.06420,0,0.00000,0.06620,0.0200,6.87
62,15.38,15.57,0,0.000,0,0.00000,0.06393,0,0.00000,0.06593,0.0200,6.84
63,15.77,15.96,0,0.000,0,0.00000,0.06364,0,0.00000,0.06563,0.0200,6.82
64,16.17,16.37,0,0.000,0,0.00000,0.06336,0,0.00000,0.06535,0.0200,6.79
65,16.57,16.76,0,0.000,0,0.00000,0.06306,0,0.00000,0.06503,0.0200,6.77
66,16.96,17.17,0,0.000,0,0.00000,0.06276,0,0.00000,0.06473,0.0200,6.74
67,17.36,17.57,0,0.000,0,0.00000,0.06245,0,0.00000,0.06441,0.0200,6.71
68,17.76,17.97,0,0.000,0,0.00000,0.06214,0,0.00000,0.06409,0.0200,6.68
69,18.16,18.37,0,0.000,0,0.00000,0.06181,0,0.00000,0.06375,0.0200,6.66
