load_kg,config,tick,sq,com_ap,com_speed,support_min,support_max,guard_scale,limit_prox,unexpected_consumed,raw_ankle_deg,applied_ankle_deg,raw_authority,hip_blend,pelvis_y,contacts
0,G0,370,1.0000,0.08491,0.25373,-0.15472,0.13528,0.0000,0.9589,0.4525,44.116,0.000,2.9410,0.0000,0.49433,8
0,G0,380,1.0000,0.10986,0.22650,-0.15467,0.13539,0.0000,0.9624,0.4986,-33.592,0.000,2.2395,0.0000,0.50329,8
0,G0,390,1.0000,0.13184,0.21870,-0.15456,0.13531,0.0000,0.9624,0.4992,-33.523,0.000,2.2349,0.0000,0.51622,8
0,G0,400,1.0000,0.15324,0.22229,0.13493,0.13518,0.0000,0.9616,0.4880,0.024,0.000,0.0016,0.0000,0.52767,4
0,G0,410,1.0000,0.17706,0.26184,0.13485,0.13498,0.0000,0.9605,0.4733,0.006,0.000,0.0004,0.0000,0.53797,4
0,G0,420,1.0000,0.20693,0.33754,0.03471,0.13506,0.0000,0.9601,0.4681,-33.273,0.000,2.2182,0.0000,0.54911,6
0,G0,430,1.0000,0.24709,0.46349,0.06461,0.13549,0.0000,0.9597,0.4626,-30.449,0.000,2.0299,0.0000,0.56091,6
0,G0,440,1.0000,0.30310,0.65071,0.08586,0.13638,0.0000,0.9576,0.4351,-19.991,0.000,1.3327,0.0000,0.57146,6
0,G0,450,1.0000,0.38127,0.89977,0.10015,0.13754,0.0000,0.9527,0.3697,-13.650,0.000,0.9100,0.0000,0.57354,6
0,G0,460,1.0000,0.48619,1.17234,0.10731,0.13746,0.0000,0.9433,0.2440,-12.845,0.000,0.8563,0.0000,0.54944,8
0,G0,470,1.0000,0.61310,1.21083,0.12457,0.16923,0.0000,0.9274,0.1135,22.585,0.000,1.5057,0.0000,0.47118,8
0,G0,480,1.0000,0.67467,0.42118,0.67467,0.67467,0.0000,0.9068,0.0918,-7.490,0.000,0.4993,0.0000,0.45916,0
0,G0,490,1.0000,0.68589,0.05820,0.68589,0.68589,0.0000,0.9039,0.0313,-7.490,0.000,0.4993,0.0000,0.45985,0
0,G0,500,1.0000,0.67393,0.11260,0.05717,0.09285,0.0000,0.9095,0.0000,-14.697,0.000,0.9798,0.0000,0.46258,8
0,G1,10,0.0300,-0.07654,0.07801,-0.15472,0.13528,0.9424,0.0663,0.0578,4.738,4.245,0.3159,0.0000,0.98003,8
0,G1,20,0.0600,-0.08394,0.07108,-0.15472,0.13528,0.4055,0.0689,0.0496,1.018,0.413,0.0678,0.0000,0.97903,8
0,G1,30,0.0900,-0.09060,0.06404,-0.15472,0.13528,0.4124,0.0627,0.0316,-4.869,-2.008,0.3246,0.0000,0.97671,8
0,G1,40,0.1200,-0.09645,0.05535,-0.15472,0.13528,0.7565,0.0617,0.0018,0.592,-0.562,0.0394,0.0000,0.97285,8
0,G1,50,0.1500,-0.10136,0.04601,-0.15472,0.13528,0.9913,0.0908,0.0000,2.339,-1.016,0.1559,0.0000,0.96730,8
0,G1,60,0.1800,-0.10530,0.03704,-0.15472,0.13528,1.0000,0.1215,0.0000,2.570,-1.016,0.1713,0.0000,0.96011,8
0,G1,70,0.2100,-0.10841,0.02931,-0.15472,0.13528,1.0000,0.1526,0.0000,3.225,-1.016,0.2150,0.0000,0.95131,8
0,G1,80,0.2400,-0.11085,0.02266,-0.15472,0.13528,1.0000,0.1836,0.0000,4.016,-1.016,0.2678,0.0000,0.94103,8
0,G1,90,0.2700,-0.11273,0.01734,-0.15472,0.13528,0.9009,0.2139,0.0000,3.811,-0.975,0.2541,0.0000,0.92969,8
0,G1,100,0.3000,-0.11423,0.01451,-0.15472,0.13528,0.5032,0.2424,0.0000,-2.818,-1.418,0.1879,0.0000,0.91761,8
0,G1,110,0.3300,-0.11560,0.01349,-0.15472,0.13528,0.4487,0.2755,0.0137,0.217,-0.102,0.0145,0.0000,0.90341,8
0,G1,120,0.3600,-0.11682,0.01219,-0.15472,0.13528,0.6094,0.3136,0.0266,-5.137,-3.131,0.3425,0.0000,0.88634,8
0,G1,130,0.3900,-0.11787,0.01117,-0.15472,0.13528,0.9164,0.3550,0.0392,-3.612,-3.310,0.2408,0.0000,0.86624,8
0,G1,140,0.4200,-0.11877,0.00931,-0.15472,0.13528,1.0000,0.3988,0.0522,0.016,-2.267,0.0011,0.0000,0.84320,8
0,G1,150,0.4500,-0.11951,0.00900,-0.15472,0.13528,1.0000,0.4443,0.0658,-0.668,-2.596,0.0445,0.0000,0.81760,8
0,G1,160,0.4800,-0.12014,0.00852,-0.15472,0.13528,1.0000,0.4903,0.0800,-2.138,-2.596,0.1426,0.0000,0.78998,8
0,G1,170,0.5100,-0.12073,0.00831,-0.15472,0.13528,1.0000,0.5358,0.0944,-1.880,-2.596,0.1253,0.0000,0.76109,8
0,G1,180,0.5400,-0.12127,0.00764,-0.15472,0.13528,1.0000,0.5793,0.1085,-0.876,-2.596,0.0584,0.0000,0.73186,8
0,G1,190,0.5700,-0.12168,0.00529,-0.15472,0.13528,0.9245,0.6209,0.1207,2.603,-2.201,0.1736,0.0000,0.70250,8
0,G1,200,0.6000,-0.12186,0.00465,-0.15472,0.13528,0.6264,0.6586,0.1388,-2.373,-2.201,0.1582,0.0000,0.67431,8
0,G1,210,0.6300,-0.12245,0.01059,-0.15472,0.13528,0.2706,0.6816,0.1632,-8.806,-2.383,0.5871,0.0000,0.65731,8
0,G1,220,0.6600,-0.12347,0.00754,-0.15472,0.13528,1.0000,0.6909,0.1725,5.030,-1.509,0.3354,0.0000,0.65214,8
0,G1,230,0.6900,-0.12367,0.00125,-0.15472,0.13528,1.0000,0.7000,0.1601,2.727,-1.043,0.1818,0.0000,0.64654,8
0,G1,240,0.7200,-0.12353,0.00075,-0.15472,0.13528,1.0000,0.7151,0.1458,-0.976,-0.976,0.0651,0.0000,0.63370,8
0,G1,250,0.7500,-0.12361,0.00204,-0.15472,0.13528,1.0000,0.7366,0.1402,2.347,-1.833,0.1565,0.0000,0.61400,8
0,G1,260,0.7800,-0.12378,0.00319,-0.15472,0.13528,0.9230,0.7623,0.1424,3.082,-1.833,0.2054,0.0000,0.59001,8
0,G1,270,0.8100,-0.12393,0.00334,-0.15472,0.13528,0.8597,0.7897,0.1489,3.449,-1.542,0.2299,0.0000,0.56430,8
0,G1,280,0.8400,-0.12396,0.00334,-0.15472,0.13528,0.7821,0.8160,0.1577,3.322,-1.447,0.2214,0.0000,0.53948,8
0,G1,290,0.8700,-0.12390,0.00327,-0.15472,0.13528,0.8476,0.8384,0.1658,4.123,-1.205,0.2749,0.0000,0.51859,8
0,G1,300,0.9000,-0.12355,0.00562,-0.15472,0.13528,0.9714,0.8581,0.1683,4.528,0.604,0.3019,0.0000,0.50065,8
0,G1,310,0.9300,-0.12297,0.00604,-0.15472,0.13528,1.0000,0.8769,0.1673,6.146,0.604,0.4097,0.0000,0.48342,8
0,G1,320,0.9600,-0.12230,0.00735,-0.15472,0.13528,1.0000,0.8955,0.1657,5.558,1.634,0.3705,0.0000,0.46586,8
0,G1,330,0.9900,-0.12171,0.00683,-0.15472,0.13528,0.9913,0.9140,0.1731,5.659,1.634,0.3773,0.0000,0.44804,8
0,G1,340,1.0000,-0.12128,0.00615,-0.15472,0.13528,0.2879,0.9305,0.2209,3.649,1.050,0.2432,0.0000,0.43165,8
0,G1,350,1.0000,-0.12131,0.00484,-0.15472,0.13528,0.2680,0.9386,0.2629,-0.198,-0.053,0.0132,0.0000,0.42347,8
