hold_tick,com_ap,com_speed,support_min,support_max,cop_ap,contacts,pelvis_y,ankle_dorsiflexion_deg,ankle_proximity,trunk_incl_deg
0,0.0479,0.2741,-0.1547,0.1353,-0.0388,8,0.9705,5.82,0.129,6.55
5,0.0626,0.3101,-0.1547,0.1353,-0.0316,8,0.9686,6.57,0.146,7.79
10,0.0793,0.3489,-0.1547,0.1353,-0.0233,8,0.9662,7.44,0.165,9.14
15,0.0980,0.3908,-0.1547,0.1353,-0.0138,8,0.9631,8.44,0.187,10.62
20,0.1189,0.4359,-0.1547,0.1353,-0.0029,8,0.9592,9.57,0.213,12.24
25,0.1421,0.4844,-0.1547,0.1353,0.0096,8,0.9543,10.84,0.241,14.03
30,0.1678,0.5364,-0.1547,0.1353,0.0239,8,0.9483,12.26,0.272,16.01
35,0.1963,0.5919,-0.1547,0.1353,0.0405,8,0.9408,13.85,0.308,18.21
40,0.2276,0.6510,-0.1547,0.1353,0.0591,8,0.9315,15.63,0.347,20.64
45,0.2620,0.7143,-0.1547,0.1353,0.0805,8,0.9202,17.60,0.391,23.34
50,0.2997,0.7799,-0.1547,0.1353,0.1091,8,0.9064,19.79,0.440,26.32
55,0.3406,0.8461,-0.1547,0.1353,0.1349,8,0.8896,22.07,0.490,29.62
60,0.3852,0.9269,-0.1547,0.1353,0.1353,8,0.8702,24.31,0.540,33.24
65,0.4346,1.0324,-0.1549,0.1352,0.1351,8,0.8487,26.16,0.581,37.18
70,0.4898,1.1584,-0.1549,0.1346,0.1345,8,0.8243,27.45,0.610,41.41
75,0.5519,1.2986,0.1336,0.1339,0.1338,4,0.7951,28.07,0.624,45.96
80,0.6211,1.4448,0.0446,0.1336,0.1332,8,0.7586,28.12,0.625,50.84
85,0.6975,1.5847,0.0750,0.1336,0.1326,8,0.7116,27.52,0.612,56.11
90,0.7804,1.7069,0.0922,0.1335,0.1325,8,0.6511,26.11,0.580,61.85
95,0.8685,1.7989,0.1037,0.1332,0.1326,8,0.5741,23.49,0.522,68.14
100,0.9601,1.8497,0.1294,0.1532,0.1315,8,0.4780,19.10,0.425,75.04
105,1.0529,1.8532,0.1292,0.1694,0.1294,8,0.3608,12.01,0.267,82.53
110,1.1447,1.8250,0.1410,0.2352,0.1418,8,0.2212,4.32,0.096,90.55
115,1.2325,1.5397,0.1594,0.2695,0.2645,8,0.1384,-5.81,0.106,94.40
120,1.2494,0.0680,0.1617,0.2700,0.2643,8,0.1368,-6.15,0.112,93.99
125,1.2452,0.0821,0.1613,0.2700,0.2644,8,0.1372,-5.09,0.093,93.75
130,1.2429,0.0335,0.1613,0.2700,0.2645,8,0.1377,-4.77,0.087,93.50
135,1.2420,0.0105,0.1610,0.2695,0.2648,8,0.1385,-4.65,0.085,93.53
140,1.2419,0.0021,0.1610,0.2695,0.2646,8,0.1393,-4.76,0.087,93.65
145,1.2419,0.0006,0.1610,0.2695,0.2645,8,0.1399,-4.86,0.088,93.73
150,1.2419,0.0009,0.1610,0.2695,0.2646,8,0.1402,-4.89,0.089,93.78
155,1.2419,0.0002,0.1610,0.2695,0.2646,8,0.1404,-4.92,0.089,93.81
160,1.2419,0.0005,0.1610,0.2695,0.2646,8,0.1405,-4.94,0.090,93.83
165,1.2419,0.0003,0.1610,0.2695,0.2646,8,0.1405,-4.95,0.090,93.84
170,1.2419,0.0003,0.1610,0.2695,0.2646,8,0.1406,-4.95,0.090,93.84
175,1.2419,0.0003,0.1610,0.2695,0.2646,8,0.1406,-4.95,0.090,93.85
180,1.2419,0.0000,1.2419,1.2419,NaN,0,0.1406,-4.96,0.090,93.85
185,1.2419,0.0000,1.2419,1.2419,NaN,0,0.1406,-4.96,0.090,93.85
190,1.2419,0.0000,1.2419,1.2419,NaN,0,0.1406,-4.96,0.090,93.85
195,1.2419,0.0000,1.2419,1.2419,NaN,0,0.1406,-4.96,0.090,93.85
200,1.2419,0.0000,1.2419,1.2419,NaN,0,0.1406,-4.96,0.090,93.85
205,1.2419,0.0000,1.2419,1.2419,NaN,0,0.1406,-4.96,0.090,93.85
210,1.2419,0.0000,1.2419,1.2419,NaN,0,0.1406,-4.96,0.090,93.85
215,1.2419,0.0000,1.2419,1.2419,NaN,0,0.1406,-4.96,0.090,93.85
220,1.2419,0.0000,1.2419,1.2419,NaN,0,0.1406,-4.96,0.090,93.85
225,1.2419,0.0000,1.2419,1.2419,NaN,0,0.1406,-4.96,0.090,93.85
230,1.2419,0.0000,1.2419,1.2419,NaN,0,0.1406,-4.96,0.090,93.85
235,1.2419,0.0000,1.2419,1.2419,NaN,0,0.1406,-4.96,0.090,93.85
240,1.2419,0.0000,1.2419,1.2419,NaN,0,0.1406,-4.96,0.090,93.85
245,1.2419,0.0000,1.2419,1.2419,NaN,0,0.1406,-4.96,0.090,93.85
249,1.2419,0.0000,1.2419,1.2419,NaN,0,0.1406,-4.96,0.090,93.85
