case,step,time_s,bar_y,bar_z,bar_vy,bar_vz,pelvis_y,pelvis_z,pelvis_vy,pelvis_vz,thorax_y,thorax_z,trunk_pitch_deg,ke,saddle_sep,saddle_att,contacts,com_ap,cop_ap,abd_bias_deg,tho_bias_deg,abd_tgt_rate,tho_tgt_rate,abd_act_deg,tho_act_deg,abd_demand,tho_demand,ankle_bal_deg
R00,-8,-0.080,1.3483,-0.1391,-0.6064,-0.1112,0.9710,0.0370,-0.0389,0.5322,1.3289,0.0184,-2.98,64.2,0.0272,1,8,-0.0657,0.0328,0.00,0.00,0.0000,0.0000,-6.94,-7.24,0.0616,0.0590,11.36
R00,-7,-0.070,1.3417,-0.1403,-0.6455,-0.0974,0.9705,0.0423,-0.0443,0.5166,1.3270,0.0191,-3.73,66.8,0.0356,1,8,-0.0652,0.0228,0.00,0.00,0.0000,0.0000,-7.58,-7.73,0.0606,0.0564,9.07
R00,-6,-0.060,1.3349,-0.1411,-0.6914,-0.0880,0.9699,0.0473,-0.0381,0.4763,1.3253,0.0198,-4.43,64.2,0.0455,1,8,-0.0648,0.0321,0.00,0.00,0.0000,0.0000,-8.22,-8.26,0.0684,0.0645,6.78
R00,-5,-0.050,1.3276,-0.1419,-0.7235,-0.0598,0.9692,0.0518,-0.0622,0.4317,1.3231,0.0196,-5.20,57.1,0.0512,1,8,-0.0644,0.0317,0.00,0.00,0.0000,0.0000,-8.83,-8.73,0.0692,0.0649,4.48
R00,-4,-0.040,1.3206,-0.1419,-0.7070,-0.0144,0.9678,0.0561,-0.1195,0.4069,1.3200,0.0183,-6.11,52.1,0.0518,1,8,-0.0641,0.0318,0.00,0.00,0.0000,0.0000,-9.52,-9.23,0.0754,0.0654,2.19
R00,-3,-0.030,1.3133,-0.1423,-0.7347,-0.0443,0.9664,0.0600,-0.1273,0.3848,1.3167,0.0169,-7.01,50.9,0.0513,1,8,-0.0638,0.0184,0.00,0.00,0.0000,0.0000,-10.25,-9.78,0.0842,0.0705,0.00
R00,-2,-0.020,1.3058,-0.1428,-0.7400,-0.0441,0.9647,0.0639,-0.1481,0.3690,1.3130,0.0155,-7.91,48.9,0.0514,1,8,-0.0637,0.0014,0.00,0.00,0.0000,0.0000,-10.97,-10.31,0.0870,0.0763,0.00
R00,-1,-0.010,1.2986,-0.1432,-0.7340,-0.0525,0.9632,0.0678,-0.1401,0.3706,1.3093,0.0143,-8.78,48.5,0.0515,1,8,-0.0636,-0.0126,0.00,0.00,0.0000,0.0000,-11.75,-10.90,0.0921,0.0796,0.00
R00,0,0.000,1.2837,-0.1444,-0.7429,-0.0621,0.9605,0.0760,-0.1136,0.4097,1.3019,0.0116,-10.67,50.9,0.0518,1,8,-0.0635,-0.0318,-0.02,0.00,0.0758,0.1137,-13.34,-12.05,0.1002,0.0880,0.00
R00,1,0.010,1.2764,-0.1451,-0.7425,-0.0637,0.9594,0.0804,-0.0934,0.4239,1.2983,0.0103,-11.70,51.4,0.0519,1,8,-0.0635,-0.0389,-0.04,0.01,0.0758,0.1137,-14.08,-12.62,0.1014,0.0888,0.00
