case,step,time_s,bar_y,bar_z,bar_vy,bar_vz,pelvis_y,pelvis_z,pelvis_vy,pelvis_vz,thorax_y,thorax_z,trunk_pitch_deg,ke,saddle_sep,saddle_att,contacts,com_ap,cop_ap,abd_bias_deg,tho_bias_deg,abd_tgt_rate,tho_tgt_rate,abd_act_deg,tho_act_deg,abd_demand,tho_demand,ankle_bal_deg
R00,61,0.610,1.0338,-0.2714,0.2190,-0.6054,0.9148,0.0060,-0.0393,-0.6274,1.1493,-0.1740,-37.51,46.5,0.0516,1,8,-0.1651,-0.0399,-1.12,0.27,0.0815,0.1222,-33.64,-21.08,0.1960,0.1479,-3.62
R00,62,0.620,1.0361,-0.2775,0.2265,-0.6232,0.9143,-0.0003,-0.0471,-0.6386,1.1505,-0.1797,-37.23,48.9,0.0516,1,8,-0.1704,-0.0451,-1.14,0.27,0.0815,0.1222,-33.41,-20.76,0.1938,0.1464,-3.98
R00,63,0.630,1.0385,-0.2839,0.2329,-0.6411,0.9138,-0.0067,-0.0535,-0.6491,1.1517,-0.1855,-36.93,51.3,0.0516,1,8,-0.1758,-0.0503,-1.16,0.28,0.0778,0.1167,-33.14,-20.42,0.1914,0.1447,-4.37
R00,64,0.640,1.0409,-0.2904,0.2383,-0.6588,0.9133,-0.0132,-0.0593,-0.6591,1.1529,-0.1914,-36.64,53.7,0.0516,1,8,-0.1814,-0.0540,-1.18,0.28,0.0778,0.1167,-32.85,-20.08,0.1892,0.1430,-4.86
R00,65,0.650,1.0433,-0.2971,0.2427,-0.6764,0.9127,-0.0198,-0.0651,-0.6689,1.1541,-0.1974,-36.35,56.1,0.0516,1,8,-0.1871,-0.0582,-1.20,0.29,0.0778,0.1167,-32.52,-19.73,0.1870,0.1413,-5.32
R00,66,0.660,1.0458,-0.3040,0.2461,-0.6938,0.9120,-0.0265,-0.0714,-0.6787,1.1553,-0.2036,-36.05,58.5,0.0516,1,8,-0.1929,-0.0623,-1.21,0.29,0.0737,0.1106,-32.17,-19.37,0.1846,0.1395,-5.78
R00,67,0.670,1.0483,-0.3110,0.2485,-0.7111,0.9113,-0.0333,-0.0782,-0.6888,1.1565,-0.2100,-35.76,60.9,0.0516,1,8,-0.1989,-0.0665,-1.23,0.29,0.0737,0.1106,-31.80,-19.00,0.1822,0.1377,-6.20
R00,68,0.680,1.0508,-0.3183,0.2498,-0.7282,0.9105,-0.0403,-0.0853,-0.6993,1.1577,-0.2164,-35.46,63.3,0.0516,1,8,-0.2050,-0.0706,-1.25,0.30,0.0737,0.1106,-31.40,-18.62,0.1799,0.1359,-6.57
R00,69,0.690,1.0533,-0.3256,0.2500,-0.7450,0.9096,-0.0473,-0.0932,-0.7101,1.1588,-0.2230,-35.17,65.7,0.0516,1,8,-0.2113,-0.0747,-1.27,0.30,0.0692,0.1038,-30.98,-18.24,0.1773,0.1340,-6.88
R00,70,0.700,1.0558,-0.3332,0.2492,-0.7617,0.9086,-0.0545,-0.1012,-0.7213,1.1599,-0.2297,-34.88,68.2,0.0516,1,8,-0.2176,-0.0789,-1.29,0.31,0.0692,0.1038,-30.53,-17.84,0.1748,0.1321,-7.11
R00,71,0.710,1.0583,-0.3409,0.2473,-0.7781,0.9075,-0.0618,-0.1092,-0.7328,1.1609,-0.2366,-34.59,70.6,0.0516,1,8,-0.2242,-0.0828,-1.30,0.31,0.0692,0.1038,-30.07,-17.44,0.1723,0.1303,-7.28
R00,72,0.720,1.0608,-0.3488,0.2443,-0.7944,0.9064,-0.0692,-0.1174,-0.7447,1.1619,-0.2436,-34.31,73.0,0.0516,1,8,-0.2308,-0.0867,-1.32,0.32,0.0692,0.1038,-29.60,-17.03,0.1698,0.1285,-7.37
R00,73,0.730,1.0632,-0.3568,0.2402,-0.8105,0.9052,-0.0768,-0.1262,-0.7570,1.1628,-0.2507,-34.03,75.4,0.0515,1,8,-0.2377,-0.0904,-1.34,0.32,0.0643,0.0964,-29.10,-16.62,0.1672,0.1265,-7.40
R00,74,0.740,1.0656,-0.3650,0.2350,-0.8265,0.9038,-0.0844,-0.1350,-0.7698,1.1636,-0.2580,-33.75,77.9,0.0515,1,8,-0.2446,-0.0941,-1.36,0.32,0.0643,0.0964,-28.60,-16.20,0.1646,0.1246,-7.33
R00,75,0.750,1.0679,-0.3734,0.2286,-0.8423,0.9024,-0.0922,-0.1441,-0.7829,1.1643,-0.2654,-33.47,80.3,0.0515,1,8,-0.2517,-0.0974,-1.38,0.33,0.0643,0.0964,-28.08,-15.77,0.1619,0.1227,-7.23
R00,76,0.760,1.0701,-0.3819,0.2212,-0.8582,0.9009,-0.1002,-0.1537,-0.7965,1.1650,-0.2730,-33.20,82.8,0.0515,1,8,-0.2589,-0.1008,-1.40,0.33,0.0590,0.0885,-27.54,-15.34,0.1592,0.1206,-7.00
R00,77,0.770,1.0722,-0.3906,0.2127,-0.8739,0.8993,-0.1083,-0.1633,-0.8104,1.1655,-0.2807,-32.93,85.3,0.0515,1,8,-0.2663,-0.1040,-1.41,0.34,0.0590,0.0885,-27.00,-14.90,0.1565,0.1187,-6.72
R00,78,0.780,1.0743,-0.3994,0.2029,-0.8897,0.8976,-0.1165,-0.1732,-0.8247,1.1659,-0.2886,-32.67,87.9,0.0515,1,8,-0.2738,-0.1070,-1.43,0.34,0.0590,0.0885,-26.44,-14.46,0.1539,0.1168,-6.38
R00,79,0.790,1.0762,-0.4084,0.1921,-0.9055,0.8958,-0.1249,-0.1840,-0.8395,1.1662,-0.2966,-32.41,90.5,0.0515,1,8,-0.2815,-0.1099,-1.45,0.35,0.0533,0.0798,-25.88,-14.02,0.1511,0.1147,-5.95
R00,80,0.800,1.0781,-0.4175,0.1801,-0.9213,0.8938,-0.1334,-0.1949,-0.8546,1.1663,-0.3048,-32.16,93.1,0.0515,1,8,-0.2893,-0.1128,-1.47,0.35,0.0533,0.0798,-25.30,-13.57,0.1483,0.1127,-5.43
R00,81,0.810,1.0798,-0.4268,0.1668,-0.9372,0.8918,-0.1421,-0.2063,-0.8699,1.1663,-0.3131,-31.92,95.8,0.0515,1,8,-0.2972,-0.1152,-1.49,0.35,0.0533,0.0798,-24.72,-13.11,0.1456,0.1108,-4.92
R00,82,0.820,1.0813,-0.4363,0.1501,-0.9535,0.8897,-0.1509,-0.2085,-0.8714,1.1662,-0.3217,-31.71,98.3,0.0515,1,8,-0.3053,-0.1180,-1.50,0.36,0.0533,0.0798,-24.14,-12.66,0.1389,0.1045,-4.23
R00,83,0.830,1.0826,-0.4459,0.1302,-0.9696,0.8876,-0.1595,-0.2043,-0.8689,1.1659,-0.3304,-31.55,100.6,0.0515,1,8,-0.3136,-0.1197,-1.55,0.34,0.0496,0.0744,-23.52,-12.21,0.1307,0.0984,-3.81
R00,84,0.840,1.0837,-0.4557,0.1071,-0.9853,0.8857,-0.1682,-0.1974,-0.8658,1.1656,-0.3394,-31.45,102.8,0.0515,1,8,-0.3220,-0.1218,-1.60,0.30,0.0496,0.0744,-22.88,-11.76,0.1231,0.0926,-3.19
R00,85,0.850,1.0845,-0.4656,0.0810,-1.0003,0.8838,-0.1769,-0.1895,-0.8621,1.1650,-0.3486,-31.40,104.9,0.0515,1,8,-0.3306,-0.1234,-1.66,0.27,0.0496,0.0744,-22.23,-11.34,0.1162,0.0872,-2.68
R00,86,0.860,1.0851,-0.4757,0.0520,-1.0139,0.8819,-0.1856,-0.1834,-0.8686,1.1643,-0.3579,-31.39,107.1,0.0515,1,8,-0.3393,-0.1255,-1.72,0.23,0.0483,0.0725,-21.58,-10.92,0.1097,0.0821,-1.88
R00,87,0.870,1.0851,-0.4858,0.0141,-1.0251,0.8801,-0.1942,-0.1777,-0.8680,1.1634,-0.3675,-31.44,109.5,0.0515,1,8,-0.3481,-0.1268,-1.78,0.20,0.0483,0.0725,-20.97,-10.55,0.1053,0.0791,-1.36
R00,88,0.880,1.0850,-0.4962,-0.0166,-1.0396,0.8783,-0.2031,-0.1758,-0.8867,1.1624,-0.3772,-31.50,112.2,0.0515,1,8,-0.3571,-0.1286,-1.83,0.17,0.0483,0.0725,-20.45,-10.19,0.1061,0.0807,-0.55
R00,89,0.890,1.0845,-0.5066,-0.0401,-1.0590,0.8762,-0.2122,-0.2058,-0.9026,1.1609,-0.3870,-31.56,115.6,0.0514,1,8,-0.3662,-0.1298,-1.89,0.13,0.0471,0.0706,-19.94,-9.86,0.1043,0.0790,0.02
R00,90,0.900,1.0837,-0.5173,-0.0813,-1.0626,0.8741,-0.2213,-0.2053,-0.9198,1.1595,-0.3970,-31.61,119.2,0.0517,1,8,-0.3754,-0.1305,-1.95,0.10,0.0471,0.0706,-19.48,-9.58,0.1033,0.0780,0.43
R00,91,0.910,1.0825,-0.5280,-0.1113,-1.0846,0.8717,-0.2307,-0.2300,-0.9334,1.1574,-0.4073,-31.72,122.9,0.0514,1,8,-0.3848,-0.1307,-2.00,0.06,0.0471,0.0706,-18.99,-9.27,0.1019,0.0783,0.52
R00,92,0.920,1.0809,-0.5389,-0.1576,-1.0941,0.8694,-0.2401,-0.2261,-0.9496,1.1555,-0.4178,-31.85,126.6,0.0516,1,8,-0.3943,-0.1324,-2.06,0.03,0.0471,0.0706,-18.61,-9.03,0.1007,0.0771,1.54
R00,93,0.930,1.0789,-0.5497,-0.1954,-1.1137,0.8669,-0.2497,-0.2445,-0.9570,1.1531,-0.4286,-32.01,131.4,0.0512,1,8,-0.4040,-0.1330,-2.12,0.00,0.0459,0.0688,-18.18,-8.74,0.0995,0.0780,1.54
R00,94,0.940,1.0763,-0.5610,-0.2521,-1.1309,0.8646,-0.2592,-0.2296,-0.9606,1.1506,-0.4397,-32.26,136.1,0.0511,1,8,-0.4138,-0.1370,-2.17,-0.04,0.0459,0.0688,-17.80,-8.51,0.0993,0.0781,3.83
R00,95,0.950,1.0734,-0.5725,-0.2945,-1.1445,0.8622,-0.2691,-0.2523,-0.9900,1.1479,-0.4509,-32.48,141.9,0.0514,1,8,-0.4239,-0.1372,-2.23,-0.07,0.0459,0.0688,-17.51,-8.30,0.0978,0.0788,4.23
R00,96,0.960,1.0701,-0.5839,-0.3253,-1.1669,0.8591,-0.2791,-0.3073,-1.0015,1.1445,-0.4623,-32.69,147.9,0.0512,1,8,-0.4340,-0.1379,-2.29,-0.11,0.0447,0.0670,-17.20,-8.10,0.0979,0.0766,3.96
R00,97,0.970,1.0662,-0.5957,-0.3782,-1.1859,0.8558,-0.2891,-0.3249,-1.0081,1.1408,-0.4739,-32.96,154.5,0.0512,1,8,-0.4444,-0.1430,-2.34,-0.14,0.0447,0.0670,-16.91,-7.94,0.1002,0.0807,6.25
R00,98,0.980,1.0617,-0.6075,-0.4304,-1.2008,0.8525,-0.2991,-0.3368,-1.0037,1.1366,-0.4858,-33.31,162.3,0.0511,1,8,-0.4549,-0.1413,-2.40,-0.18,0.0447,0.0670,-16.65,-7.80,0.0958,0.0775,6.30
R00,99,0.990,1.0568,-0.6194,-0.4787,-1.1996,0.8491,-0.3093,-0.3469,-1.0309,1.1321,-0.4986,-33.78,170.7,0.0504,1,8,-0.4656,-0.1403,-2.46,-0.21,0.0435,0.0652,-16.39,-7.67,0.0963,0.0803,5.69
R00,100,1.000,1.0517,-0.6315,-0.5062,-1.2236,0.8450,-0.3200,-0.4110,-1.0773,1.1272,-0.5114,-34.15,179.8,0.0497,1,8,-0.4764,-0.1466,-2.51,-0.24,0.0435,0.0652,-16.13,-7.53,0.0993,0.0824,7.98
R00,101,1.010,1.0461,-0.6440,-0.5598,-1.2589,0.8403,-0.3311,-0.4777,-1.1153,1.1221,-0.5238,-34.37,188.4,0.0501,1,7,-0.4875,-0.1486,-2.57,-0.28,0.0435,0.0652,-15.84,-7.36,0.1006,0.0818,10.28
R00,102,1.020,1.0400,-0.6569,-0.5961,-1.2836,0.8349,-0.3425,-0.5497,-1.1379,1.1164,-0.5362,-34.53,198.4,0.0510,1,8,-0.4987,-0.1481,-2.63,-0.31,0.0435,0.0652,-15.52,-7.19,0.1006,0.0834,10.90
R00,103,1.030,1.0337,-0.6700,-0.6295,-1.3101,0.8287,-0.3540,-0.6121,-1.1603,1.1099,-0.5489,-34.72,208.9,0.0512,1,6,-0.5102,-0.1462,-2.68,-0.35,0.0424,0.0635,-15.13,-6.99,0.0977,0.0842,9.77
R00,104,1.040,1.0270,-0.6833,-0.6667,-1.3392,0.8219,-0.3659,-0.6776,-1.1850,1.1029,-0.5617,-34.87,220.2,0.0513,1,8,-0.5218,-0.1423,-2.74,-0.38,0.0424,0.0635,-14.77,-6.74,0.1014,0.0833,8.37
R00,105,1.050,1.0199,-0.6969,-0.7036,-1.3631,0.8145,-0.3781,-0.7365,-1.2204,1.0954,-0.5747,-35.00,232.5,0.0513,1,6,-0.5337,-0.1457,-2.80,-0.42,0.0424,0.0635,-14.46,-6.46,0.1024,0.0838,10.67
R00,106,1.060,1.0124,-0.7107,-0.7448,-1.3911,0.8066,-0.3905,-0.7913,-1.2436,1.0874,-0.5880,-35.13,245.1,0.0514,1,6,-0.5458,-0.1444,-2.85,-0.45,0.0413,0.0619,-14.11,-6.15,0.0968,0.0802,10.20
R00,107,1.070,1.0045,-0.7248,-0.7857,-1.4136,0.7982,-0.4032,-0.8342,-1.2771,1.0789,-0.6015,-35.24,258.7,0.0514,1,8,-0.5581,-0.1464,-2.91,-0.48,0.0413,0.0619,-13.75,-5.84,0.0938,0.0778,11.67
R00,108,1.080,0.9961,-0.7391,-0.8323,-1.4411,0.7894,-0.4160,-0.8712,-1.2855,1.0701,-0.6153,-35.38,272.3,0.0514,1,8,-0.5707,-0.1444,-2.97,-0.52,0.0413,0.0619,-13.39,-5.51,0.0878,0.0701,9.38
R00,109,1.090,0.9874,-0.7537,-0.8767,-1.4636,0.7801,-0.4291,-0.9176,-1.3076,1.0608,-0.6295,-35.53,287.3,0.0514,1,8,-0.5836,-0.1500,-3.02,-0.55,0.0402,0.0603,-12.98,-5.18,0.0878,0.0727,10.71
R00,110,1.100,0.9781,-0.7685,-0.9245,-1.4904,0.7703,-0.4424,-0.9662,-1.3352,1.0509,-0.6438,-35.67,302.7,0.0514,1,6,-0.5967,-0.1513,-3.08,-0.59,0.0402,0.0603,-12.53,-4.82,0.0818,0.0686,11.97
R00,111,1.110,0.9683,-0.7836,-0.9733,-1.5151,0.7602,-0.4559,-0.9937,-1.3503,1.0406,-0.6585,-35.85,318.8,0.0513,1,8,-0.6100,-0.1501,-3.14,-0.62,0.0402,0.0603,-12.08,-4.43,0.0771,0.0615,9.68
R00,112,1.120,0.9580,-0.7990,-1.0283,-1.5409,0.7499,-0.4695,-1.0191,-1.3603,1.0299,-0.6735,-36.07,335.3,0.0514,1,8,-0.6236,-0.1524,-3.20,-0.65,0.0402,0.0603,-11.63,-4.06,0.0671,0.0539,9.44
R00,113,1.130,0.9472,-0.8147,-1.0802,-1.5727,0.7391,-0.4833,-1.0623,-1.3785,1.0188,-0.6886,-36.27,352.5,0.0516,1,8,-0.6374,-0.1543,-3.25,-0.69,0.0392,0.0587,-11.15,-3.68,0.0628,0.0519,10.95
R00,114,1.140,0.9358,-0.8306,-1.1362,-1.6002,0.7280,-0.4972,-1.0924,-1.3836,1.0072,-0.7039,-36.52,370.3,0.0517,1,8,-0.6515,-0.1542,-3.31,-0.72,0.0392,0.0587,-10.68,-3.32,0.0572,0.0460,9.42
R00,115,1.150,0.9238,-0.8467,-1.1947,-1.6268,0.7167,-0.5110,-1.1059,-1.3798,0.9951,-0.7196,-36.86,389.1,0.0515,1,8,-0.6659,-0.1539,-3.37,-0.76,0.0392,0.0587,-10.23,-2.98,0.0507,0.0407,8.56
R00,116,1.160,0.9113,-0.8632,-1.2530,-1.6512,0.7054,-0.5248,-1.1044,-1.3889,0.9825,-0.7358,-37.27,409.4,0.0513,1,8,-0.6805,-0.1536,-3.42,-0.79,0.0381,0.0572,-9.76,-2.64,0.0427,0.0343,7.20
R00,117,1.170,0.8981,-0.8799,-1.3153,-1.6761,0.6939,-0.5389,-1.1289,-1.4076,0.9696,-0.7521,-37.72,429.1,0.0515,1,8,-0.6954,-0.1531,-3.48,-0.83,0.0381,0.0572,-9.30,-2.31,0.0357,0.0275,6.03
R00,118,1.180,0.8844,-0.8968,-1.3721,-1.6988,0.6823,-0.5532,-1.1471,-1.4298,0.9562,-0.7689,-38.21,451.4,0.0513,1,8,-0.7105,-0.1537,-3.54,-0.86,0.0381,0.0572,-8.91,-2.00,0.0370,0.0292,5.04
R00,119,1.190,0.8700,-0.9140,-1.4363,-1.7254,0.6702,-0.5677,-1.1845,-1.4477,0.9423,-0.7858,-38.72,473.5,0.0514,1,8,-0.7258,-0.1540,-3.59,-0.89,0.0381,0.0572,-8.56,-1.74,0.0362,0.0286,5.14
R00,120,1.200,0.8551,-0.9314,-1.4951,-1.7465,0.6579,-0.5824,-1.2092,-1.4727,0.9278,-0.8032,-39.28,498.4,0.0513,1,8,-0.7415,-0.1553,-3.65,-0.93,0.0371,0.0557,-8.21,-1.49,0.0346,0.0291,3.85
R10,-30,-0.300,1.4800,-0.1150,0.0000,0.0000,0.9816,-0.0430,0.0000,0.0000,1.3498,-0.0178,3.91,0.0,0.0714,1,8,-0.0744,-0.0570,3.93,3.67,0.0000,0.0000,0.00,0.00,0.0181,0.0169,-2.29
R10,-29,-0.290,1.4745,-0.1188,-0.2263,-0.1096,0.9863,-0.0447,0.1733,0.0634,1.3552,-0.0095,5.46,8.0,0.0507,1,0,-0.0744,-0.0744,3.93,3.67,0.0000,0.0000,0.00,0.00,0.0181,0.0169,0.00
R10,-28,-0.280,1.4708,-0.1208,-0.3856,-0.1080,0.9868,-0.0441,0.0443,0.0783,1.3555,-0.0061,5.88,12.3,0.0443,1,8,-0.0744,-0.0097,3.93,3.67,0.0000,0.0000,1.26,1.58,0.0443,0.0177,2.29
R10,-27,-0.270,1.4660,-0.1222,-0.4786,-0.1126,0.9862,-0.0434,-0.0562,0.0689,1.3548,-0.0037,6.15,17.4,0.0391,1,8,-0.0744,-0.0084,3.93,3.67,0.0000,0.0000,1.51,1.75,0.0045,0.0027,2.41
R10,-26,-0.260,1.4603,-0.1236,-0.5619,-0.1182,0.9842,-0.0427,-0.1818,0.0710,1.3528,-0.0011,6.45,25.6,0.0352,1,8,-0.0744,-0.0084,3.93,3.67,0.0000,0.0000,1.66,1.88,0.0054,0.0021,2.62
R10,-25,-0.250,1.4538,-0.1249,-0.6238,-0.1380,0.9813,-0.0420,-0.2822,0.0798,1.3496,0.0021,6.83,32.7,0.0329,1,8,-0.0744,-0.0084,3.93,3.67,0.0000,0.0000,1.87,1.98,0.0038,0.0029,2.83
R10,-24,-0.240,1.4469,-0.1266,-0.6721,-0.1351,0.9783,-0.0410,-0.2758,0.1000,1.3463,0.0046,7.06,33.3,0.0303,1,8,-0.0744,0.0149,3.93,3.67,0.0000,0.0000,2.09,2.06,0.0044,0.0032,0.53
R10,-23,-0.230,1.4398,-0.1278,-0.6977,-0.1072,0.9759,-0.0397,-0.2164,0.1345,1.3435,0.0073,7.29,35.9,0.0288,1,8,-0.0744,-0.0697,3.93,3.67,0.0000,0.0000,2.18,2.04,0.0050,0.0076,2.83
R10,-22,-0.220,1.4327,-0.1290,-0.6901,-0.0896,0.9742,-0.0381,-0.1464,0.1715,1.3415,0.0093,7.35,32.9,0.0265,1,8,-0.0744,-0.0744,3.93,3.67,0.0000,0.0000,2.21,1.93,0.0041,0.0123,5.12
R10,-21,-0.210,1.4260,-0.1298,-0.6567,-0.0543,0.9732,-0.0359,-0.0863,0.2225,1.3402,0.0110,7.27,31.5,0.0249,1,8,-0.0743,-0.0748,3.93,3.67,0.0000,0.0000,2.14,1.70,0.0102,0.0178,7.41
R10,-20,-0.200,1.4197,-0.1304,-0.6127,-0.0285,0.9727,-0.0331,-0.0371,0.2763,1.3395,0.0120,7.01,29.2,0.0239,1,8,-0.0741,-0.0735,3.93,3.67,0.0000,0.0000,1.96,1.35,0.0150,0.0246,9.70
R10,-19,-0.190,1.4139,-0.1307,-0.5651,-0.0158,0.9726,-0.0298,0.0183,0.3231,1.3394,0.0124,6.56,24.7,0.0228,1,8,-0.0738,-0.0704,3.93,3.67,0.0000,0.0000,1.68,0.90,0.0199,0.0304,11.99
R10,-18,-0.180,1.4084,-0.1309,-0.5404,0.0084,0.9728,-0.0262,0.0280,0.3563,1.3395,0.0121,5.97,31.4,0.0221,1,8,-0.0733,-0.0660,3.93,3.67,0.0000,0.0000,1.30,0.40,0.0245,0.0336,14.29
R10,-17,-0.170,1.4032,-0.1309,-0.5047,0.0122,0.9733,-0.0221,0.0605,0.3979,1.3399,0.0121,5.33,25.3,0.0231,1,8,-0.0728,-0.0592,3.93,3.67,0.0000,0.0000,0.82,-0.14,0.0297,0.0372,15.00
R10,-16,-0.160,1.3984,-0.1312,-0.4835,-0.0021,0.9742,-0.0178,0.1075,0.4199,1.3408,0.0124,4.71,22.7,0.0240,1,8,-0.0722,-0.0513,3.93,3.67,0.0000,0.0000,0.33,-0.66,0.0320,0.0406,15.00
R10,-15,-0.150,1.3937,-0.1312,-0.4763,0.0035,0.9751,-0.0133,0.0996,0.4412,1.3414,0.0127,4.06,50.0,0.0327,1,8,-0.0716,-0.0382,3.93,3.67,0.0000,0.0000,-0.07,-1.12,0.0318,0.0374,15.00
R10,-14,-0.140,1.3885,-0.1317,-0.5437,-0.0390,0.9763,-0.0088,0.1219,0.4346,1.3422,0.0137,3.51,62.5,0.0467,1,8,-0.0709,-0.0197,3.93,3.67,0.0000,0.0000,-0.51,-1.58,0.0407,0.0408,15.00
R10,-13,-0.130,1.3836,-0.1317,-0.4789,0.0313,0.9760,-0.0044,-0.0064,0.4259,1.3415,0.0118,2.55,34.4,0.0527,1,8,-0.0703,0.0045,3.93,3.67,0.0000,0.0000,-0.79,-1.94,0.0342,0.0381,15.00
R10,-12,-0.120,1.3787,-0.1322,-0.4989,-0.0235,0.9754,-0.0001,-0.0450,0.4159,1.3405,0.0119,1.88,25.5,0.0523,1,8,-0.0696,0.0254,3.93,3.67,0.0000,0.0000,-1.47,-2.55,0.0527,0.0577,12.71
R10,-11,-0.110,1.3737,-0.1328,-0.5003,-0.0433,0.9745,0.0043,-0.0653,0.4208,1.3391,0.0122,1.25,24.3,0.0520,1,8,-0.0691,0.0149,3.93,3.67,0.0000,0.0000,-1.94,-3.04,0.0466,0.0542,14.35
R10,-10,-0.100,1.3685,-0.1335,-0.5207,-0.0646,0.9734,0.0087,-0.0822,0.4254,1.3375,0.0131,0.70,25.7,0.0519,1,8,-0.0686,0.0114,3.93,3.67,0.0000,0.0000,-2.43,-3.54,0.0511,0.0567,12.06
R10,-9,-0.090,1.3634,-0.1342,-0.5219,-0.0678,0.9724,0.0132,-0.0796,0.4212,1.3356,0.0134,0.03,27.7,0.0518,1,8,-0.0682,0.0029,3.93,3.67,0.0000,0.0000,-2.95,-4.04,0.0560,0.0590,11.38
R10,-8,-0.080,1.3583,-0.1348,-0.5157,-0.0553,0.9715,0.0176,-0.0718,0.4201,1.3338,0.0130,-0.72,26.4,0.0519,1,8,-0.0678,-0.0044,3.93,3.67,0.0000,0.0000,-3.60,-4.59,0.0618,0.0643,12.10
R10,-7,-0.070,1.3533,-0.1353,-0.5141,-0.0542,0.9707,0.0220,-0.0589,0.4096,1.3319,0.0125,-1.50,25.7,0.0519,1,8,-0.0675,-0.0071,3.93,3.67,0.0000,0.0000,-4.26,-5.14,0.0670,0.0686,9.81
R10,-6,-0.060,1.3483,-0.1358,-0.5131,-0.0516,0.9700,0.0263,-0.0511,0.4020,1.3301,0.0119,-2.29,25.2,0.0518,1,8,-0.0672,-0.0108,3.93,3.67,0.0000,0.0000,-4.93,-5.68,0.0702,0.0703,7.52
R10,-5,-0.050,1.3433,-0.1364,-0.5120,-0.0501,0.9693,0.0306,-0.0487,0.3954,1.3282,0.0112,-3.09,25.1,0.0518,1,8,-0.0669,-0.0126,3.93,3.67,0.0000,0.0000,-5.60,-6.22,0.0735,0.0722,5.22
R10,-4,-0.040,1.3383,-0.1369,-0.5116,-0.0503,0.9686,0.0348,-0.0498,0.3884,1.3262,0.0104,-3.89,25.1,0.0518,1,8,-0.0667,-0.0142,3.93,3.67,0.0000,0.0000,-6.26,-6.73,0.0766,0.0741,2.93
R10,-3,-0.030,1.3333,-0.1375,-0.5131,-0.0509,0.9679,0.0389,-0.0531,0.3804,1.3242,0.0096,-4.70,25.3,0.0518,1,8,-0.0666,-0.0160,3.93,3.67,0.0000,0.0000,-6.91,-7.24,0.0795,0.0761,0.64
R10,-2,-0.020,1.3282,-0.1380,-0.5157,-0.0515,0.9672,0.0429,-0.0573,0.3731,1.3220,0.0087,-5.51,25.5,0.0518,1,8,-0.0664,-0.0184,3.93,3.67,0.0000,0.0000,-7.55,-7.73,0.0824,0.0779,0.00
R10,-1,-0.010,1.3232,-0.1386,-0.5193,-0.0519,0.9664,0.0469,-0.0614,0.3648,1.3196,0.0077,-6.33,25.8,0.0518,1,8,-0.0663,-0.0214,3.93,3.67,0.0000,0.0000,-8.18,-8.20,0.0854,0.0798,0.00
R10,0,0.000,1.3129,-0.1398,-0.5298,-0.0528,0.9648,0.0549,-0.0660,0.3770,1.3147,0.0056,-8.02,26.8,0.0517,1,8,-0.0662,-0.0272,3.86,3.63,0.0758,0.1137,-9.42,-9.10,0.0931,0.0866,0.00
R10,1,0.010,1.3076,-0.1404,-0.5374,-0.0530,0.9640,0.0589,-0.0649,0.3673,1.3121,0.0046,-8.87,27.4,0.0517,1,8,-0.0662,-0.0324,3.80,3.59,0.0758,0.1137,-9.99,-9.52,0.0944,0.0878,0.00
R10,2,0.020,1.3022,-0.1410,-0.5446,-0.0520,0.9632,0.0628,-0.0684,0.3561,1.3094,0.0035,-9.73,28.0,0.0517,1,8,-0.0662,-0.0351,3.73,3.55,0.0758,0.1137,-10.58,-9.94,0.0977,0.0901,0.00
R10,3,0.030,1.2968,-0.1416,-0.5515,-0.0504,0.9624,0.0666,-0.0694,0.3448,1.3065,0.0023,-10.59,28.6,0.0518,1,8,-0.0663,-0.0371,3.67,3.51,0.0797,0.1195,-11.17,-10.35,0.1008,0.0925,0.00
R10,4,0.040,1.2914,-0.1422,-0.5577,-0.0487,0.9616,0.0703,-0.0688,0.3317,1.3036,0.0010,-11.45,29.2,0.0517,1,8,-0.0664,-0.0374,3.60,3.47,0.0797,0.1195,-11.76,-10.77,0.1043,0.0951,0.00
R10,5,0.050,1.2858,-0.1427,-0.5632,-0.0472,0.9608,0.0738,-0.0676,0.3185,1.3005,-0.0003,-12.32,29.7,0.0517,1,8,-0.0665,-0.0373,3.54,3.43,0.0797,0.1195,-12.35,-11.18,0.1080,0.0976,0.00
R10,6,0.060,1.2802,-0.1433,-0.5720,-0.0495,0.9601,0.0773,-0.0631,0.3078,1.2974,-0.0017,-13.18,30.4,0.0517,1,8,-0.0666,-0.0368,3.47,3.39,0.0831,0.1247,-12.96,-11.59,0.1117,0.1003,0.00
R10,7,0.070,1.2746,-0.1439,-0.5753,-0.0465,0.9594,0.0806,-0.0642,0.2934,1.2942,-0.0032,-14.05,30.8,0.0518,1,8,-0.0667,-0.0358,3.41,3.35,0.0831,0.1247,-13.56,-12.00,0.1147,0.1030,0.00
R10,8,0.080,1.2689,-0.1444,-0.5800,-0.0469,0.9586,0.0838,-0.0663,0.2772,1.2909,-0.0047,-14.91,31.1,0.0517,1,8,-0.0669,-0.0344,3.34,3.31,0.0831,0.1247,-14.17,-12.40,0.1189,0.1057,0.00
R10,9,0.090,1.2632,-0.1450,-0.5835,-0.0489,0.9578,0.0868,-0.0684,0.2622,1.2876,-0.0063,-15.76,31.4,0.0517,1,8,-0.0671,-0.0334,3.28,3.27,0.0862,0.1292,-14.77,-12.79,0.1223,0.1080,0.00
