tick,joint,actual_x_deg,applied_target_x_deg,nominal_x_deg,tracking_err_deg,command_offset_deg,reference_dev_deg,limit_proximity,demand,solver_torque_nm,max_force_nm
-25,abdomen,-2.18,0.00,0.00,2.25,0.00,2.26,0.062,0.022,0.1,1482.0
-25,thorax,-1.94,0.00,0.00,1.94,0.00,1.94,0.055,0.018,0.0,1482.0
-20,left_foot,-0.86,5.99,0.00,6.85,7.14,0.87,0.019,0.046,1.5,1710.0
-20,right_foot,-1.02,5.99,0.00,7.01,7.14,1.02,0.023,0.046,1.2,1710.0
-20,left_shank,0.28,0.00,0.00,0.28,0.00,0.28,0.002,0.002,4.7,2052.0
-20,right_shank,0.50,0.00,0.00,0.50,0.00,0.50,0.003,0.004,1.1,2052.0
-20,left_thigh,0.29,0.00,0.00,0.30,0.00,0.29,0.006,0.003,0.0,2052.0
-20,right_thigh,0.23,0.00,0.00,0.27,0.00,0.24,0.005,0.003,0.0,2052.0
-20,abdomen,-2.18,0.00,0.00,2.25,0.00,2.26,0.062,0.020,0.0,1482.0
-20,thorax,-1.91,0.00,0.00,1.91,0.00,1.91,0.055,0.016,0.0,1482.0
-15,left_foot,-0.78,7.13,0.00,7.92,7.82,0.79,0.017,0.051,1.8,1710.0
-15,right_foot,-0.95,7.13,0.00,8.08,7.82,0.95,0.021,0.052,1.3,1710.0
-15,left_shank,0.28,0.00,0.00,0.28,0.00,0.28,0.002,0.002,5.0,2052.0
-15,right_shank,0.53,0.00,0.00,0.53,0.00,0.53,0.004,0.003,1.0,2052.0
-15,left_thigh,0.24,0.00,0.00,0.25,0.00,0.24,0.005,0.003,0.0,2052.0
-15,right_thigh,0.17,0.00,0.00,0.21,0.00,0.19,0.004,0.002,0.0,2052.0
-15,abdomen,-2.12,0.00,0.00,2.19,0.00,2.20,0.061,0.018,0.1,1482.0
-15,thorax,-1.87,0.00,0.00,1.87,0.00,1.87,0.053,0.015,0.0,1482.0
-10,left_foot,-0.69,5.99,0.00,6.68,5.53,0.70,0.015,0.043,1.8,1710.0
-10,right_foot,-0.85,5.99,0.00,6.84,5.53,0.85,0.019,0.043,1.3,1710.0
-10,left_shank,0.26,0.00,0.00,0.26,0.00,0.26,0.002,0.001,4.8,2052.0
-10,right_shank,0.51,0.00,0.00,0.51,0.00,0.51,0.003,0.002,0.9,2052.0
-10,left_thigh,0.20,0.00,0.00,0.21,0.00,0.20,0.004,0.002,0.0,2052.0
-10,right_thigh,0.11,0.00,0.00,0.00,0.00,0.00,0.002,0.002,0.0,2052.0
-10,abdomen,-2.01,0.00,0.00,2.08,0.00,2.09,0.057,0.017,0.0,1482.0
-10,thorax,-1.76,0.00,0.00,1.76,0.00,1.76,0.050,0.013,0.0,1482.0
-5,left_foot,-0.63,7.13,0.00,7.77,8.18,0.63,0.014,0.051,1.9,1710.0
-5,right_foot,-0.78,7.13,0.00,7.92,8.18,0.79,0.017,0.051,1.4,1710.0
-5,left_shank,0.24,0.00,0.00,0.24,0.00,0.24,0.002,0.001,4.8,2052.0
-5,right_shank,0.49,0.00,0.00,0.49,0.00,0.49,0.003,0.002,0.9,2052.0
-5,left_thigh,0.14,0.00,0.00,0.00,0.00,0.00,0.003,0.002,0.0,2052.0
-5,right_thigh,0.04,0.00,0.00,0.00,0.00,0.00,0.000,0.002,0.0,2052.0
-5,abdomen,-1.88,0.00,0.00,1.95,0.00,1.96,0.054,0.015,0.0,1482.0
-5,thorax,-1.66,0.00,0.00,1.65,0.00,1.66,0.047,0.012,0.0,1482.0
0,left_foot,-0.54,7.61,-0.10,8.16,7.72,0.44,0.012,0.046,2.0,1710.0
0,right_foot,-0.69,7.61,-0.10,8.31,7.72,0.59,0.015,0.046,1.4,1710.0
0,left_shank,0.19,0.34,0.34,0.00,0.00,0.00,0.001,0.025,4.6,2052.0
0,right_shank,0.44,0.34,0.34,0.00,0.00,0.00,0.003,0.024,0.8,2052.0
0,left_thigh,0.08,-0.32,-0.32,0.41,0.00,0.40,0.002,0.027,0.0,2052.0
0,right_thigh,0.00,-0.32,-0.32,0.31,0.00,0.30,0.000,0.027,0.0,2052.0
0,abdomen,-1.76,0.00,0.00,1.88,0.00,1.88,0.050,0.019,0.0,1482.0
0,thorax,-1.56,0.06,0.06,1.62,0.00,1.62,0.045,0.019,0.0,1482.0
2,left_foot,-0.31,6.28,-0.32,6.59,5.35,0.00,0.007,0.029,2.3,1710.0
2,right_foot,-0.46,6.28,-0.32,6.73,5.35,0.00,0.010,0.030,1.7,1710.0
2,left_shank,-0.32,1.03,1.03,1.35,0.00,1.35,0.064,0.050,4.9,2052.0
2,right_shank,-0.07,1.03,1.03,1.10,0.00,1.10,0.014,0.048,1.0,2052.0
2,left_thigh,0.48,-0.96,-0.96,1.44,0.00,1.44,0.011,0.050,0.0,2052.0
2,right_thigh,0.38,-0.96,-0.96,1.34,0.00,1.34,0.008,0.050,0.0,2052.0
2,abdomen,-1.68,0.13,0.13,1.89,0.00,1.89,0.048,0.019,0.0,1482.0
2,thorax,-1.54,0.19,0.19,1.73,0.00,1.73,0.044,0.022,0.0,1482.0
4,left_foot,-0.18,6.06,-0.54,6.24,5.35,0.36,0.004,0.029,2.2,1710.0
4,right_foot,-0.32,6.06,-0.54,6.38,5.35,0.22,0.007,0.029,1.7,1710.0
4,left_shank,-0.68,1.72,1.72,2.41,0.00,2.41,0.137,0.052,4.6,2052.0
4,right_shank,-0.43,1.72,1.72,2.15,0.00,2.15,0.086,0.051,0.7,2052.0
4,left_thigh,0.75,-1.61,-1.61,2.36,0.00,2.36,0.017,0.052,0.0,2052.0
4,right_thigh,0.64,-1.61,-1.61,2.25,0.00,2.25,0.014,0.051,0.0,2052.0
4,abdomen,-1.66,0.22,0.22,1.96,0.00,1.96,0.048,0.022,0.0,1482.0
4,thorax,-1.55,0.33,0.33,1.89,0.00,1.89,0.044,0.025,0.0,1482.0
6,left_foot,-0.10,8.13,-0.77,8.23,9.48,0.67,0.002,0.044,2.4,1710.0
6,right_foot,-0.24,8.13,-0.77,8.37,9.48,0.53,0.005,0.044,1.8,1710.0
6,left_shank,-0.88,2.42,2.42,3.31,0.00,3.31,0.176,0.053,4.8,2052.0
6,right_shank,-0.62,2.42,2.42,3.05,0.00,3.05,0.125,0.051,0.9,2052.0
6,left_thigh,0.87,-2.26,-2.26,3.13,0.00,3.13,0.019,0.053,0.0,2052.0
6,right_thigh,0.75,-2.26,-2.26,3.02,0.00,3.02,0.017,0.052,0.0,2052.0
6,abdomen,-1.65,0.31,0.31,2.04,0.00,2.04,0.047,0.023,0.0,1482.0
6,thorax,-1.57,0.47,0.47,2.04,0.00,2.04,0.045,0.026,0.0,1482.0
8,left_foot,-0.04,6.43,-0.99,6.47,7.42,0.95,0.000,0.034,2.5,1710.0
8,right_foot,-0.19,6.43,-0.99,6.62,7.42,0.81,0.004,0.035,1.8,1710.0
8,left_shank,-0.94,3.14,3.14,4.08,0.00,4.08,0.189,0.053,4.9,2052.0
8,right_shank,-0.69,3.14,3.14,3.82,0.00,3.82,0.137,0.052,1.0,2052.0
8,left_thigh,0.86,-2.92,-2.92,3.79,0.00,3.79,0.019,0.054,0.0,2052.0
8,right_thigh,0.75,-2.92,-2.92,3.68,0.00,3.68,0.017,0.053,0.0,2052.0
8,abdomen,-1.65,0.41,0.41,2.13,0.00,2.13,0.047,0.024,0.0,1482.0
8,thorax,-1.58,0.61,0.61,2.20,0.00,2.20,0.045,0.027,0.0,1482.0
10,left_foot,-0.07,6.31,-1.23,6.38,6.27,1.16,0.001,0.035,2.5,1710.0
10,right_foot,-0.21,6.31,-1.23,6.52,6.27,1.02,0.005,0.035,1.8,1710.0
10,left_shank,-0.86,3.86,3.86,4.71,0.00,4.71,0.172,0.054,4.7,2052.0
10,right_shank,-0.61,3.86,3.86,4.47,0.00,4.47,0.122,0.053,0.8,2052.0
10,left_thigh,0.76,-3.59,-3.59,4.35,0.00,4.35,0.017,0.055,0.0,2052.0
10,right_thigh,0.65,-3.59,-3.59,4.25,0.00,4.25,0.015,0.054,0.0,2052.0
10,abdomen,-1.66,0.51,0.51,2.23,0.00,2.23,0.047,0.026,0.0,1482.0
10,thorax,-1.58,0.76,0.76,2.34,0.00,2.34,0.045,0.028,0.0,1482.0
12,left_foot,-0.16,5.82,-1.46,5.98,7.28,1.30,0.004,0.035,2.3,1710.0
12,right_foot,-0.30,5.82,-1.46,6.12,7.28,1.16,0.007,0.036,1.7,1710.0
12,left_shank,-0.64,4.58,4.58,5.23,0.00,5.23,0.128,0.052,4.5,2052.0
12,right_shank,-0.41,4.58,4.58,4.99,0.00,4.99,0.081,0.051,0.7,2052.0
12,left_thigh,0.57,-4.26,-4.26,4.84,0.00,4.84,0.013,0.055,0.0,2052.0
12,right_thigh,0.47,-4.26,-4.26,4.74,0.00,4.74,0.010,0.055,0.0,2052.0
12,abdomen,-1.66,0.60,0.60,2.33,0.00,2.33,0.048,0.026,0.0,1482.0
12,thorax,-1.57,0.91,0.91,2.47,0.00,2.47,0.045,0.029,0.0,1482.0
14,left_foot,-0.29,5.82,-1.70,6.11,8.27,1.41,0.006,0.037,2.5,1710.0
14,right_foot,-0.42,5.82,-1.70,6.24,8.27,1.28,0.009,0.037,1.9,1710.0
14,left_shank,-0.33,5.32,5.32,5.65,0.00,5.65,0.066,0.053,4.6,2052.0
14,right_shank,-0.10,5.32,5.32,5.42,0.00,5.42,0.019,0.052,0.8,2052.0
14,left_thigh,0.30,-4.94,-4.94,5.25,0.00,5.25,0.007,0.056,0.0,2052.0
14,right_thigh,0.21,-4.94,-4.94,5.15,0.00,5.15,0.004,0.056,0.0,2052.0
14,abdomen,-1.66,0.70,0.70,2.42,0.00,2.42,0.047,0.027,0.0,1482.0
14,thorax,-1.54,1.06,1.06,2.60,0.00,2.60,0.044,0.029,0.0,1482.0
16,left_foot,-0.44,5.82,-1.94,6.25,8.27,1.51,0.010,0.039,2.8,1710.0
16,right_foot,-0.56,5.82,-1.94,6.38,8.27,1.38,0.012,0.039,2.1,1710.0
16,left_shank,0.04,6.06,6.06,6.01,0.00,6.01,0.000,0.053,4.8,2052.0
16,right_shank,0.27,6.06,6.06,5.78,0.00,5.78,0.002,0.052,0.9,2052.0
16,left_thigh,0.00,-5.63,-5.63,5.60,0.00,5.60,0.000,0.056,0.0,2052.0
16,right_thigh,-0.13,-5.63,-5.63,5.50,0.00,5.50,0.001,0.056,0.0,2052.0
16,abdomen,-1.64,0.81,0.81,2.51,0.00,2.51,0.047,0.027,0.0,1482.0
16,thorax,-1.50,1.21,1.21,2.71,0.00,2.71,0.043,0.030,0.0,1482.0
18,left_foot,-0.59,3.76,-2.18,4.36,5.95,1.59,0.013,0.026,2.8,1710.0
18,right_foot,-0.72,3.76,-2.18,4.48,5.95,1.47,0.016,0.027,2.1,1710.0
18,left_shank,0.50,6.81,6.81,6.31,0.00,6.31,0.003,0.053,4.8,2052.0
18,right_shank,0.71,6.81,6.81,6.09,0.00,6.09,0.005,0.052,0.9,2052.0
18,left_thigh,-0.42,-6.32,-6.32,5.90,0.00,5.90,0.004,0.057,0.0,2052.0
18,right_thigh,-0.52,-6.32,-6.32,5.80,0.00,5.80,0.004,0.056,0.0,2052.0
18,abdomen,-1.61,0.91,0.91,2.58,0.00,2.58,0.046,0.027,0.0,1482.0
18,thorax,-1.44,1.37,1.37,2.81,0.00,2.81,0.041,0.030,0.0,1482.0
20,left_foot,-0.78,3.74,-2.43,4.52,4.89,1.65,0.017,0.028,2.9,1710.0
20,right_foot,-0.90,3.74,-2.43,4.64,4.89,1.53,0.020,0.028,2.2,1710.0
20,left_shank,1.02,7.56,7.56,6.54,0.00,6.54,0.007,0.053,4.7,2052.0
20,right_shank,1.23,7.56,7.56,6.33,0.00,6.33,0.008,0.052,0.8,2052.0
20,left_thigh,-0.87,-7.02,-7.02,6.15,0.00,6.15,0.007,0.057,0.0,2052.0
20,right_thigh,-0.96,-7.02,-7.02,6.06,0.00,6.06,0.008,0.056,0.0,2052.0
20,abdomen,-1.56,1.02,1.02,2.64,0.00,2.64,0.045,0.027,0.0,1482.0
20,thorax,-1.36,1.52,1.52,2.89,0.00,2.89,0.039,0.030,0.0,1482.0
22,left_foot,-1.00,3.76,-2.67,4.76,6.43,1.68,0.022,0.031,2.8,1710.0
22,right_foot,-1.12,3.76,-2.67,4.88,6.43,1.56,0.025,0.031,2.1,1710.0
22,left_shank,1.59,8.32,8.32,6.73,0.00,6.73,0.011,0.052,4.6,2052.0
22,right_shank,1.80,8.32,8.32,6.52,0.00,6.52,0.012,0.051,0.8,2052.0
22,left_thigh,-1.35,-7.72,-7.72,6.37,0.00,6.37,0.011,0.057,0.0,2052.0
22,right_thigh,-1.43,-7.72,-7.72,6.28,0.00,6.28,0.012,0.057,0.0,2052.0
22,abdomen,-1.50,1.12,1.12,2.68,0.00,2.68,0.043,0.027,0.0,1482.0
22,thorax,-1.27,1.68,1.68,2.95,0.00,2.95,0.036,0.030,0.0,1482.0
24,left_foot,-1.21,3.41,-2.92,4.62,6.33,1.72,0.027,0.029,3.0,1710.0
24,right_foot,-1.33,3.41,-2.92,4.74,6.33,1.60,0.030,0.030,2.3,1710.0
24,left_shank,2.20,9.09,9.09,6.89,0.00,6.89,0.015,0.053,4.8,2052.0
24,right_shank,2.41,9.09,9.09,6.68,0.00,6.68,0.017,0.052,0.9,2052.0
24,left_thigh,-1.87,-8.42,-8.42,6.55,0.00,6.55,0.016,0.057,0.0,2052.0
24,right_thigh,-1.96,-8.42,-8.42,6.46,0.00,6.46,0.016,0.057,0.0,2052.0
24,abdomen,-1.42,1.23,1.23,2.71,0.00,2.71,0.041,0.026,0.0,1482.0
24,thorax,-1.16,1.85,1.85,3.01,0.00,3.01,0.033,0.030,0.0,1482.0
26,left_foot,-1.43,2.86,-3.18,4.29,5.95,1.75,0.032,0.027,3.1,1710.0
26,right_foot,-1.55,2.86,-3.18,4.41,5.95,1.63,0.034,0.027,2.4,1710.0
26,left_shank,2.84,9.86,9.86,7.02,0.00,7.02,0.020,0.053,4.8,2052.0
26,right_shank,3.05,9.86,9.86,6.81,0.00,6.81,0.021,0.052,0.9,2052.0
26,left_thigh,-2.43,-9.13,-9.13,6.70,0.00,6.70,0.020,0.057,0.0,2052.0
26,right_thigh,-2.52,-9.13,-9.13,6.61,0.00,6.61,0.021,0.057,0.0,2052.0
26,abdomen,-1.33,1.34,1.34,2.72,0.00,2.72,0.038,0.026,0.0,1482.0
26,thorax,-1.04,2.01,2.01,3.04,0.00,3.04,0.030,0.029,0.0,1482.0
