phase,com_ap_0kg,com_height_0kg,com_ap_25kg,com_height_25kg,reference_world_trunk_pitch_deg,bar_ap,thorax_ap,pelvis_ap
0.650,-0.08901,0.80667,-0.09552,0.87642,32.520,-0.12157,-0.05272,-0.25619
0.660,-0.08968,0.80236,-0.09614,0.87191,32.652,-0.12200,-0.05346,-0.25769
0.670,-0.09038,0.79768,-0.09680,0.86701,32.792,-0.12245,-0.05424,-0.25927
0.680,-0.09110,0.79265,-0.09746,0.86174,32.938,-0.12290,-0.05504,-0.26090
0.690,-0.09181,0.78732,-0.09811,0.85617,33.090,-0.12332,-0.05582,-0.26256
0.700,-0.09250,0.78174,-0.09874,0.85033,33.246,-0.12370,-0.05658,-0.26420
0.710,-0.09316,0.77596,-0.09933,0.84427,33.405,-0.12403,-0.05729,-0.26582
0.720,-0.09377,0.77002,-0.09987,0.83805,33.565,-0.12430,-0.05795,-0.26739
0.730,-0.09432,0.76396,-0.10035,0.83171,33.724,-0.12450,-0.05853,-0.26888
0.740,-0.09480,0.75785,-0.10077,0.82531,33.882,-0.12462,-0.05904,-0.27028
0.750,-0.09522,0.75174,-0.10111,0.81891,34.037,-0.12466,-0.05946,-0.27158
0.760,-0.09557,0.74567,-0.10138,0.81255,34.187,-0.12463,-0.05980,-0.27277
0.770,-0.09584,0.73970,-0.10158,0.80630,34.332,-0.12453,-0.06005,-0.27385
0.780,-0.09605,0.73389,-0.10172,0.80021,34.469,-0.12438,-0.06023,-0.27480
0.790,-0.09620,0.72829,-0.10180,0.79434,34.598,-0.12418,-0.06035,-0.27564
0.800,-0.09630,0.72295,-0.10183,0.78875,34.716,-0.12395,-0.06040,-0.27636
0.810,-0.09635,0.71795,-0.10182,0.78351,34.824,-0.12370,-0.06041,-0.27697
0.820,-0.09637,0.71333,-0.10179,0.77867,34.918,-0.12347,-0.06040,-0.27749
0.830,-0.09637,0.70889,-0.10175,0.77402,35.002,-0.12325,-0.06038,-0.27794
0.840,-0.09637,0.70440,-0.10171,0.76931,35.082,-0.12304,-0.06035,-0.27836
0.850,-0.09635,0.69987,-0.10165,0.76456,35.156,-0.12284,-0.06032,-0.27874
0.860,-0.09631,0.69530,-0.10158,0.75977,35.226,-0.12264,-0.06026,-0.27908
0.870,-0.09625,0.69071,-0.10149,0.75495,35.293,-0.12242,-0.06019,-0.27937
0.880,-0.09616,0.68610,-0.10137,0.75012,35.355,-0.12219,-0.06009,-0.27961
0.890,-0.09604,0.68149,-0.10122,0.74529,35.414,-0.12193,-0.05995,-0.27980
0.900,-0.09589,0.67688,-0.10104,0.74045,35.471,-0.12164,-0.05977,-0.27994
0.910,-0.09570,0.67228,-0.10082,0.73563,35.525,-0.12131,-0.05956,-0.28002
0.920,-0.09547,0.66771,-0.10057,0.73084,35.577,-0.12095,-0.05930,-0.28005
0.930,-0.09520,0.66317,-0.10027,0.72608,35.628,-0.12054,-0.05899,-0.28002
0.940,-0.09490,0.65868,-0.09994,0.72137,35.677,-0.12009,-0.05863,-0.27993
0.950,-0.09455,0.65423,-0.09956,0.71671,35.726,-0.11959,-0.05822,-0.27979
0.960,-0.09416,0.64986,-0.09914,0.71211,35.774,-0.11903,-0.05776,-0.27959
0.970,-0.09374,0.64555,-0.09867,0.70760,35.822,-0.11842,-0.05725,-0.27935
0.980,-0.09327,0.64132,-0.09817,0.70317,35.871,-0.11776,-0.05668,-0.27905
0.990,-0.09277,0.63719,-0.09762,0.69883,35.921,-0.11705,-0.05607,-0.27871
1.000,-0.09223,0.63316,-0.09704,0.69461,35.971,-0.11627,-0.05540,-0.27832
