phase_sq,hip_flexion_deg,trunk_flexion_deg,knee_flexion_deg,left_overlap,left_penetration_m,left_surface_gap_m,right_overlap,right_penetration_m,right_surface_gap_m,contact_within_offset
0.365,47.68,12.38,49.49,0,0.00000,0.02432,0,0.00000,0.02606,0
0.370,48.55,12.47,50.33,0,0.00000,0.02304,0,0.00000,0.02477,0
0.375,49.42,12.56,51.18,0,0.00000,0.02173,0,0.00000,0.02347,0
0.380,50.30,12.64,52.04,0,0.00000,0.02042,0,0.00000,0.02215,0
0.385,51.17,12.73,52.89,0,0.00000,0.01910,0,0.00000,0.02083,1
0.390,52.05,12.81,53.74,0,0.00000,0.01776,0,0.00000,0.01949,1
0.395,52.93,12.90,54.60,0,0.00000,0.01642,0,0.00000,0.01815,1
0.400,53.80,12.98,55.45,0,0.00000,0.01507,0,0.00000,0.01680,1
0.405,54.68,13.06,56.30,0,0.00000,0.01372,0,0.00000,0.01544,1
0.410,55.56,13.14,57.15,0,0.00000,0.01236,0,0.00000,0.01409,1
0.415,56.43,13.21,58.00,0,0.00000,0.01100,0,0.00000,0.01272,1
0.420,57.30,13.29,58.85,0,0.00000,0.00963,0,0.00000,0.01136,1
0.425,58.17,13.37,59.69,0,0.00000,0.00827,0,0.00000,0.00999,1
0.430,59.03,13.44,60.53,0,0.00000,0.00691,0,0.00000,0.00863,1
0.435,59.89,13.52,61.36,0,0.00000,0.00555,0,0.00000,0.00727,1
0.440,60.75,13.59,62.19,0,0.00000,0.00420,0,0.00000,0.00592,1
0.445,61.60,13.66,63.02,0,0.00000,0.00286,0,0.00000,0.00458,1
0.450,62.44,13.74,63.83,0,0.00000,0.00152,0,0.00000,0.00324,1
0.455,63.27,13.81,64.64,0,0.00000,0.00019,0,0.00000,0.00191,1
0.460,64.10,13.88,65.45,1,0.00113,0.00000,0,0.00000,0.00059,1
0.465,64.92,13.94,66.24,1,0.00243,0.00000,1,0.00071,0.00000,1
0.470,65.73,14.01,67.03,1,0.00373,0.00000,1,0.00201,0.00000,1
0.475,66.53,14.08,67.81,1,0.00501,0.00000,1,0.00329,0.00000,1
0.480,67.33,14.15,68.58,1,0.00628,0.00000,1,0.00456,0.00000,1
0.485,68.11,14.21,69.33,1,0.00753,0.00000,1,0.00581,0.00000,1
0.490,68.88,14.28,70.08,1,0.00877,0.00000,1,0.00705,0.00000,1
0.495,69.63,14.34,70.82,1,0.00998,0.00000,1,0.00827,0.00000,1
0.500,70.38,14.40,71.54,1,0.01118,0.00000,1,0.00947,0.00000,1
0.505,71.11,14.47,72.25,1,0.01236,0.00000,1,0.01065,0.00000,1
0.510,71.83,14.53,72.95,1,0.01352,0.00000,1,0.01181,0.00000,1
0.515,72.53,14.59,73.64,1,0.01466,0.00000,1,0.01294,0.00000,1
0.520,73.22,14.65,74.31,1,0.01577,0.00000,1,0.01406,0.00000,1
0.525,73.89,14.71,74.96,1,0.01686,0.00000,1,0.01515,0.00000,1
0.530,74.55,14.77,75.60,1,0.01793,0.00000,1,0.01621,0.00000,1
0.535,75.19,14.83,76.23,1,0.01897,0.00000,1,0.01725,0.00000,1
0.540,75.81,14.89,76.84,1,0.01998,0.00000,1,0.01827,0.00000,1
0.545,76.42,14.94,77.43,1,0.02097,0.00000,1,0.01926,0.00000,1
0.550,77.00,15.00,78.00,1,0.02194,0.00000,1,0.02023,0.00000,1
0.555,77.53,15.05,78.52,1,0.02282,0.00000,1,0.02112,0.00000,1
0.560,77.98,15.09,78.96,1,0.02356,0.00000,1,0.02186,0.00000,1
0.565,78.35,15.11,79.32,1,0.02418,0.00000,1,0.02248,0.00000,1
0.570,78.66,15.13,79.62,1,0.02468,0.00000,1,0.02298,0.00000,1
0.575,78.91,15.13,79.87,1,0.02508,0.00000,1,0.02338,0.00000,1
0.580,79.12,15.13,80.06,1,0.02539,0.00000,1,0.02369,0.00000,1
0.585,79.28,15.12,80.22,1,0.02564,0.00000,1,0.02394,0.00000,1
0.590,79.41,15.11,80.35,1,0.02583,0.00000,1,0.02413,0.00000,1
0.595,79.52,15.09,80.46,1,0.02598,0.00000,1,0.02428,0.00000,1
0.600,79.62,15.07,80.56,1,0.02611,0.00000,1,0.02441,0.00000,1
