hold_tick,com_ap,com_speed,support_min,support_max,cop_ap,contacts,pelvis_y,ankle_dorsiflexion_deg,ankle_proximity,trunk_incl_deg
0,-0.0465,0.0091,-0.1547,0.1353,-0.0536,8,0.9729,4.60,0.102,-5.34
5,-0.0469,0.0084,-0.1547,0.1353,-0.0567,8,0.9730,4.60,0.102,-5.35
10,-0.0472,0.0089,-0.1547,0.1353,-0.0513,8,0.9731,4.55,0.101,-5.27
15,-0.0473,0.0092,-0.1547,0.1353,-0.0528,8,0.9733,4.47,0.099,-5.13
20,-0.0475,0.0099,-0.1547,0.1353,-0.0471,8,0.9735,4.38,0.097,-4.96
25,-0.0476,0.0102,-0.1547,0.1353,-0.0537,8,0.9736,4.31,0.096,-4.77
30,-0.0476,0.0102,-0.1547,0.1353,-0.0443,8,0.9738,4.23,0.094,-4.61
35,-0.0476,0.0095,-0.1547,0.1353,-0.0496,8,0.9740,4.15,0.092,-4.44
40,-0.0476,0.0084,-0.1547,0.1353,-0.0445,8,0.9740,4.08,0.091,-4.29
45,-0.0475,0.0068,-0.1547,0.1353,-0.0503,8,0.9741,4.04,0.090,-4.17
50,-0.0474,0.0053,-0.1547,0.1353,-0.0446,8,0.9742,3.99,0.089,-4.07
55,-0.0473,0.0034,-0.1547,0.1353,-0.0473,8,0.9743,3.95,0.088,-3.99
60,-0.0472,0.0014,-0.1547,0.1353,-0.0420,8,0.9743,3.91,0.087,-3.92
65,-0.0472,0.0010,-0.1547,0.1353,-0.0477,8,0.9744,3.88,0.086,-3.87
70,-0.0472,0.0026,-0.1547,0.1353,-0.0421,8,0.9744,3.85,0.085,-3.83
75,-0.0472,0.0040,-0.1547,0.1353,-0.0482,8,0.9744,3.83,0.085,-3.80
80,-0.0472,0.0051,-0.1547,0.1353,-0.0434,8,0.9744,3.81,0.085,-3.78
85,-0.0472,0.0058,-0.1547,0.1353,-0.0493,8,0.9744,3.80,0.084,-3.78
90,-0.0472,0.0062,-0.1547,0.1353,-0.0435,8,0.9744,3.79,0.084,-3.79
95,-0.0473,0.0063,-0.1547,0.1353,-0.0491,8,0.9744,3.79,0.084,-3.80
100,-0.0473,0.0060,-0.1547,0.1353,-0.0434,8,0.9744,3.78,0.084,-3.81
105,-0.0473,0.0056,-0.1547,0.1353,-0.0491,8,0.9744,3.78,0.084,-3.82
110,-0.0474,0.0049,-0.1547,0.1353,-0.0440,8,0.9744,3.77,0.084,-3.84
115,-0.0474,0.0041,-0.1547,0.1353,-0.0497,8,0.9744,3.78,0.084,-3.85
120,-0.0474,0.0033,-0.1547,0.1353,-0.0439,8,0.9744,3.77,0.084,-3.86
125,-0.0475,0.0025,-0.1547,0.1353,-0.0502,8,0.9744,3.78,0.084,-3.88
130,-0.0475,0.0016,-0.1547,0.1353,-0.0445,8,0.9743,3.78,0.084,-3.89
135,-0.0476,0.0010,-0.1547,0.1353,-0.0502,8,0.9743,3.79,0.084,-3.90
140,-0.0476,0.0006,-0.1547,0.1353,-0.0445,8,0.9743,3.79,0.084,-3.91
145,-0.0476,0.0008,-0.1547,0.1353,-0.0502,8,0.9743,3.80,0.084,-3.92
150,-0.0476,0.0011,-0.1547,0.1353,-0.0444,8,0.9743,3.80,0.084,-3.93
155,-0.0476,0.0013,-0.1547,0.1353,-0.0502,8,0.9743,3.81,0.085,-3.93
160,-0.0477,0.0014,-0.1547,0.1353,-0.0444,8,0.9743,3.80,0.085,-3.93
165,-0.0477,0.0015,-0.1547,0.1353,-0.0501,8,0.9743,3.81,0.085,-3.94
170,-0.0477,0.0014,-0.1547,0.1353,-0.0444,8,0.9743,3.81,0.085,-3.94
175,-0.0477,0.0014,-0.1547,0.1353,-0.0501,8,0.9743,3.82,0.085,-3.94
180,-0.0477,0.0012,-0.1547,0.1353,-0.0444,8,0.9743,3.82,0.085,-3.94
185,-0.0477,0.0011,-0.1547,0.1353,-0.0501,8,0.9743,3.83,0.085,-3.94
190,-0.0477,0.0010,-0.1547,0.1353,-0.0444,8,0.9743,3.82,0.085,-3.94
195,-0.0477,0.0009,-0.1547,0.1353,-0.0501,8,0.9743,3.83,0.085,-3.94
200,-0.0477,0.0008,-0.1547,0.1353,-0.0444,8,0.9743,3.83,0.085,-3.94
205,-0.0477,0.0007,-0.1547,0.1353,-0.0501,8,0.9743,3.83,0.085,-3.93
210,-0.0477,0.0007,-0.1547,0.1353,-0.0444,8,0.9743,3.83,0.085,-3.93
215,-0.0477,0.0007,-0.1547,0.1353,-0.0501,8,0.9743,3.84,0.085,-3.93
220,-0.0476,0.0007,-0.1547,0.1353,-0.0444,8,0.9743,3.83,0.085,-3.93
225,-0.0476,0.0007,-0.1547,0.1353,-0.0501,8,0.9743,3.84,0.085,-3.93
230,-0.0476,0.0008,-0.1547,0.1353,-0.0444,8,0.9743,3.84,0.085,-3.93
235,-0.0476,0.0009,-0.1547,0.1353,-0.0501,8,0.9743,3.84,0.085,-3.93
240,-0.0476,0.0009,-0.1547,0.1353,-0.0444,8,0.9743,3.84,0.085,-3.92
245,-0.0475,0.0009,-0.1547,0.1353,-0.0501,8,0.9743,3.85,0.085,-3.92
249,-0.0475,0.0010,-0.1547,0.1353,-0.0501,8,0.9743,3.85,0.086,-3.92
