hold_tick,com_ap,com_speed,support_min,support_max,cop_ap,contacts,pelvis_y,ankle_dorsiflexion_deg,ankle_proximity,trunk_incl_deg
0,1.2076,0.0791,1.2076,1.2076,NaN,0,0.3434,32.06,0.712,121.52
5,1.2080,0.0888,1.2080,1.2080,NaN,0,0.3462,31.85,0.708,121.65
10,1.2085,0.0952,1.2085,1.2085,NaN,0,0.3500,31.63,0.703,121.84
15,1.2092,0.0957,1.2092,1.2092,NaN,0,0.3520,31.80,0.707,121.75
20,1.2076,0.1012,1.2076,1.2076,NaN,0,0.3543,31.65,0.703,121.89
25,1.2059,0.0880,1.2059,1.2059,NaN,0,0.3557,31.45,0.699,122.00
30,1.2052,0.0619,1.2052,1.2052,NaN,0,0.3566,31.20,0.693,122.00
35,1.2049,0.0427,1.2049,1.2049,NaN,0,0.3576,31.04,0.690,122.03
40,1.2046,0.0326,1.2046,1.2046,NaN,0,0.3583,30.74,0.683,122.06
45,1.2045,0.0140,1.2045,1.2045,NaN,0,0.3585,30.91,0.687,122.02
50,1.2045,0.0052,1.2045,1.2045,NaN,0,0.3591,30.90,0.687,122.05
55,1.2039,0.0103,1.2039,1.2039,NaN,0,0.3595,30.99,0.689,122.09
60,1.2031,0.0115,1.2031,1.2031,NaN,0,0.3600,31.02,0.689,122.15
65,1.2024,0.0095,1.2024,1.2024,NaN,0,0.3605,31.02,0.689,122.20
70,1.2019,0.0046,1.2019,1.2019,NaN,0,0.3608,31.02,0.689,122.24
75,1.2016,0.0009,1.2016,1.2016,NaN,0,0.3609,31.02,0.689,122.27
80,1.2016,0.0021,1.2016,1.2016,NaN,0,0.3610,31.03,0.690,122.28
85,1.2016,0.0027,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.28
90,1.2016,0.0025,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
95,1.2016,0.0021,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
100,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
105,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
110,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
115,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
120,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
125,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
130,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
135,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
140,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
145,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
150,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
155,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
160,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
165,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
170,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
175,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
180,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
185,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
190,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
195,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
200,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
205,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
210,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
215,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
220,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
225,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
230,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
235,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
240,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
245,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
249,1.2016,0.0000,1.2016,1.2016,NaN,0,0.3610,31.04,0.690,122.29
