tick,sq,state,failure_reason,com_ap,com_vel_ap,capture_ap,sup_ap_min,sup_ap_max,cop_ap,has_cop,contacts,slip_mps,pelvis_y,trunk_pitch_deg,sad_attached,sad_sep_m,sad_force_n,sad_torque_nm,sad_dev_x_deg,sad_dev_y_deg,sad_dev_z_deg,bar_d_ap_m,bar_d_up_m,bar_d_lat_m,max_demand,max_demand_joint,max_torque_ratio,max_torque_joint,chain_demand,chain_demand_joint,chain_track_err_deg,chain_track_joint,chain_limit_prox,chain_limit_joint,chain_cmd_offset_deg,chain_cmd_joint,posture_err_rad,posture_worst_joint,max_omega,max_speed
0,0.0030,DESCENT,NONE,-0.0294,-0.0003,-0.0295,-0.1547,0.1353,-0.0271,1,8,0.0012,0.9793,2.23,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.282,left_upper_arm,0.083,right_upper_arm,0.039,right_foot,7.41,right_foot,0.050,abdomen,6.71,left_foot,0.0326,abdomen,0.27,0.06
1,0.0060,DESCENT,NONE,-0.0294,-0.0003,-0.0295,-0.1547,0.1353,-0.0358,1,8,0.0015,0.9793,2.21,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.282,left_upper_arm,0.084,right_upper_arm,0.048,left_thigh,8.43,right_foot,0.049,abdomen,9.00,left_foot,0.0329,abdomen,0.29,0.06
2,0.0090,DESCENT,NONE,-0.0294,-0.0015,-0.0299,-0.1547,0.1353,-0.0290,1,8,0.0024,0.9794,2.19,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.282,left_upper_arm,0.084,right_upper_arm,0.050,left_thigh,7.18,right_foot,0.067,left_shank,6.71,left_foot,0.0326,abdomen,0.28,0.06
3,0.0120,DESCENT,NONE,-0.0294,-0.0016,-0.0300,-0.1547,0.1353,-0.0332,1,8,0.0015,0.9795,2.18,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.283,left_upper_arm,0.084,right_upper_arm,0.051,left_thigh,7.60,right_foot,0.106,left_shank,7.64,left_foot,0.0330,abdomen,0.25,0.05
4,0.0150,DESCENT,NONE,-0.0294,-0.0005,-0.0296,-0.1547,0.1353,-0.0298,1,8,0.0012,0.9796,2.17,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.284,left_upper_arm,0.084,right_upper_arm,0.052,left_shank,6.39,right_foot,0.140,left_shank,5.36,left_foot,0.0335,abdomen,0.22,0.05
5,0.0180,DESCENT,NONE,-0.0294,0.0010,-0.0291,-0.1547,0.1353,-0.0348,1,8,0.0003,0.9796,2.17,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.285,left_upper_arm,0.084,right_upper_arm,0.052,left_thigh,7.28,right_foot,0.163,left_shank,7.65,left_foot,0.0423,left_shank,0.19,0.04
6,0.0210,DESCENT,NONE,-0.0294,0.0027,-0.0285,-0.1547,0.1353,-0.0292,1,8,0.0013,0.9797,2.18,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.285,left_upper_arm,0.084,right_upper_arm,0.053,left_thigh,8.38,right_foot,0.180,left_shank,9.39,left_foot,0.0504,left_shank,0.17,0.04
7,0.0240,DESCENT,NONE,-0.0294,0.0040,-0.0280,-0.1547,0.1353,-0.0219,1,8,0.0009,0.9797,2.19,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.286,left_upper_arm,0.084,right_upper_arm,0.054,left_shank,7.20,right_foot,0.191,left_shank,7.09,left_foot,0.0580,left_shank,0.14,0.03
8,0.0270,DESCENT,NONE,-0.0293,0.0044,-0.0279,-0.1547,0.1353,-0.0251,1,8,0.0007,0.9797,2.21,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.287,left_upper_arm,0.084,right_upper_arm,0.053,left_thigh,6.78,right_foot,0.192,left_shank,7.58,left_foot,0.0652,left_shank,0.11,0.03
9,0.0300,DESCENT,NONE,-0.0293,0.0042,-0.0279,-0.1547,0.1353,-0.0257,1,8,0.0006,0.9797,2.23,0,0.0000,0.0,0.0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.288,left_upper_arm,0.083,right_upper_arm,0.054,left_thigh,7.02,right_foot,0.185,left_shank,7.93,left_foot,0.0715,left_shank,0.08,0.03
