hold_tick,com_ap,com_speed,support_min,support_max,cop_ap,contacts,pelvis_y,ankle_dorsiflexion_deg,ankle_proximity,trunk_incl_deg
0,0.0030,0.1328,-0.1547,0.1353,-0.0402,8,0.9671,7.43,0.165,-2.31
5,0.0101,0.1495,-0.1547,0.1353,-0.0384,8,0.9663,7.75,0.172,-1.70
10,0.0181,0.1683,-0.1547,0.1353,-0.0355,8,0.9655,8.08,0.180,-0.95
15,0.0271,0.1897,-0.1547,0.1353,-0.0328,8,0.9644,8.45,0.188,-0.08
20,0.0374,0.2144,-0.1547,0.1353,-0.0294,8,0.9631,8.89,0.198,0.86
25,0.0489,0.2419,-0.1547,0.1353,-0.0252,8,0.9615,9.40,0.209,1.87
30,0.0618,0.2721,-0.1547,0.1353,-0.0204,8,0.9595,9.98,0.222,2.96
35,0.0764,0.3054,-0.1547,0.1353,-0.0149,8,0.9571,10.66,0.237,4.14
40,0.0927,0.3421,-0.1547,0.1353,-0.0085,8,0.9541,11.43,0.254,5.43
45,0.1110,0.3823,-0.1547,0.1353,-0.0012,8,0.9505,12.31,0.273,6.85
50,0.1314,0.4265,-0.1547,0.1353,0.0071,8,0.9462,13.29,0.295,8.41
55,0.1541,0.4749,-0.1547,0.1353,0.0167,8,0.9409,14.40,0.320,10.16
60,0.1793,0.5278,-0.1547,0.1353,0.0277,8,0.9346,15.63,0.347,12.10
65,0.2074,0.5852,-0.1547,0.1353,0.0406,8,0.9269,17.00,0.378,14.27
70,0.2384,0.6474,-0.1547,0.1353,0.0550,8,0.9176,18.54,0.412,16.69
75,0.2727,0.7150,-0.1547,0.1353,0.0718,8,0.9065,20.25,0.450,19.40
80,0.3104,0.7869,-0.1547,0.1353,0.0940,8,0.8933,22.14,0.492,22.42
85,0.3519,0.8611,-0.1547,0.1353,0.1211,8,0.8773,24.25,0.539,25.80
90,0.3971,0.9405,-0.1547,0.1353,0.1353,8,0.8585,26.28,0.584,29.55
95,0.4468,1.0407,-0.1560,0.1353,0.1348,8,0.8371,28.20,0.627,33.61
100,0.5022,1.1646,-0.1559,0.1351,0.1345,8,0.8132,29.68,0.659,37.95
105,0.5644,1.3070,-0.0812,0.1348,0.1341,6,0.7857,30.55,0.679,42.59
110,0.6339,1.4592,0.0167,0.1339,0.1335,6,0.7526,30.75,0.683,47.56
115,0.7111,1.6105,0.0622,0.1342,0.1330,6,0.7113,30.23,0.672,52.90
120,0.7955,1.7514,0.0846,0.1341,0.1326,8,0.6590,28.77,0.639,58.67
125,0.8863,1.8668,0.0991,0.1336,0.1322,8,0.5928,26.10,0.580,64.93
130,0.9818,1.9432,0.1086,0.1331,0.1315,8,0.5098,21.82,0.485,71.73
135,1.0798,1.9674,0.1292,0.1619,0.1304,8,0.4076,15.12,0.336,79.06
140,1.1776,1.9465,0.1335,0.1988,0.1349,8,0.2841,7.20,0.160,86.86
145,1.2739,1.9110,0.1625,0.2684,0.1663,8,0.1389,2.97,0.066,95.11
150,1.3346,0.3223,0.1784,0.2816,NaN,8,0.1500,-4.12,0.075,97.30
155,1.3309,0.1461,0.1832,0.2845,0.2844,8,0.1468,-2.23,0.040,95.80
160,1.3247,0.1042,0.1830,0.2844,0.2835,8,0.1439,-1.16,0.021,94.89
165,1.3212,0.0445,0.1828,0.2844,0.2835,8,0.1427,-0.67,0.012,94.50
170,1.3203,0.0025,0.1828,0.2844,0.2836,8,0.1427,-0.66,0.012,94.51
175,1.3205,0.0010,0.1828,0.2844,0.2836,8,0.1429,-0.76,0.014,94.56
180,1.3205,0.0010,0.1828,0.2844,0.2836,8,0.1429,-0.78,0.014,94.56
185,1.3205,0.0008,0.1828,0.2844,0.2836,8,0.1429,-0.79,0.014,94.56
190,1.3205,0.0005,0.1828,0.2844,0.2836,8,0.1430,-0.79,0.014,94.56
195,1.3205,0.0005,0.1828,0.2844,0.2836,8,0.1430,-0.80,0.014,94.57
200,1.3205,0.0005,0.1828,0.2844,0.2836,8,0.1430,-0.80,0.015,94.57
205,1.3205,0.0006,0.1828,0.2844,0.2836,8,0.1430,-0.80,0.015,94.57
210,1.3205,0.0006,0.1828,0.2844,0.2836,8,0.1430,-0.80,0.015,94.57
215,1.3205,0.0006,0.1828,0.2844,0.2836,8,0.1430,-0.80,0.015,94.57
220,1.3205,0.0000,1.3205,1.3205,NaN,0,0.1430,-0.80,0.014,94.57
225,1.3205,0.0000,1.3205,1.3205,NaN,0,0.1430,-0.80,0.014,94.57
230,1.3205,0.0000,1.3205,1.3205,NaN,0,0.1430,-0.80,0.014,94.57
235,1.3205,0.0000,1.3205,1.3205,NaN,0,0.1430,-0.80,0.014,94.57
240,1.3205,0.0000,1.3205,1.3205,NaN,0,0.1430,-0.80,0.014,94.57
245,1.3205,0.0000,1.3205,1.3205,NaN,0,0.1430,-0.80,0.014,94.57
249,1.3205,0.0000,1.3205,1.3205,NaN,0,0.1430,-0.80,0.014,94.57
