hold_tick,com_ap,com_speed,support_min,support_max,cop_ap,contacts,pelvis_y,ankle_dorsiflexion_deg,ankle_proximity,trunk_incl_deg
0,-0.0297,0.0037,-0.1547,0.1353,-0.0338,8,0.9793,0.54,0.012,2.26
5,-0.0296,0.0043,-0.1547,0.1353,-0.0292,8,0.9793,0.48,0.011,2.42
10,-0.0295,0.0049,-0.1547,0.1353,-0.0268,8,0.9794,0.41,0.009,2.56
15,-0.0294,0.0050,-0.1547,0.1353,-0.0287,8,0.9794,0.38,0.008,2.67
20,-0.0293,0.0042,-0.1547,0.1353,-0.0309,8,0.9795,0.34,0.008,2.78
25,-0.0292,0.0041,-0.1547,0.1353,-0.0265,8,0.9795,0.32,0.007,2.85
30,-0.0290,0.0038,-0.1547,0.1353,-0.0301,8,0.9795,0.30,0.007,2.91
35,-0.0289,0.0031,-0.1547,0.1353,-0.0248,8,0.9795,0.29,0.006,2.95
40,-0.0288,0.0026,-0.1547,0.1353,-0.0303,8,0.9795,0.29,0.006,2.98
45,-0.0287,0.0023,-0.1547,0.1353,-0.0247,8,0.9795,0.29,0.006,3.00
50,-0.0286,0.0021,-0.1547,0.1353,-0.0302,8,0.9795,0.29,0.006,3.02
55,-0.0285,0.0021,-0.1547,0.1353,-0.0247,8,0.9795,0.29,0.006,3.03
60,-0.0284,0.0021,-0.1547,0.1353,-0.0302,8,0.9795,0.29,0.007,3.03
65,-0.0283,0.0022,-0.1547,0.1353,-0.0246,8,0.9795,0.29,0.006,3.04
70,-0.0283,0.0021,-0.1547,0.1353,-0.0301,8,0.9795,0.30,0.007,3.04
75,-0.0282,0.0021,-0.1547,0.1353,-0.0246,8,0.9795,0.29,0.006,3.04
80,-0.0282,0.0019,-0.1547,0.1353,-0.0301,8,0.9795,0.30,0.007,3.05
85,-0.0282,0.0017,-0.1547,0.1353,-0.0246,8,0.9795,0.29,0.006,3.05
90,-0.0282,0.0014,-0.1547,0.1353,-0.0302,8,0.9795,0.30,0.007,3.05
95,-0.0282,0.0011,-0.1547,0.1353,-0.0246,8,0.9795,0.29,0.006,3.04
100,-0.0282,0.0008,-0.1547,0.1353,-0.0302,8,0.9795,0.29,0.007,3.04
105,-0.0282,0.0006,-0.1547,0.1353,-0.0247,8,0.9795,0.29,0.006,3.04
110,-0.0283,0.0008,-0.1547,0.1353,-0.0302,8,0.9795,0.29,0.006,3.04
115,-0.0283,0.0009,-0.1547,0.1353,-0.0247,8,0.9795,0.28,0.006,3.03
120,-0.0284,0.0013,-0.1547,0.1353,-0.0303,8,0.9795,0.28,0.006,3.03
125,-0.0284,0.0015,-0.1547,0.1353,-0.0255,8,0.9795,0.28,0.006,3.02
130,-0.0285,0.0014,-0.1547,0.1353,-0.0315,8,0.9795,0.28,0.006,3.02
135,-0.0286,0.0012,-0.1547,0.1353,-0.0257,8,0.9795,0.28,0.006,3.01
140,-0.0286,0.0012,-0.1547,0.1353,-0.0314,8,0.9795,0.29,0.006,3.00
145,-0.0287,0.0011,-0.1547,0.1353,-0.0258,8,0.9795,0.28,0.006,2.99
150,-0.0287,0.0010,-0.1547,0.1353,-0.0314,8,0.9795,0.29,0.006,2.98
155,-0.0287,0.0009,-0.1547,0.1353,-0.0258,8,0.9795,0.28,0.006,2.97
160,-0.0288,0.0008,-0.1547,0.1353,-0.0314,8,0.9795,0.29,0.006,2.97
165,-0.0288,0.0006,-0.1547,0.1353,-0.0258,8,0.9795,0.28,0.006,2.97
170,-0.0288,0.0006,-0.1547,0.1353,-0.0314,8,0.9795,0.29,0.006,2.96
175,-0.0289,0.0005,-0.1547,0.1353,-0.0258,8,0.9795,0.28,0.006,2.96
180,-0.0289,0.0006,-0.1547,0.1353,-0.0314,8,0.9795,0.28,0.006,2.96
185,-0.0289,0.0005,-0.1547,0.1353,-0.0259,8,0.9795,0.27,0.006,2.96
190,-0.0290,0.0006,-0.1547,0.1353,-0.0315,8,0.9795,0.28,0.006,2.96
195,-0.0290,0.0006,-0.1547,0.1353,-0.0259,8,0.9795,0.27,0.006,2.95
200,-0.0290,0.0007,-0.1547,0.1353,-0.0315,8,0.9795,0.27,0.006,2.95
205,-0.0290,0.0006,-0.1547,0.1353,-0.0259,8,0.9795,0.27,0.006,2.95
210,-0.0291,0.0007,-0.1547,0.1353,-0.0315,8,0.9795,0.27,0.006,2.95
215,-0.0291,0.0006,-0.1547,0.1353,-0.0259,8,0.9795,0.27,0.006,2.95
220,-0.0291,0.0007,-0.1547,0.1353,-0.0315,8,0.9795,0.27,0.006,2.94
225,-0.0292,0.0006,-0.1547,0.1353,-0.0262,8,0.9795,0.26,0.006,2.94
230,-0.0292,0.0006,-0.1547,0.1353,-0.0319,8,0.9795,0.27,0.006,2.94
235,-0.0292,0.0004,-0.1547,0.1353,-0.0262,8,0.9795,0.26,0.006,2.93
240,-0.0292,0.0004,-0.1547,0.1353,-0.0318,8,0.9795,0.27,0.006,2.93
245,-0.0293,0.0003,-0.1547,0.1353,-0.0262,8,0.9795,0.26,0.006,2.93
249,-0.0293,0.0003,-0.1547,0.1353,-0.0262,8,0.9795,0.26,0.006,2.92
